Repository,ecore,xtext,mwe2
OntoUML-2.0-Xtext,NO,YES,YES
example_xtext_language_server_vscode,NO,YES,YES
xtext.skip.build.before.rename,NO,NO,NO
xtext-maven-plugin-coverage-example,YES,YES,YES
TP_etudiant_Compilax,YES,YES,YES
elite-se.xtext.languages.plantuml,NO,YES,YES
BareBonesIDE,YES,YES,YES
PDFtoText,NO,NO,NO
TVTBlitzmaxEditor,NO,YES,YES
xtext-multi-dsl-manual-metamodel,YES,YES,YES
xost,NO,NO,NO
log-book,NO,YES,YES
xtext-scoping-default-imports-demo,YES,YES,YES
Simple-Barebone-XText-based-IDE,YES,YES,YES
uniandes.mdd.example.create-xtext,YES,NO,NO
XText-Language-Server-in-VSCode,YES,YES,YES
xtext-egl-sql2java,YES,YES,YES
simple-xtext-parallel-load-example,YES,YES,YES
expressions,YES,YES,YES
DBML-to-ER,YES,YES,YES
xtext-n4js-lsp,NO,YES,YES
mde.sales.transactions.xtext.4,YES,YES,YES
DSL-using-Xtext-and-Xtend,YES,YES,YES
xtext-lsp-tests-with-tycho,YES,YES,YES
Reconhecedor-scheme,YES,YES,YES
xtext-scoping-default-namespaces-demo,YES,YES,YES
TVTDatabaseEditor,NO,YES,YES
DSL,YES,YES,YES
bashdsl,YES,YES,YES
faugjs-eclipse-plugin,YES,YES,YES
Uclid-editor,YES,YES,YES
xtext-lsp-missing-deleteFile-impl,YES,YES,YES
theia-xtext-pf-v1-backup,YES,YES,YES
mdsd-2023-lab2-xtext-xtend,NO,YES,YES
MDSD-Xtext-Project-for-JavaFX,YES,YES,YES
xtext-assertAllWhitespaceIsFormatted,YES,YES,YES
SF_Factories_Beleg2324_Xtext_DSL,YES,YES,YES
CodeGeneration,NO,NO,NO
init,NO,YES,YES
x400-xrpgle,NO,NO,NO
TripManagment,YES,YES,YES
xtext-xtend-978-1-7864-6496-5,YES,YES,YES
telemed,YES,YES,YES
xtend-StackOverflowError-issue461,NO,NO,NO
projetoCompiladores18-2,NO,YES,YES
math_assignment_3_math_compiler_xtext_and_xtend,NO,YES,NO
domain.model,YES,YES,YES
metafacture-flux,NO,YES,YES
example-script-language,NO,YES,YES
eclipse_workspace,YES,YES,YES
FunPL,YES,YES,YES
QuestionnaireDSL,YES,YES,YES
NmtranEditor,YES,YES,YES
Implementing-observer-design-pattern-with-Xtext-and-Xtend,YES,YES,YES
Lobster-language-conversion-sql-language-based-on-Xtext,YES,YES,YES
meth,YES,YES,YES
bachelors-thesis,NO,NO,NO
statemachine,YES,YES,YES
tfm-udima-arquitectura-del-software-dsl-ecore-xtext-emf,YES,YES,YES
Meta-Modelisation-of-Games-Using-UML-Eclipse-Xtext-Acceleo-JAVA,NO,YES,NO
domain-specific-language,YES,YES,YES
Palladio-Editors-VSCode,NO,NO,NO
xtend-active-annotation-issue,NO,NO,NO
feature-dsl-tools,YES,YES,YES
Aim42Visualizer,NO,YES,YES
ide-yourdsl,NO,NO,NO
dumpsymb,NO,NO,NO
edilang,YES,YES,YES
mydsl-language-server,?,?,?
DSL-Blog,NO,YES,YES
issue-2000-example,NO,YES,YES
net.adempiere.dsl.properties.spring.parent,YES,YES,YES
hello-world-language,NO,NO,NO
Pretty-Printer_Language-Analysis,YES,YES,YES
HLVL,NO,YES,YES
eJSL-MPS,NO,NO,NO
kukulkan-language-server,YES,YES,YES
dsl-layered-style,NO,NO,NO
t2-lingProg,YES,YES,YES
NetzDsl,NO,NO,NO
assertx-swing,YES,YES,YES
Eclipse-Training-Schedules,NO,NO,NO
xtend-example,NO,YES,YES
simple-ros-code-generator,YES,YES,YES
linguaPhyloDSL,YES,YES,YES
Entidades,YES,YES,YES
datasample,YES,YES,YES
smart-dsl,YES,YES,YES
DSL_UML_INSA,NO,YES,YES
SpringDSLJava,NO,NO,NO
tumlrt-language-server,NO,YES,YES
HTTP-REST-test-DSL,YES,YES,YES
DSL-Wizard-Creator,YES,YES,YES
Wail,YES,YES,YES
GrammarGenerator,NO,NO,NO
dsl,YES,YES,YES
MiniTL,YES,YES,YES
mde-spec,YES,YES,YES
SchemeLP,YES,YES,YES
ifcBrickConvert,?,?,?
fault_trees_textual_editor,YES,YES,YES
TPTP-Editor,YES,YES,YES
IDM,YES,YES,YES
ifcBrickConvertDsl,YES,YES,YES
XModel-Code-Converter,YES,YES,YES
XModel-Code-Converter,YES,YES,YES
CEPStaticAnalysis,YES,YES,YES
MiniARM-feature,YES,YES,YES
C4EventB,YES,YES,YES
metatemplating,YES,YES,YES
AWS-EC2-Service_DSL-EMF,YES,NO,NO
math-interpreter-dsl,YES,YES,YES
concept_project,NO,NO,NO
Model-Driven-Engineering,YES,YES,NO
Kotlin-Meta-Model,YES,YES,YES
SeamlessRuntimeTransformations,YES,YES,YES
CanopusDesign,NO,NO,NO
Workbench,YES,YES,YES
xtext,NO,YES,YES
xtext-core,YES,YES,YES
xtext-xtend,YES,YES,YES
xtext-eclipse,YES,YES,YES
xtext-extras,YES,YES,YES
xtext-web,NO,YES,YES
seven-languages-xtext,YES,YES,YES
xtext-maven,YES,YES,YES
xtext-lib,NO,NO,NO
maven-xtext-example,NO,YES,YES
LaTeXText,NO,NO,NO
xtext-languageserver-example,NO,YES,YES
xtext-idea,NO,NO,NO
coffeescript-eclipse,NO,YES,YES
xDoc,YES,YES,YES
xtext-gradle-plugin,NO,NO,NO
packtpub-xtext-book-2nd-examples,YES,YES,YES
