Owner,Repo,Scenario
IbanezGio,VuC,not applicable
Samirez,DSLs,not applicable
ShahimEssaid,com.essaid.model.xtext,not applicable
gon10,EclipseRepoTese,grammar-driven
max-leuthaeuser,jmhmathexample,grammar-driven
tshoang,WhitespaceIDE,not applicable
seebgar,MISO4202-proyecto-xtext,not applicable
NiccoMlt,xtext-15-minutes-tutorial,not applicable
SharkJ,theia-xtext-extension-test,grammar-driven
jku-win-se,JsonBasedXtextGrammar,not applicable
altran-mde,xtext-sirius-integration.io,not applicable
cdietrich,xtext-core-issue-1835,not applicable
Zaki-Fadlan,xtext_getting_started_skilledup,not applicable
raptor494,Xtext-Minecraft-JSON-Languages,grammar-driven
rudi,xtext-emacs-lsp-demo,not applicable
fedorov-vk,apds_prototype,not applicable
test-editor,test-editor-xtext-gradle,not applicable
Ixgauth,perspectiveDSL-Sirus-Xtext,grammar-driven
keve98,SzakD_xtext_xtend,not applicable
silvergl,xtext-headless-rcp-example,not applicable
reinaqu,bpmnFromXtextDSL,not applicable
xtext,xtext-p2-orbit,not applicable
dsl-course,xtext-tutorial-turku-interim,grammar-driven
tfLabs,xtext-lsp-validation-anyway,not applicable
BalzGuenat,xtext-bug-minimal-example,not applicable
dmfullstack,org.xtext.example.mydsl,not applicable
SuelanyBrito,JFlex_CUP_XText_SQL,not applicable
cdietrich,xtext-languageserver-example-simple,not applicable
msntts,Xtext-Standalone-fat-jar,not applicable
oldulov,cfeditor,metamodel-driven
LorenzoBettini,xtext-type-errors-examples,not applicable
claudenirmf,OntoUML-2.0-Xtext,not applicable
Mehmetcanss,example_xtext_language_server_vscode,not applicable
lidochca,xtext.skip.build.before.rename,not applicable
cdietrich,xtext-maven-plugin-coverage-example,grammar-driven
Kevin-Philip,TP_etudiant_Compilax,grammar-driven
elite-se,elite-se.xtext.languages.plantuml,not applicable
tshoang,BareBonesIDE,not applicable
tareklel,PDFtoText,not applicable
TVTower,TVTBlitzmaxEditor,not applicable
cdietrich,xtext-multi-dsl-manual-metamodel,not applicable
hallvard,xost,not applicable
davidmpaz,log-book,not applicable
oliver-reinhard,xtext-scoping-default-imports-demo,grammar-driven
tshoang,Simple-Barebone-XText-based-IDE,not applicable
MISO4202,uniandes.mdd.example.create-xtext,metamodel-driven
NaoMod,XText-Language-Server-in-VSCode,grammar-driven
MISO4202,xtext-egl-sql2java,grammar-driven
cdietrich,simple-xtext-parallel-load-example,not applicable
bobbyfisher1,expressions,grammar-driven
lowcomote,DBML-to-ER,not applicable
tfLabs,xtext-n4js-lsp,not applicable
yishakabreham,mde.sales.transactions.xtext.4,metamodel-driven
Rajesh2015,DSL-using-Xtext-and-Xtend,grammar-driven
cdietrich,xtext-lsp-tests-with-tycho,not applicable
CarlosAsrc,Reconhecedor-scheme,grammar-driven
oliver-reinhard,xtext-scoping-default-namespaces-demo,grammar-driven
TVTower,TVTDatabaseEditor,not applicable
casino-mdd,DSL,grammar-driven
cokeSchlumpf,bashdsl,grammar-driven
sumeetchhetri,faugjs-eclipse-plugin,grammar-driven
sderrien,Uclid-editor,not applicable
GlancingMind,xtext-lsp-missing-deleteFile-impl,not applicable
zmy3036190149,theia-xtext-pf-v1-backup,grammar-driven
MDSDLab,mdsd-2023-lab2-xtext-xtend,not applicable
abieren,MDSD-Xtext-Project-for-JavaFX,grammar-driven
SimonCockx,xtext-assertAllWhitespaceIsFormatted,not applicable
tombk556,SF_Factories_Beleg2324_Xtext_DSL,not applicable
DonatasC,CodeGeneration,not applicable
trichterwolke,init,not applicable
zs6jce,x400-xrpgle,not applicable
cyrilnavessamuel,TripManagment,metamodel-driven
paullewallencom,xtext-xtend-978-1-7864-6496-5,not applicable
coalae,telemed,TBD
vorburger,xtend-StackOverflowError-issue461,not applicable
JoaoMAlmeida,projetoCompiladores18-2,not applicable
