Owner,Repository,Mwe2 Existence,Extensions
eclipse,xtext-eclipse,YES,"dmodel,typesAssistTest,statemachine,rules,simplexml,codetemplates,ecore2xtexttest,buildertestlanguage,calc"
eclipse,xtext-extras,YES,
eclipse,xtext-web,YES,mydsl
xtext,seven-languages-xtext,YES,"build,tortoiseshell,route,guice,script,template,mongo"
eclipse,xtext-maven,YES,mydsl1
eclipse,xtext-lib,NO,
xtext,maven-xtext-example,YES,hero
seebk,LaTeXText,NO,
cdietrich,xtext-languageserver-example,YES,mydsl
eclipse,xtext-idea,NO,
adamschmideg,coffeescript-eclipse,YES,file.extensions
RvonMassow,xDoc,YES,
xtext,xtext-gradle-plugin,NO,
LorenzoBettini,packtpub-xtext-book-2nd-examples,YES,"entities,greetings,smalljava,hellomaven,helloweb,helloidea,library,xentities,school,xexpressions,expressions"
PrinceMei,xTextHandler,NO,
LorenzoBettini,packtpub-xtext-book-examples,YES,
theia-ide,theia-xtext,YES,mydsl
svenefftinge,xtext-lsp-workshop,YES,calc
ObeoNetwork,Xtext-Sirius-integration,YES,"reflang,reflang_edit,classes,inlineClasses,ekeylang,html"
dslmeinte,Xtext2-DSLs,YES,
merks,Xcore,YES,file.extensions
ssi-schaefer,lcdsl,YES,lc
eclipse,xtext-umbrella,NO,
danieldietrich,xtext-protected-regions,NO,
xtext,xtend-gradle-plugin,NO,
aphethean,xtext-maven-examples,YES,file.extensions
ckulla,xtext-tycho-example,YES,file.extensions
vorburger,xtext-sandbox,YES,"entity,clazz,func,mydsl"
basilfx,xtext-standalone-maven-build,YES,mydsl
JakeGinnivan,XText,YES,ddd
OLibutzki,xtext.tools,NO,
Xpitfire,xtext-dnn,YES,dls
LorenzoBettini,Xtext2-experiments,YES,
eclipse,xsemantics,YES,"fjcached,lambda,xsemantics,fj,expressions"
xtext,xtext-reference-projects,YES,"mydsl,dmodel"
mzaks,FlatBuffersSchemaEditor,YES,
vorburger,eLang,YES,file.extensions
fuinorg,emt-xtext-archetype,YES,${dslExtension}
eclipse-soc,amalgamation-examples-xtext,YES,
kthoms,xtext-experimental,NO,
dsldevkit,dsl-devkit,YES,"helloworld,editorFileExtensions,file.extensions"
itemis,generator-xtext,YES,<%
att,yang-design-studio,YES,
martinbaker,xtextadd,YES,
LorenzoBettini,edelta,YES,edelta
sebastianbenz,xgherkin,YES,file.extensions
vladdu,xtext.unittesting,YES,file.extensions
slizaa,slizaa-opencypher-xtext,YES,cypher
xpomul,cdo-xtext,YES,
mark-christiaens,Xtext-Models-Stats-View,NO,
TypeFox,xtext-jflex,NO,
vorburger,eclipse-typescript-xtext,YES,
patrickneubauer,XMLText,NO,
xtext,org.xtext.antlr.generator,NO,
boalang,xtext-ide,YES,
nittka,terminology,YES,file.extensions
veraPDF,veraPDF-model-syntax,YES,
TypeFox,languageserver-example,YES,mydsl
Hellmy,plantuml-eclipse-xtext,YES,
stephanrauh,JSFLibraryGenerator,YES,
loonwerks,jkind-xtext,YES,
TatyPerson,Xtext2Sonar,NO,
TypeFox,xtext-vscode,YES,statemachine
svenefftinge,Xtext-Workshop-Development-Workspace,YES,file.extensions
cdietrich,xtext-uml-example,YES,
cdietrich,xtext-maven-example,YES,
marklemay,tptpParser,YES,
borgar,xtexts,NO,
uqbar-project,xtext-tortuga-lang,YES,
dslmeinte,Xtext1-DSLs,YES,file.extensions
applause,applause,YES,
LorenzoBettini,ecefrance2015-xtext-example,YES,
jcmm33,DirectXTextBlock,NO,
dhuebner,xtext-apidiff,NO,
appdev,XTextView,NO,
oehme,xtext-maven-example,YES,
SMadani,ThriftMDE,NO,
xtext,xtext-external-editors,NO,
itemis,xtext-generator-vscode,YES,entities
soluvas,ecommerce-sample,NO,
tianguanghui,xTextHandler-objc,NO,
meysholdt,xtext_stateful_lexer,YES,file.extensions
holgerschill,XtextCon_Xcore_Maven,YES,"second,first"
scottopell,vim-xtext,YES,mydsl2
itemis,xtext-debug-example-no-xbase,YES,mydsl
TypeFox,Xtext-XMI,YES,xtree
joergreichert,XtextPlayground,YES,
wuwen1030,XTExtension,NO,
fuinorg,org.fuin.dsl.cqrs,YES,
JanKoehnlein,EclipseCon2013_XtextTutorial,YES,
avaranovich,megal-xtext,YES,
fuinorg,org.fuin.dsl.ddd,YES,ddd
arturboronat,xtext.domainmodel,YES,dmodel
otrosien,xtext-perl,YES,pm
cmendible,Hexa.xText,NO,
SciSpike,yaktor-dsl-xtext,YES,
andrearn,org.fornax.soa.xtextservicerepository,YES,
ujhelyiz,xtext-reflective,NO,
szarnekow,xtextcon-xbase-example,YES,
bsi-software,org.eclipse.scout.xtext,YES,file.extensions
cdietrich,xtext-languageserver-xbase-example,YES,dmodel
test-editor,deprecated-test-editor-xtext,YES,"aml,tcl,tml,config,tsl"
awk-kazmin,eclipse_1C_xtext,YES,
svenefftinge,fowlers-statemachine-with-expressions,YES,file.extensions
copton,XTextExamples,YES,"smalljava,expressions"
GeekBugs,XTextView,NO,
akosyakov,org.xtext.example.mydsl.idea,YES,fileExtensions
vaulttec,isis-script,YES,isis
HBehrens,Xtext2Workshop,NO,
GrupoHunter,Kukuroo,YES,
itemis,xtext-languageserver-example-lsp4e,NO,
fatalerrortan,Xtext_Xtend_HTML_Generator,YES,mensa
spoenemann,xtext-gef,YES,
Minres,RDL-Editor,YES,rdl
svenefftinge,Guice-Modules-DSL,YES,file.extensions
LorenzoBettini,jbase,YES,"jbase,dmodel,jbasetestlanguage,purejbase,jbasescript"
mn-mikke,Model-driven-Pretty-Printer-for-Xtext-Framework,YES,file.extensions
hishidama,xtext-dmdl-editor,YES,
cmark,androtext,YES,file.extensions
svenefftinge,homeautomation-example,YES,
SOM-Research,graphQL-xtext-grammar,YES,"graphql,graphqlidl"
janesser,frege-xtext,YES,frege
szarnekow,org.eclipse.e4.xcss,NO,
LorenzoBettini,xtext-scoping,YES,file.extensions
JanKoehnlein,ESE-2010-Tutorial,YES,file.extensions
spoenemann,xtext-orion,YES,
Modaptix,xtext-expressions,YES,expressions
nittka,Jtag,YES,
erlide,erlide_xtext,YES,file.extensions
cdietrich,xtext-forum-support-example,NO,
ESIR2Compilation,Langage-WHILE,YES,
jhonatan89,gen-angular-grammar,YES,
Sofiane-13,tutorialXtextSirius,NO,
eclipse-soc,amalgamation-examples,YES,
dvdkruk,xtext-xsd-resourceprovider,NO,
marnix,metamath-eclipse-xtext,YES,
JanKoehnlein,Xtext-Syntax-View,NO,
planger,xtext-uml-experiment,YES,umlrttext
rquinio,ck2xtext,YES,
mzaks,petrinet_dsl,YES,file.extensions
drnappalm,xtext,YES,ddd
svenefftinge,Xtext-Workshop-Runtime-Workspace,YES,
martijndwars,XtextXT,NO,
nahni,xtextTessla,YES,tessla
baidty,xtextLearning,NO,
MoayadHn,XtextBDI,YES,
fzalila,XtextExperiments,YES,
Girish-Venkatesh,XTextSelenium,YES,
Vinayakatk,xtextScopes,YES,mydsl
