Owner,Repo,XText File,Commit Count
idiomaticsoft,xtext-tips,value-converter-validation/01start/com.idiomaticsoft.dsl.hex.parent/com.idiomaticsoft.dsl.hex/src/com/idiomaticsoft/dsl/hex/Hex.xtext,1
idiomaticsoft,xtext-tips,value-converter-validation/02end/com.idiomaticsoft.dsl.hex.parent/com.idiomaticsoft.dsl.hex/src/com/idiomaticsoft/dsl/hex/Hex.xtext,1
idiomaticsoft,xtext-tips,value-converter/01start/com.idiomaticsoft.dsl.hex.parent/com.idiomaticsoft.dsl.hex/src/com/idiomaticsoft/dsl/hex/Hex.xtext,1
idiomaticsoft,xtext-tips,value-converter/02end/com.idiomaticsoft.dsl.hex.parent/com.idiomaticsoft.dsl.hex/src/com/idiomaticsoft/dsl/hex/Hex.xtext,1
atb,pt.isep.dsl.puml,pt.isep.dsl.puml.parent/pt.isep.dsl.puml/src/pt/isep/dsl/puml/Puml-original.xtext,1
atb,pt.isep.dsl.puml,pt.isep.dsl.puml.parent/pt.isep.dsl.puml/src/pt/isep/dsl/puml/Puml.xtext,2
Webastronaut,mgpl,workspace/mgpl/src/mgpl/MGPL.xtext,1
PAMunb,MetaCrySL,br.unb.cic.mcsl/src/br/unb/cic/mcsl/MetaCrySL.xtext,30
raghvendra-v,tosca-yaml-lsp,org.ezyaml.lang.tosca.yaml/src/org/ezyaml/lang/tosca/Yaml.xtext,3
zxhr,gradle-xtext-generator,src/test/resources/mydsl-xtend/src/main/xtext/MyDsl.xtext,1
zxhr,gradle-xtext-generator,src/test/resources/mydsl-xtext-version/src/main/xtext/MyDsl.xtext,1
zxhr,gradle-xtext-generator,src/test/resources/mydsl/src/main/xtext/MyDsl.xtext,1
tmtron,ex.xtext.lsp,com.tmtron.ex.xtext.lsp.parent/com.tmtron.ex.xtext.lsp/src/main/java/com/tmtron/ex/xtext/lsp/ExDsl.xtext,2
echebbi,standalone-xtext-example,org.xtext.example.mydsl.parent/org.xtext.example.mydsl/src/org/xtext/example/mydsl/MyDsl.xtext,1
darvasd,xtext-docs-gen,examples/org.example.domainmodel/src/org/example/domainmodel/Domainmodel.xtext,1
jcabot,WordPress-Plugin-DSL,org.xtext.example.wpdsl/src/org/xtext/example/mydsl/WPDsl.xtext,13
JensBAndersen,PolicyLanguage,Policy.xtext,3
Zannith,XtextTest,null,null
AnnaLenaMeiners,XtextExamples,null,null
Kerolos77,XTextEditor,null,null
Mabar16,xtextMath,sdu.mdsd.mathinterpreter/src/sdu/mdsd/Mathinterpreter.xtext,1
devzwy,XTextView,null,null
mraminella,XtextExamples,org.example.expressions/bin/org/example/expressions/Expressions.xtext,1
mraminella,XtextExamples,org.example.expressions/src/org/example/expressions/Expressions.xtext,1
mraminella,XtextExamples,org.xtext.example.smalljava/bin/org/xtext/example/smalljava/SmallJava.xtext,1
mraminella,XtextExamples,org.xtext.example.smalljava/src/org/xtext/example/smalljava/SmallJava.xtext,1
msntts,XtextStudy,crossref_sample/crossref/org.xtext.example.mydsl/src/org/xtext/example/mydsl/MyDsl.xtext,1
msntts,XtextStudy,maven_sample/workspace/org.xtext.example.mydsl.parent/org.xtext.example.mydsl/src/org/xtext/example/mydsl/MyDsl.xtext,2
chiachong,XTextClassification,null,null
pakhopav,XtextPlugin,null,null
IamRaziel,XtextTutorial,null,null
dstoft,XtextWorkspace,sdu.mdsd.math.interpreter/bin/sdu/mdsd/math/interpreter/MathInterpreter.xtext,3
dstoft,XtextWorkspace,sdu.mdsd.math.interpreter/src/sdu/mdsd/math/interpreter/MathInterpreter.xtext,3
dstoft,XtextWorkspace,sdu.mdsd.tut1/bin/sdu/mdsd/tut1/Tut1Dsl.xtext,1
dstoft,XtextWorkspace,sdu.mdsd.tut1/src/sdu/mdsd/tut1/Tut1Dsl.xtext,1
MisbahAwan,XtextCollaborativeEnvironment,null,null
RomainLefeuvre,xtextHW,null,null
vinisbranco,XtextTrabalho2,org.xtext.example.domainmodel/bin/org/xtext/example/domainmodel/Domainmodel.xtext,1
