Owner,Repository,Mwe2 Existence
MISO4202,uniandes.mdd.xtext2xmi,NO
tchebs,xtext,YES
mlopez8621,xtext,YES
magick93,xtext,YES
ShivaniBali,Theia-Xtext-Yangster-Project-,YES
ehah,XtendExample,NO
MISO4202,co.edu.uniandes.gramaticajmeter,YES
vks2106,prenum,NO
drkstr101,hello-xtext,YES
arthurmosley,Essex-Test,NO
eclipse,xtext-website-publish,NO
jflopezfernandez,xtextutils,NO
AlanQuadros,xtextlpmangan,YES
jonaslagoni,JSON-Schema-to-internal-DSL,YES
OezzyB,e-portfolio-Xtext,YES
fedorov-vk,apds_dsl,YES
zinon,xtextminer,NO
mustafa231,xtexteditor,NO
MOSafely,xtextrepo,NO
bproenca,mpti-dsl,YES
LorenzoBettini,xtext-domain-model-guice-5,YES
BlackBeltTechnology,karaf-features-eclipse-xtext,NO
vashchenkov,xtext-samle,YES
germono,FormXtext,YES
Quingo,compiler_xtext,YES
ShrawanBK,xtext_salestransaction,YES
tshoang,XMarking,YES
szschaler,henshin_xtext_adapter,NO
hakimuga,BIP-language,NO
adautofbn,pascal-xtext,YES
efuentesp,Xtext-UCS,NO
preesm,ripacola-xtext,YES
wibeck,testXtext,YES
msun68,xtext-examples,YES
xTexturedxx,xTexturedxx,NO
HexXText,HexXText,NO
Gricel-lee,Xtext-Maven,YES
kolchanov,org.xtext.example.mydsl.parent,YES
kecksk0enig,vuc-xtext,YES
EvdokimovMaks,xtext-expressions,YES
Sorokatov,xtext-demo,YES
uppaal-emf,uppaal-xtext,YES
matheuslenke,Xtext-UML,YES
r4mtor,xtext-talks,YES
nbhusare,xtext-playground,YES
kokostino,xtext_kokomodel,YES
GiordanoT,ocl-xtext,YES
dr-jam,ABL-XText,YES
lahirugayanga,xtext-projection,YES
daniel614,xtext-webapp,YES
Spiderixius,DSLIndividualXtext,YES
mdsd-team-1,photos-xtext,YES
efuentesp,xtext-cobol,NO
torosky,Libreria-Xtext,NO
MaxiEckert,Xtext-example,YES
as500,xtext-rpgle,NO
JavierOramas,AudiXText,NO
xtext,xtext-monorepo,YES
vjordan,Xtext_browser,YES
Yop-La,xtext_project,YES
JesterOrNot,Gitpod-XText,YES
eclipse,xtext-archive,NO
Lethalaric,xtext-learning,YES
DSIE2,tr.xtext,YES
ShivaniBali,Theia-Xtext,YES
kthoms,xtext-webinar,NO
christopherosthues,mgpl-xtext,YES
zhanglin2018,learnXtext,YES
seebgar,Xtext-Projects,YES
Vallenstein,xtext_web,YES
AbQadirr,dialogXtextflow,NO
blue995,xtext-orm,YES
arockiaraj1994,xtext-mvn,YES
moein9,passXtext,NO
saivarunr,xtext-editor,NO
JesterOrNot,xtext-cli,NO
Somiacao,xtext-web,YES
katmatt,graphql-xtext,YES
LIONant-depot,xtexture_compiler,NO
tchebs,xtext-example,YES
ballcoach12,xtext_samples,NO
AssaX0,MDSE-xtext,YES
samples-projects,sample-xtext,YES
karthik137,xtext-demo,YES
MDE-Course-23-24,SIRIUS-XTEXT,YES
softlang,megal-xtext,YES
laurocesar,xtext-domainmodel,YES
Yahaya12,Xtext-project,NO
malhxr,SpeechXtext,NO
stanimirovv,xtext-extractor,NO
3m3k3,xtext-congen,YES
pen-zhang,xtext_elm_editor,NO
NSaitoNmiri,toppers_cfg_xtext,YES
tmtron,ex.xtext.twog,YES
vinicius0197,metacrysl,YES
Dexels,navascript-editor,YES
adrianrutle,PCS953-EMF-Exercise,NO
ravornyo,xspice,YES
yamen-njm,IotXtext,YES
kainzpat14,xtext-plsql,YES
epsilonlabs,emc-xtext,NO
robertovillarejo,kukulkan-grammar,YES
lvanzeun,ulm-xtext-test,YES
purerstamp,N7.compilateur,YES
jaedabee,xtext-gradle-test,NO
MassiBelaid,M-langeuse-Xtext,YES
qxe35v,xtext_encoding_dsl,YES
