Owner Login,Repo Name,Found Extensions
cau-se,sprat-ecosystem-dsl-xtext,ecosystem
cdietrich,theia-xtext-vscode-example,
cdietrich,j9-tycho-xtext,mydsl5
loradd,xtext-lsp-ecore-support,dsl
nnn911,LaTeXTextOverlay,
IbanezGio,VuC,
Samirez,DSLs,"if,math,ui"
ShahimEssaid,com.essaid.model.xtext,
gon10,EclipseRepoTese,"entities,mydsl,rsl"
max-leuthaeuser,jmhmathexample,math
tshoang,WhitespaceIDE,ws
seebgar,MISO4202-proyecto-xtext,mydsl
NiccoMlt,xtext-15-minutes-tutorial,dmodel
SharkJ,theia-xtext-extension-test,dsl
jku-win-se,JsonBasedXtextGrammar,
altran-mde,xtext-sirius-integration.io,
cdietrich,xtext-core-issue-1835,
Zaki-Fadlan,xtext_getting_started_skilledup,dmodel
raptor494,Xtext-Minecraft-JSON-Languages,"mcblockstate,mcentity,mcloot,mcmodel"
rudi,xtext-emacs-lsp-demo,entities
fedorov-vk,apds_prototype,"prot,subj"
test-editor,test-editor-xtext-gradle,"aml,config,tcl,tfr,tml,tsl"
Ixgauth,perspectiveDSL-Sirus-Xtext,
keve98,SzakD_xtext_xtend,entx
silvergl,xtext-headless-rcp-example,mydsl
reinaqu,bpmnFromXtextDSL,bpsec
xtext,xtext-p2-orbit,
dsl-course,xtext-tutorial-turku-interim,entities
tfLabs,xtext-lsp-validation-anyway,mydsl
BalzGuenat,xtext-bug-minimal-example,mydsl
dmfullstack,org.xtext.example.mydsl,mydsl
SuelanyBrito,JFlex_CUP_XText_SQL,mydsl
cdietrich,xtext-languageserver-example-simple,mydsl
msntts,Xtext-Standalone-fat-jar,mydsl
oldulov,cfeditor,cf
LorenzoBettini,xtext-type-errors-examples,"expressions,fj"
claudenirmf,OntoUML-2.0-Xtext,ontouml
Mehmetcanss,example_xtext_language_server_vscode,person
lidochca,xtext.skip.build.before.rename,
cdietrich,xtext-maven-plugin-coverage-example,mydslcov
Kevin-Philip,TP_etudiant_Compilax,wh
elite-se,elite-se.xtext.languages.plantuml,puml
tshoang,BareBonesIDE,bb2
tareklel,PDFtoText,
TVTower,TVTBlitzmaxEditor,bmx
cdietrich,xtext-multi-dsl-manual-metamodel,mydsl3test
hallvard,xost,
davidmpaz,log-book,logtime
oliver-reinhard,xtext-scoping-default-imports-demo,scope2
tshoang,Simple-Barebone-XText-based-IDE,bb
MISO4202,uniandes.mdd.example.create-xtext,
NaoMod,XText-Language-Server-in-VSCode,fml
MISO4202,xtext-egl-sql2java,sql
cdietrich,simple-xtext-parallel-load-example,mydsl
bobbyfisher1,expressions,"expressions,smalljava"
lowcomote,DBML-to-ER,dbml
tfLabs,xtext-n4js-lsp,mydsl
yishakabreham,mde.sales.transactions.xtext.4,salestransaction
Rajesh2015,DSL-using-Xtext-and-Xtend,mydsl
cdietrich,xtext-lsp-tests-with-tycho,mydsl
CarlosAsrc,Reconhecedor-scheme,scm
oliver-reinhard,xtext-scoping-default-namespaces-demo,scope
TVTower,TVTDatabaseEditor,xml
casino-mdd,DSL,spdl
cokeSchlumpf,bashdsl,bdsl
sumeetchhetri,faugjs-eclipse-plugin,json
sderrien,Uclid-editor,"ucl,uclid"
GlancingMind,xtext-lsp-missing-deleteFile-impl,mydsl
zmy3036190149,theia-xtext-pf-v1-backup,pf
MDSDLab,mdsd-2023-lab2-xtext-xtend,wt
abieren,MDSD-Xtext-Project-for-JavaFX,guimodel
SimonCockx,xtext-assertAllWhitespaceIsFormatted,mydsl
tombk556,SF_Factories_Beleg2324_Xtext_DSL,S87622S87673
DonatasC,CodeGeneration,
trichterwolke,init,init
zs6jce,x400-xrpgle,
cyrilnavessamuel,TripManagment,tripxt
paullewallencom,xtext-xtend-978-1-7864-6496-5,"entities,expressions,greetings,helloidea,hellomaven,helloweb,library,school,smalljava,xentities,xexpressions"
coalae,telemed,telemed
vorburger,xtend-StackOverflowError-issue461,
JoaoMAlmeida,projetoCompiladores18-2,pas
Bisssen,math_assignment_3_math_compiler_xtext_and_xtend,
vks2106,domain.model,dmodel
metafacture,metafacture-flux,flux
mrtnstn,example-script-language,xs
Michel-Nassalang,eclipse_workspace,"ap,calcul,fb,fg,tp"
varadbal,FunPL,funprogram
oliverablagojevic,QuestionnaireDSL,mydsl
EightPillars,NmtranEditor,ctl
DSIE2,Implementing-observer-design-pattern-with-Xtext-and-Xtend,obsr
George-6629,Lobster-language-conversion-sql-language-based-on-Xtext,lobster
hvbargen,meth,meth
mischnic,bachelors-thesis,
cs130-w22,statemachine,sm
cesarlaso,tfm-udima-arquitectura-del-software-dsl-ecore-xtext-emf,"iotproyect,iotproyect2"
houssemradhouane,Meta-Modelisation-of-Games-Using-UML-Eclipse-Xtext-Acceleo-JAVA,
mdsd-team-1,domain-specific-language,dmodel
PalladioSimulator,Palladio-Editors-VSCode,
nils-christian,xtend-active-annotation-issue,
modicio,feature-dsl-tools,featurelang
HBuender,Aim42Visualizer,iacdsl
scanyboss,ide-yourdsl,
spirvdev,dumpsymb,
thlaegler,edilang,edi
agonzalezgaliana,mydsl-language-server,
codezork,DSL-Blog,geo
LorenzoBettini,issue-2000-example,tychotestlanguage
trifonnt,net.adempiere.dsl.properties.spring.parent,propsModel
scanyboss,hello-world-language,
joerg-holtmann,Pretty-Printer_Language-Analysis,"ATLno,eatxt,myatl,mybibtex,mydot,myqvto,myxenia,sml,spectra,sql,xcore"
coffeeframework,HLVL,hlvl
HermanPeeren,eJSL-MPS,
kukulkan-project,kukulkan-language-server,"3k,kukulkan"
mdsd-team-1,dsl-layered-style,
larissafiorini,t2-lingProg,mydsl
ragben,NetzDsl,
Cosimo5lli,assertx-swing,assertxs
gyaltso,Eclipse-Training-Schedules,
wzurborg,xtend-example,mydsl
kyberszittya,simple-ros-code-generator,hybridbehavior
LinguaPhylo,linguaPhyloDSL,lphy
dsanmartins,Entidades,entidades
opcoach,datasample,datasample
bujosa,smart-dsl,contract
robinguill,DSL_UML_INSA,uml
DedalArmy,SpringDSLJava,
LiamWalsh98,tumlrt-language-server,mydsl
jonev,HTTP-REST-test-DSL,testsuite
ElBilbao,DSL-Wizard-Creator,wiz
ooaa30,Wail,wail
Wilson008,GrammarGenerator,
ScytherTool,dsl,spdl
NaoMod,MiniTL,minitl
ryangarvey,mde-spec,spec
bfMarcelino,SchemeLP,mydsl
henriklange,ifcBrickConvert,
osarenogae,fault_trees_textual_editor,faulttree
claudenirmf,TPTP-Editor,p
augustin-rialan,IDM,qcm
henriklange,ifcBrickConvertDsl,ifc
PikaQin,XModel-Code-Converter,xmodel
helloyaqin,XModel-Code-Converter,xmodel
Garlo13,CEPStaticAnalysis,esper
Frederic-Boulanger-UPS,MiniARM-feature,arm
Jaddison011,C4EventB,c
MDEGroup,metatemplating,mt
abdullah-4Mohammed,AWS-EC2-Service_DSL-EMF,
grammeaway,math-interpreter-dsl,mydsl
ahmedsaleh1998,concept_project,
Chaimaa-Louahabi,Model-Driven-Engineering,
fayssalElAnsari,Kotlin-Meta-Model,kt
MisbahAwan,SeamlessRuntimeTransformations,myzdsl
ProjetoDSL,CanopusDesign,
Ryuzaki101,Workbench,mic
eclipse,xtext,ddd
eclipse,xtext-core,"mydsl,nestedRefs,nojdt,testlang,testlangext,xtext,xtext2,xtextgrammar"
eclipse,xtext-xtend,xtend
eclipse,xtext-eclipse,"buildertestlanguage,calc,codetemplates,dmodel,ecore2xtexttest,rules,simplexml,statemachine,typesAssistTest"
eclipse,xtext-extras,"typesAssistTest,xbase"
eclipse,xtext-web,mydsl
xtext,seven-languages-xtext,"build,guice,mongo,route,script,template,tortoiseshell"
eclipse,xtext-maven,mydsl1
eclipse,xtext-lib,
xtext,maven-xtext-example,hero
seebk,LaTeXText,
cdietrich,xtext-languageserver-example,mydsl
eclipse,xtext-idea,
adamschmideg,coffeescript-eclipse,"Cakefile,coffee"
RvonMassow,xDoc,xdoc
xtext,xtext-gradle-plugin,
LorenzoBettini,packtpub-xtext-book-2nd-examples,"entities,expressions,greetings,helloidea,hellomaven,helloweb,library,school,smalljava,xentities,xexpressions"
PrinceMei,xTextHandler,
LorenzoBettini,packtpub-xtext-book-examples,"entities,expressions,hello,smalljava,xentities,xexpressions"
theia-ide,theia-xtext,mydsl
svenefftinge,xtext-lsp-workshop,calc
ObeoNetwork,Xtext-Sirius-integration,"classes,ekeylang,html,inlineClasses,reflang,reflang_edit,statemachine,statemachineInlineedit"
dslmeinte,Xtext2-DSLs,"$,dmd,dsd,dtd,exdsl,mypl,sm,wsdlr,xsdr"
merks,Xcore,xcore
ssi-schaefer,lcdsl,lc
eclipse,xtext-umbrella,
danieldietrich,xtext-protected-regions,
xtext,xtend-gradle-plugin,
aphethean,xtext-maven-examples,mydsl
ckulla,xtext-tycho-example,mydsl
vorburger,xtext-sandbox,"clazz,entity,func,mydsl"
basilfx,xtext-standalone-maven-build,mydsl
JakeGinnivan,XText,ddd
OLibutzki,xtext.tools,
Xpitfire,xtext-dnn,dls
LorenzoBettini,Xtext2-experiments,"hellocustomecore,helloinferrer,hellojvmtypes,helloxbase,helloxcore"
eclipse,xsemantics,"expressions,fj,fjcached,lambda,xsemantics"
xtext,xtext-reference-projects,"dmodel,mydsl"
mzaks,FlatBuffersSchemaEditor,fbs
vorburger,eLang,expr
fuinorg,emt-xtext-archetype,${dslExtension}
eclipse-soc,amalgamation-examples-xtext,droid
kthoms,xtext-experimental,
dsldevkit,dsl-devkit,"checktest,expression,format,helloworld,mydsl"
itemis,generator-xtext,<%= fileExtension %>
att,yang-design-studio,yang
martinbaker,xtextadd,"macro,py,pyt,test1,xgener"
LorenzoBettini,edelta,edelta
sebastianbenz,xgherkin,feature
vladdu,xtext.unittesting,dmodel
slizaa,slizaa-opencypher-xtext,cypher
xpomul,cdo-xtext,gfx
mark-christiaens,Xtext-Models-Stats-View,
TypeFox,xtext-jflex,
vorburger,eclipse-typescript-xtext,ts
patrickneubauer,XMLText,
xtext,org.xtext.antlr.generator,
boalang,xtext-ide,boa
nittka,terminology,terms
veraPDF,veraPDF-model-syntax,mdl
TypeFox,languageserver-example,mydsl
Hellmy,plantuml-eclipse-xtext,puml
stephanrauh,JSFLibraryGenerator,jsfdsl
loonwerks,jkind-xtext,lus
TatyPerson,Xtext2Sonar,
TypeFox,xtext-vscode,statemachine
svenefftinge,Xtext-Workshop-Development-Workspace,dmodel
cdietrich,xtext-uml-example,umldsl
cdietrich,xtext-maven-example,build
marklemay,tptpParser,"ax,p"
borgar,xtexts,
uqbar-project,xtext-tortuga-lang,tortu
dslmeinte,Xtext1-DSLs,"#base,$conditional$,amb,dmd,dsd,dtd,sm,wsdlr,xsdr"
applause,applause,applause
LorenzoBettini,ecefrance2015-xtext-example,expdsl
jcmm33,DirectXTextBlock,
dhuebner,xtext-apidiff,
appdev,XTextView,
oehme,xtext-maven-example,build
SMadani,ThriftMDE,
xtext,xtext-external-editors,
itemis,xtext-generator-vscode,entities
soluvas,ecommerce-sample,
tianguanghui,xTextHandler-objc,
meysholdt,xtext_stateful_lexer,stpl
holgerschill,XtextCon_Xcore_Maven,"first,second"
scottopell,vim-xtext,mydsl2
itemis,xtext-debug-example-no-xbase,mydsl
TypeFox,Xtext-XMI,xtree
joergreichert,XtextPlayground,mydsl
wuwen1030,XTExtension,
fuinorg,org.fuin.dsl.cqrs,cqrs
JanKoehnlein,EclipseCon2013_XtextTutorial,survey
avaranovich,megal-xtext,megal
fuinorg,org.fuin.dsl.ddd,ddd
arturboronat,xtext.domainmodel,dmodel
otrosien,xtext-perl,pm
cmendible,Hexa.xText,
SciSpike,yaktor-dsl-xtext,"yc,ydm"
andrearn,org.fornax.soa.xtextservicerepository,"basedsl,binddsl,bizdsl,envdsl,moddsl,profdsl,semdsl,sladsl,soldsl,svcdsl"
ujhelyiz,xtext-reflective,
szarnekow,xtextcon-xbase-example,rules
bsi-software,org.eclipse.scout.xtext,saml
cdietrich,xtext-languageserver-xbase-example,dmodel
test-editor,deprecated-test-editor-xtext,"aml,config,tcl,tml,tsl"
awk-kazmin,eclipse_1C_xtext,onec
svenefftinge,fowlers-statemachine-with-expressions,mydsl
copton,XTextExamples,"expressions,smalljava"
GeekBugs,XTextView,
akosyakov,org.xtext.example.mydsl.idea,"domainmodel,mydsl,typesRefactoring"
vaulttec,isis-script,isis
HBehrens,Xtext2Workshop,
GrupoHunter,Kukuroo,mgbs
itemis,xtext-languageserver-example-lsp4e,
fatalerrortan,Xtext_Xtend_HTML_Generator,mensa
spoenemann,xtext-gef,statemachine
Minres,RDL-Editor,rdl
svenefftinge,Guice-Modules-DSL,guice
LorenzoBettini,jbase,"dmodel,jbase,jbasescript,jbasetestlanguage,purejbase"
mn-mikke,Model-driven-Pretty-Printer-for-Xtext-Framework,"dsl,expl,expr,gpp,mydsl,ppd,ppf,ppo,proto,test,ttest,xtypes,zoo"
hishidama,xtext-dmdl-editor,dmdl
cmark,androtext,androtext
svenefftinge,homeautomation-example,rules
SOM-Research,graphQL-xtext-grammar,"graphql,graphqlidl"
janesser,frege-xtext,frege
szarnekow,org.eclipse.e4.xcss,
LorenzoBettini,xtext-scoping,mydsl
JanKoehnlein,ESE-2010-Tutorial,android
spoenemann,xtext-orion,statemachine
Modaptix,xtext-expressions,expressions
nittka,Jtag,jtag
erlide,erlide_xtext,erl
cdietrich,xtext-forum-support-example,
ESIR2Compilation,Langage-WHILE,while
jhonatan89,gen-angular-grammar,angen
Sofiane-13,tutorialXtextSirius,
eclipse-soc,amalgamation-examples,droid
dvdkruk,xtext-xsd-resourceprovider,
marnix,metamath-eclipse-xtext,mm
JanKoehnlein,Xtext-Syntax-View,
planger,xtext-uml-experiment,umlrttext
rquinio,ck2xtext,gfx
mzaks,petrinet_dsl,petrinet
drnappalm,xtext,ddd
svenefftinge,Xtext-Workshop-Runtime-Workspace,
martijndwars,XtextXT,
nahni,xtextTessla,tessla
baidty,xtextLearning,
MoayadHn,XtextBDI,mydsl
fzalila,XtextExperiments,mydsl
Girish-Venkatesh,XTextSelenium,rot
Vinayakatk,xtextScopes,mydsl
01Lizard10,XTextUML,umldsl
Salome-Maro,XtextUtils,
fanghuixing,XtextApricot,apr
mraminella,xtextTests,
Alma2015RSABSAWA,XtextLangage,
myorb,XTextParser,
Jhinnn,XTextView,
kathisai,xtextSample,
huibo-shi,XtextExamples,"expressions,smalljava"
osamu-k,XTextStudy,mydsl
Treehopper,XTextTemplate,json
seba111,Xtext1,fun
shinesamjacob,XtextExample,mydsl1
ajperalt,xtext,ddd
schakko,xtext-plugin-with-maven-tycho,tycho
colameo,xtext4roo,somedsl
vinpereira,XtextToXMI,"mapping,trace"
JanKoehnlein,XtextCon2014,
bink81,xtext-test,
xtext42,xtext42-coding,
borisbrodski,XtextBug437519,dmodel
hypery2k,xText,ddd
borisbrodski,XtextBug453268,mydsl
arnulfo-rodriguez,XtextClosureExample,mscrpt
superxlx,XTextViewDemo,
johnBened,XtextMyDSLExample,
philiber92,XtextTestRepository,mydsl
fabienfleureau,XtextAtStackoverflow,
yunxiaocloud,XTextFieldLimtDemo,
eclipse,xtext-gradle,
Mensmec,THESIS_XTEXT,
MacJariel,sandbox-dsl,karel
chetanladdha,XtextFormatingHoverSample,
ainslec,XTextCustomLexerExample,attributes
hem28,DSL_Xtext2.3,mydsl
HBuender,XtextAndSiriusIntegration,dmodel
meysholdt,EclipseCon2014_XtextTutorial,survey
jaimedelgado,Xtext,ddd
chris125964,xtext,ddd
DonRenando,xtext,ddd
martijndwars,Xtext,ddd
ozkandemir,XText,ddd
johnahfong,xtext,ddd
Mensmec,Xtext,ddd
pellcorp,xtext,ddd
Tutti91,Xtext,ddd
ANCIT,xtext-examples,rules
DECENTSoftwareAssessment,dag.m1x,dagx
rmemory,xtext,ddd
deb-sandeep,com.sandy.xtext.jovenotes.tests,
yasuohosotani,Xtext,ddd
Nika24,Xtext,ddd
BenediktNiehues,de.nie.fin,fin
AlexElvers,XText,ddd
lakzso,xtext,ddd
seba111,Xtext,ddd
MacJariel,xtext,ddd
tmtron,xtext.15minTutorial,dmodel
blewis13,Boxes,box
DECENTSoftwareAssessment,famix.m3x,"m3x,mse"
dslmeinte,SimScript,"mappings,sim_app,sim_back,sim_struct,sim_ui,simple_db"
webdaford,aqleditor,
goldschmiede,2012-02-03_dsls_mit_xtext,"bodsl,mapdsl"
kthoms,org.eclipse.xtext.example.domainmodel,dmodel
Reitzner,xtextmaven,datavault
hectorsun,xtextonboost,
duck2,xtextbg,
HolyCityAudio,SpinCAD-Builder,"spincad,spincadmenu"
ceefour,glproto,glproto
DECENTSoftwareAssessment,dag.m1x.tests,
