Repositories,,,,,,Classification,,,Xtext files,,,,,,,Ecore files,,,,MWE2 files,,,Textual Instances,,,
Owner Login,Repository Name,Repository URL,#Forks,#Stars,Timespan (Days),Type,Language type,Retrofitting,Exist?,Count,Aver. Commit,Timespan (Days),Proportion (%),Changed Row Count,Changed Rule Count,Exist?,Count,Aver. Commit,scenario,Exist?,Count,Aver. Commit,Exist?,Count,Aver. Commit,Comment
nnn911,LaTeXTextOverlay,https://github.com/nnn911/LaTeXTextOverlay,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
IbanezGio,VuC,https://github.com/IbanezGio/VuC,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
KasperGam,IGESImport,https://github.com/KasperGam/IGESImport,0,0,8,Language,IGESImport,YES,YES,1,8,7,87.5,5,2,YES,1,3,grammar-driven,YES,1,1,YES,4,1.75,
ShahimEssaid,com.essaid.model.xtext,https://github.com/ShahimEssaid/com.essaid.model.xtext,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
gon10,EclipseRepoTese,https://github.com/gon10/EclipseRepoTese,0,0,30,Experimental/Personal,,,YES,6,1,0,0,0,0,YES,3,1,grammar-driven,YES,6,1,YES,6,1.17,
max-leuthaeuser,jmhmathexample,https://github.com/max-leuthaeuser/jmhmathexample,0,0,5,Training/Examples,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,NO,0,0,
tshoang,WhitespaceIDE,https://github.com/tshoang/WhitespaceIDE,0,0,0,Language,Whitespace,YES,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,YES,3,1,
seebgar,MISO4202-proyecto-xtext,https://github.com/seebgar/MISO4202-proyecto-xtext,0,0,0,Experimental/Personal,,,YES,2,2,0,0,6,1,NO,0,0,grammar-driven,YES,2,2,NO,0,0,
NiccoMlt,xtext-15-minutes-tutorial,https://github.com/NiccoMlt/xtext-15-minutes-tutorial,0,0,0,Training/Examples,,,YES,1,3,0,0,47,11,NO,0,0,grammar-driven,YES,1,1,YES,4,1.25,
SharkJ,theia-xtext-extension-test,https://github.com/SharkJ/theia-xtext-extension-test,0,0,0,Experimental/Personal,,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,YES,1,1,
jku-win-se,JsonBasedXtextGrammar,https://github.com/jku-win-se/JsonBasedXtextGrammar,0,0,0,Experimental/Personal,,,NO,0,0,0,0,0,0,YES,1,3,not applicable,NO,0,0,NO,0,0,
altran-mde,xtext-sirius-integration.io,https://github.com/altran-mde/xtext-sirius-integration.io,1,1,0,Infrastructure,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
cdietrich,xtext-core-issue-1835,https://github.com/cdietrich/xtext-core-issue-1835,0,0,0,Experimental/Personal,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
Zaki-Fadlan,xtext_getting_started_skilledup,https://github.com/Zaki-Fadlan/xtext_getting_started_skilledup,0,0,0,Training/Examples,,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,YES,8,1,
thlaegler,edilang,https://github.com/thlaegler/edilang,0,1,9,Language,EDIFACT messages,,YES,1,6,9,100,3031,292,YES,1,6,grammar-driven,YES,1,2,YES,7,1.43,
rudi,xtext-emacs-lsp-demo,https://github.com/rudi/xtext-emacs-lsp-demo,0,1,652,Training/Examples,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,YES,2,1.5,
fedorov-vk,apds_prototype,https://github.com/fedorov-vk/apds_prototype,0,0,0,Training/Examples,,,YES,2,2,0,0,2,0,NO,0,0,grammar-driven,YES,2,1,NO,0,0,
test-editor,test-editor-xtext-gradle,https://github.com/test-editor/test-editor-xtext-gradle,0,1,315,Infrastructure,,,YES,3,3.67,190,60.32,14.67,1.67,NO,0,0,grammar-driven,YES,3,1.33,NO,0,0,
Ixgauth,perspectiveDSL-Sirus-Xtext,https://github.com/Ixgauth/perspectiveDSL-Sirus-Xtext,0,0,0,Language,Multitouch-enabled modeling,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
keve98,SzakD_xtext_xtend,https://github.com/keve98/SzakD_xtext_xtend,0,1,183,Experimental/Personal,,,YES,2,1,0,0,0,0,NO,0,0,grammar-driven,YES,2,2,NO,0,0,
silvergl,xtext-headless-rcp-example,https://github.com/silvergl/xtext-headless-rcp-example,0,0,0,Experimental/Personal,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
reinaqu,bpmnFromXtextDSL,https://github.com/reinaqu/bpmnFromXtextDSL,0,1,31,Training/Examples,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,NO,0,0,
xtext,xtext-p2-orbit,https://github.com/xtext/xtext-p2-orbit,1,0,0,Infrastructure,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
dsl-course,xtext-tutorial-turku-interim,https://github.com/dsl-course/xtext-tutorial-turku-interim,0,0,1,Training/Examples,,,YES,2,3,1,100,0,0,YES,1,1,grammar-driven,YES,2,1,NO,0,0,
tfLabs,xtext-lsp-validation-anyway,https://github.com/tfLabs/xtext-lsp-validation-anyway,0,0,0,Training/Examples,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,YES,2,1,
BalzGuenat,xtext-bug-minimal-example,https://github.com/BalzGuenat/xtext-bug-minimal-example,0,0,0,Training/Examples,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
dmfullstack,org.xtext.example.mydsl,https://github.com/dmfullstack/org.xtext.example.mydsl,0,0,0,Experimental/Personal,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
zhou-jg,tefler,https://github.com/zhou-jg/tefler,0,0,9,Language,textual feature modeling,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,NO,0,0,
cdietrich,xtext-languageserver-example-simple,https://github.com/cdietrich/xtext-languageserver-example-simple,1,1,862,Training/Examples,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,2,YES,2,1,
msntts,Xtext-Standalone-fat-jar,https://github.com/msntts/Xtext-Standalone-fat-jar,0,0,20,Training/Examples,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,2,NO,0,0,
oldulov,cfeditor,https://github.com/oldulov/cfeditor,0,0,0,Infrastructure,,,YES,1,1,0,0,0,0,YES,1,1,metamodel-driven,YES,1,1,NO,0,0,
LorenzoBettini,xtext-type-errors-examples,https://github.com/LorenzoBettini/xtext-type-errors-examples,0,1,39,Training/Examples,,,YES,2,5.5,23,58.97,52.5,10,NO,0,0,grammar-driven,YES,2,3.5,NO,0,0,
claudenirmf,OntoUML-2.0-Xtext,https://github.com/claudenirmf/OntoUML-2.0-Xtext,0,1,412,Infrastructure,,,YES,1,3,412,100,38,8,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
Mehmetcanss,example_xtext_language_server_vscode,https://github.com/Mehmetcanss/example_xtext_language_server_vscode,0,0,0,Training/Examples,,,YES,2,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
lidochca,xtext.skip.build.before.rename,https://github.com/lidochca/xtext.skip.build.before.rename,0,0,0,Infrastructure,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
cdietrich,xtext-maven-plugin-coverage-example,https://github.com/cdietrich/xtext-maven-plugin-coverage-example,0,0,0,Training/Examples,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,YES,2,1,
Kevin-Philip,TP_etudiant_Compilax,https://github.com/Kevin-Philip/TP_etudiant_Compilax,0,0,69,Experimental/Personal,,,YES,1,11,55,79.71,4,1,YES,1,8,grammar-driven,YES,1,2,YES,112,1.55,
bproenca,mpti-dsl,https://github.com/bproenca/mpti-dsl,1,0,10,Language,Web pages,,YES,2,3,9,90,16,2,YES,1,2,grammar-driven,YES,2,1,NO,0,0,
tshoang,BareBonesIDE,https://github.com/tshoang/BareBonesIDE,0,0,0,Experimental/Personal,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,NO,0,0,
tareklel,PDFtoText,https://github.com/tareklel/PDFtoText,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
TVTower,TVTBlitzmaxEditor,https://github.com/TVTower/TVTBlitzmaxEditor,1,1,265,Infrastructure,,,YES,2,10.5,265,100,22.5,3.5,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
cdietrich,xtext-multi-dsl-manual-metamodel,https://github.com/cdietrich/xtext-multi-dsl-manual-metamodel,0,0,0,Training/Examples,,,YES,4,1,0,0,0,0,YES,2,1,metamodel-driven,YES,1,1,NO,0,0,
hallvard,xost,https://github.com/hallvard/xost,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
davidmpaz,log-book,https://github.com/davidmpaz/log-book,0,0,13,Training/Examples,,,YES,1,2,7,53.85,0,0,NO,0,0,grammar-driven,YES,1,2,NO,0,0,
oliver-reinhard,xtext-scoping-default-imports-demo,https://github.com/oliver-reinhard/xtext-scoping-default-imports-demo,0,0,0,Training/Examples,,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,NO,0,0,
szarnyasg,sql-pgq-xtext,https://github.com/szarnyasg/sql-pgq-xtext,0,0,10,Language,SQL/PGQ,Yes,YES,2,4.5,10,100,98.5,25.5,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
MISO4202,uniandes.mdd.example.create-xtext,https://github.com/MISO4202/uniandes.mdd.example.create-xtext,0,0,0,Training/Examples,,,NO,0,0,0,0,0,0,YES,1,1,not applicable,NO,0,0,NO,0,0,
NaoMod,XText-Language-Server-in-VSCode,https://github.com/NaoMod/XText-Language-Server-in-VSCode,0,1,16,Training/Examples,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,YES,1,1,
protossoftware,ReqText,https://github.com/protossoftware/ReqText,0,0,10,Language,Requirement,,YES,1,4,3,30,12,0,YES,1,3,grammar-driven,YES,1,2,YES,2,2.5,
cdietrich,simple-xtext-parallel-load-example,https://github.com/cdietrich/simple-xtext-parallel-load-example,0,0,0,Training/Examples,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,YES,4,1,
bobbyfisher1,expressions,https://github.com/bobbyfisher1/expressions,0,0,9,Training/Examples,,,YES,4,3,9,100,58.5,12,YES,2,2,grammar-driven,YES,4,1,YES,1,2,
vztpv,ClauTextWithEclipse,https://github.com/vztpv/ClauTextWithEclipse,0,1,10,Language,ClauText,YES,YES,1,11,7,70,1180,10,NO,0,0,grammar-driven,NO,0,0,NO,0,0,
tfLabs,xtext-n4js-lsp,https://github.com/tfLabs/xtext-n4js-lsp,0,1,11,Experimental/Personal,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,YES,2,1,
yishakabreham,mde.sales.transactions.xtext.4,https://github.com/yishakabreham/mde.sales.transactions.xtext.4,0,0,0,Experimental/Personal,,,YES,1,1,0,0,0,0,YES,1,1,metamodel-driven,YES,1,1,YES,2,1,
Rajesh2015,DSL-using-Xtext-and-Xtend,https://github.com/Rajesh2015/DSL-using-Xtext-and-Xtend,0,0,0,Training/Examples,,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,YES,2,1,
cdietrich,xtext-lsp-tests-with-tycho,https://github.com/cdietrich/xtext-lsp-tests-with-tycho,0,0,1,Training/Examples,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,NO,0,0,
CarlosAsrc,Reconhecedor-scheme,https://github.com/CarlosAsrc/Reconhecedor-scheme,1,1,19,Infrastructure,,,YES,1,5,6,31.58,17,5,YES,1,5,grammar-driven,YES,1,1,NO,0,0,
oliver-reinhard,xtext-scoping-default-namespaces-demo,https://github.com/oliver-reinhard/xtext-scoping-default-namespaces-demo,0,0,0,Training/Examples,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,YES,4,1,
TVTower,TVTDatabaseEditor,https://github.com/TVTower/TVTDatabaseEditor,1,0,974,Language,Game,,YES,1,30,961,98.67,59,3,NO,0,0,grammar-driven,YES,1,3,YES,15,2.53,
Tim-S,ReqLNG,https://github.com/Tim-S/ReqLNG,0,0,10,Language,controlled natural language,,YES,1,3,2,20,8,2,YES,1,3,grammar-driven,YES,1,2,NO,0,0,
mzaks,petrinet_dsl,https://github.com/mzaks/petrinet_dsl,1,2,11,Language,petri net,,YES,1,1,0,0,0,0,YES,1,1,metamodel-driven,YES,2,1,NO,0,0,
sumeetchhetri,faugjs-eclipse-plugin,https://github.com/sumeetchhetri/faugjs-eclipse-plugin,0,0,16,Infrastructure,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,YES,3,1.33,
JensBAndersen,PolicyLanguage,https://github.com/JensBAndersen/PolicyLanguage,0,0,12,Language,Security,,YES,1,3,12,100,30,9,NO,0,0,grammar-driven,NO,0,0,NO,0,0,
GlancingMind,xtext-lsp-missing-deleteFile-impl,https://github.com/GlancingMind/xtext-lsp-missing-deleteFile-impl,0,0,0,Experimental/Personal,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,NO,0,0,
zmy3036190149,theia-xtext-pf-v1-backup,https://github.com/zmy3036190149/theia-xtext-pf-v1-backup,0,0,0,Infrastructure,,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,YES,28,1,
MDSDLab,mdsd-2023-lab2-xtext-xtend,https://github.com/MDSDLab/mdsd-2023-lab2-xtext-xtend,0,0,0,Experimental/Personal,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,YES,11,1,
tshoang,XMarking,https://github.com/tshoang/XMarking,0,0,12,Language,Marking,,YES,2,1.5,8,66.67,0,0,YES,3,1.33,metamodel-driven,YES,2,1,NO,0,0,
SimonCockx,xtext-assertAllWhitespaceIsFormatted,https://github.com/SimonCockx/xtext-assertAllWhitespaceIsFormatted,0,0,0,Experimental/Personal,,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,NO,0,0,
tombk556,SF_Factories_Beleg2324_Xtext_DSL,https://github.com/tombk556/SF_Factories_Beleg2324_Xtext_DSL,0,0,0,Experimental/Personal,,,YES,2,1,0,0,0,0,YES,2,1,grammar-driven,YES,2,1,NO,0,0,
DonatasC,CodeGeneration,https://github.com/DonatasC/CodeGeneration,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
NSaitoNmiri,toppers_cfg_xtext,https://github.com/NSaitoNmiri/toppers_cfg_xtext,0,0,12,Language,Automotive kernel modeling,,YES,1,3,10,83.33,33,13,NO,0,0,grammar-driven,YES,1,4,NO,0,0,
zs6jce,x400-xrpgle,https://github.com/zs6jce/x400-xrpgle,1,1,0,Experimental/Personal,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
cyrilnavessamuel,TripManagment,https://github.com/cyrilnavessamuel/TripManagment,0,0,0,Experimental/Personal,,,YES,2,1,0,0,0,0,YES,1,1,metamodel-driven,YES,2,1,YES,1,1,
paullewallencom,xtext-xtend-978-1-7864-6496-5,https://github.com/paullewallencom/xtext-xtend-978-1-7864-6496-5,0,1,19,Experimental/Personal,,,YES,11,1,0,0,0,0,YES,2,1,metamodel-driven,YES,12,1,YES,7,1,
osarenogae,fault_trees_textual_editor,https://github.com/osarenogae/fault_trees_textual_editor,0,0,12,Language,False tree,,YES,2,2,0,0,2,0,YES,1,1,grammar-driven,YES,2,1,NO,0,0,
vorburger,xtend-StackOverflowError-issue461,https://github.com/vorburger/xtend-StackOverflowError-issue461,0,0,0,Experimental/Personal,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
JoaoMAlmeida,projetoCompiladores18-2,https://github.com/JoaoMAlmeida/projetoCompiladores18-2,0,0,2,Experimental/Personal,,,YES,1,2,1,50,11,1,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
Bisssen,math_assignment_3_math_compiler_xtext_and_xtend,https://github.com/Bisssen/math_assignment_3_math_compiler_xtext_and_xtend,0,0,0,Experimental/Personal,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,NO,0,0,NO,0,0,
vks2106,domain.model,https://github.com/vks2106/domain.model,0,0,0,Training/Examples,,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,NO,0,0,
metafacture,metafacture-flux,https://github.com/metafacture/metafacture-flux,0,0,1112,Language,Library Metadata,,YES,1,2,3,0.27,0,0,NO,0,0,grammar-driven,YES,1,4,NO,0,0,
mrtnstn,example-script-language,https://github.com/mrtnstn/example-script-language,0,0,0,Training/Examples,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
Michel-Nassalang,eclipse_workspace,https://github.com/Michel-Nassalang/eclipse_workspace,0,0,0,Experimental/Personal,,,YES,16,1,0,0,0,0,YES,13,1,Both,YES,15,1,YES,2,1,
varadbal,FunPL,https://github.com/varadbal/FunPL,0,0,29,Training/Examples,,,YES,2,16,29,100,152,30,YES,1,2,metamodel-driven,YES,2,2,NO,0,0,
kecksk0enig,vuc-xtext,https://github.com/kecksk0enig/vuc-xtext,0,0,13,Language,Game,,YES,1,3,10,76.92,14,1,YES,1,3,grammar-driven,YES,1,2,YES,1,1,
EightPillars,NmtranEditor,https://github.com/EightPillars/NmtranEditor,0,0,119,Experimental/Personal,,,YES,1,4,119,100,116,30,YES,1,3,grammar-driven,YES,1,3,YES,76,1,
DSIE2,Implementing-observer-design-pattern-with-Xtext-and-Xtend,https://github.com/DSIE2/Implementing-observer-design-pattern-with-Xtext-and-Xtend,0,0,0,Experimental/Personal,,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,NO,0,0,
ooaa30,Wail,https://github.com/ooaa30/Wail,1,0,13,Language,Modeling AI behavior,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,NO,0,0,
rainerschuster,jdl-ide,https://github.com/rainerschuster/jdl-ide,0,0,13,Language,JHipster Domain,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
mischnic,bachelors-thesis,https://github.com/mischnic/bachelors-thesis,0,0,0,Experimental/Personal,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
cs130-w22,statemachine,https://github.com/cs130-w22/statemachine,0,1,0,Training/Examples,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,YES,2,1,
evandor,skysail-prototypr-dsl,https://github.com/evandor/skysail-prototypr-dsl,0,0,14,Language,Skysail,,YES,1,2,1,7.14,25,5,YES,1,2,grammar-driven,YES,1,1,NO,0,0,
houssemradhouane,Meta-Modelisation-of-Games-Using-UML-Eclipse-Xtext-Acceleo-JAVA,https://github.com/houssemradhouane/Meta-Modelisation-of-Games-Using-UML-Eclipse-Xtext-Acceleo-JAVA,0,1,48,Experimental/Personal,,,YES,1,2,0,0,0,0,NO,0,0,grammar-driven,NO,0,0,NO,0,0,
mdsd-team-1,domain-specific-language,https://github.com/mdsd-team-1/domain-specific-language,0,0,22,Training/Examples,,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,YES,6,1,
PalladioSimulator,Palladio-Editors-VSCode,https://github.com/PalladioSimulator/Palladio-Editors-VSCode,1,1,0,Language,Palladio Component Models,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
nils-christian,xtend-active-annotation-issue,https://github.com/nils-christian/xtend-active-annotation-issue,0,0,0,Experimental/Personal,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
modicio,feature-dsl-tools,https://github.com/modicio/feature-dsl-tools,0,0,131,Infrastructure,,,YES,1,9,9,6.87,7,1,YES,1,3,grammar-driven,YES,1,2,YES,1,2,
HBuender,Aim42Visualizer,https://github.com/HBuender/Aim42Visualizer,0,1,0,Language,Issue visualization,,YES,1,3,0,0,6,0,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
scanyboss,ide-yourdsl,https://github.com/scanyboss/ide-yourdsl,0,0,0,Infrastructure,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
spirvdev,dumpsymb,https://github.com/spirvdev/dumpsymb,0,1,0,Experimental/Personal,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
adautofbn,pascal-xtext,https://github.com/adautofbn/pascal-xtext,0,1,15,Language,Pascal,YES,YES,2,4,15,100,86,21,YES,1,4,grammar-driven,YES,2,2,NO,0,0,
agonzalezgaliana,mydsl-language-server,https://github.com/agonzalezgaliana/mydsl-language-server,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
codezork,DSL-Blog,https://github.com/codezork/DSL-Blog,0,0,3,Training/Examples,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
LorenzoBettini,issue-2000-example,https://github.com/LorenzoBettini/issue-2000-example,0,0,1,Training/Examples,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,2,NO,0,0,
bogdanvuk,xrst,https://github.com/bogdanvuk/xrst,0,0,15,Language,reStructuredText,YES,YES,2,1,0,0,0,0,YES,2,1,grammar-driven,YES,3,1,NO,0,0,
scanyboss,hello-world-language,https://github.com/scanyboss/hello-world-language,0,0,0,Experimental/Personal,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
joerg-holtmann,Pretty-Printer_Language-Analysis,https://github.com/joerg-holtmann/Pretty-Printer_Language-Analysis,0,1,798,Experimental/Personal,,,YES,20,1,630,78.95,0,0,YES,124,1.3,metamodel-driven,YES,20,1,YES,13,1,
nakul02,sysml.dml,https://github.com/nakul02/sysml.dml,1,0,15,Language,Apache SystemML,YES,YES,2,2,0,0,1,0,YES,1,1,grammar-driven,YES,2,1,NO,0,0,
HermanPeeren,eJSL-MPS,https://github.com/HermanPeeren/eJSL-MPS,0,1,0,Language,Software Extensions,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
matheuslenke,Xtext-UML,https://github.com/matheuslenke/Xtext-UML,0,0,18,Language,UML,YES,YES,4,3,18,100,15.5,2.25,YES,1,6,grammar-driven,YES,1,1,NO,0,0,
mdsd-team-1,dsl-layered-style,https://github.com/mdsd-team-1/dsl-layered-style,0,0,0,Experimental/Personal,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
larissafiorini,t2-lingProg,https://github.com/larissafiorini/t2-lingProg,0,0,31,Experimental/Personal,,,YES,2,2,14,45.16,-5,-2,YES,1,2,grammar-driven,YES,2,1,NO,0,0,
ragben,NetzDsl,https://github.com/ragben/NetzDsl,0,0,0,Experimental/Personal,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
EricssonPlant,plantuml-xtext-light,https://github.com/EricssonPlant/plantuml-xtext-light,1,0,18,Language,PlantUML,YES,YES,1,3,18,100,174,32,NO,0,0,grammar-driven,NO,0,0,NO,0,0,
gyaltso,Eclipse-Training-Schedules,https://github.com/gyaltso/Eclipse-Training-Schedules,0,0,0,Training/Examples,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
wzurborg,xtend-example,https://github.com/wzurborg/xtend-example,0,0,0,Training/Examples,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,3,NO,0,0,
alexwatts,xtext-j2ee-dsl,https://github.com/alexwatts/xtext-j2ee-dsl,0,1,18,Language,Code Generation,,YES,4,2.75,16,88.89,9,2.25,NO,0,0,grammar-driven,YES,6,1.67,YES,42,1.6,
oyse,jetson,https://github.com/oyse/jetson,0,1,20,Language,JSON,YES,YES,1,2,0,0,3,1,NO,0,0,grammar-driven,YES,1,2,YES,5,1.4,
dsanmartins,Entidades,https://github.com/dsanmartins/Entidades,0,0,33,Experimental/Personal,,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,NO,0,0,
evansnicholas,yaxpath,https://github.com/evansnicholas/yaxpath,0,0,20,Language,XPath2 expressions,,YES,1,8,19,95,24,5,YES,1,7,grammar-driven,YES,1,1,NO,0,0,
jonaslagoni,JSON-Schema-to-internal-DSL,https://github.com/jonaslagoni/JSON-Schema-to-internal-DSL,0,2,22,Language,JSON Schema,YES,YES,1,8,19,86.36,138,6,YES,1,7,grammar-driven,YES,1,3,YES,1,1,
robinguill,DSL_UML_INSA,https://github.com/robinguill/DSL_UML_INSA,0,0,48,Experimental/Personal,,,YES,1,30,47,97.92,198,17,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
DedalArmy,SpringDSLJava,https://github.com/DedalArmy/SpringDSLJava,0,0,0,Experimental/Personal,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
Vallenstein,xtext_web,https://github.com/Vallenstein/xtext_web,0,0,22,Language,Landing pages,,YES,2,8,22,100,113,21,YES,1,6,grammar-driven,YES,2,1,NO,0,0,
nkonev,CalcXtext,https://github.com/nkonev/CalcXtext,0,0,22,Language,Arithmetics,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,YES,1,1,
casino-mdd,DSL,https://github.com/casino-mdd/DSL,0,0,23,Language,Casino Project,YES,YES,2,14,23,100,370,47,YES,1,10,grammar-driven,YES,2,1,YES,1,11,
fayssalElAnsari,Kotlin-Meta-Model,https://github.com/fayssalElAnsari/Kotlin-Meta-Model,0,0,23,Language,KOTLIN,YES,YES,1,1,0,0,0,0,YES,1,18,metamodel-driven,YES,1,1,YES,3,1.33,
Wilson008,GrammarGenerator,https://github.com/Wilson008/GrammarGenerator,0,0,0,Infrastructure,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
lowcomote,DBML-to-ER,https://github.com/lowcomote/DBML-to-ER,0,0,24,Language,SQL,YES,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,YES,43,1,
agentlab,PowerLoomDSL,https://github.com/agentlab/PowerLoomDSL,0,1,24,Language,PowerLoom PLM,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,YES,10,1,
ryangarvey,mde-spec,https://github.com/ryangarvey/mde-spec,0,0,62,Infrastructure,,,YES,1,1,0,0,0,0,YES,1,2,grammar-driven,YES,1,1,YES,1,1,
bfMarcelino,SchemeLP,https://github.com/bfMarcelino/SchemeLP,0,0,0,Infrastructure,,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,NO,0,0,
henriklange,ifcBrickConvert,https://github.com/henriklange/ifcBrickConvert,0,0,0,Experimental/Personal,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
Virtlink,paplj-xtext,https://github.com/Virtlink/paplj-xtext,0,1,25,Language,PAPLJ,YES,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,YES,1,2,
claudenirmf,TPTP-Editor,https://github.com/claudenirmf/TPTP-Editor,0,0,3,Language,Theorem proving,,YES,1,2,2,66.67,0,0,YES,1,2,grammar-driven,YES,1,1,NO,0,0,
