Repositories,,,,,,Classification,,,Xtext files,,,,,,,Ecore files,,,,MWE2 files,,,Textual Instances,,,
Owner Login,Repository Name,Repository URL,#Forks,#Stars,Timespan (Days),Type,Language type,Retrofitting,Exist?,Count,Aver. Commit,Timespan (Days),Proportion (%),Changed Row Count,Changed Rule Count,Exist?,Count,Aver. Commit,scenario,Exist?,Count,Aver. Commit,Exist?,Count,Aver. Commit,Comment
r4mtor,xtext-talks,https://github.com/r4mtor/xtext-talks,0,0,340,Training/Examples,,,YES,1,3,20,5.88,1,0,YES,1,2,grammar-driven,YES,1,2,YES,1,2,
nbhusare,xtext-playground,https://github.com/nbhusare/xtext-playground,0,0,0,Experimental/Personal,,,YES,6,1,0,0,0,0,YES,2,1,grammar-driven,YES,4,1,NO,0,0,
kokostino,xtext_kokomodel,https://github.com/kokostino/xtext_kokomodel,0,0,6,Experimental/Personal,,,YES,4,4,6,100,9,2.5,YES,2,1.5,metamodel-driven,YES,4,1,NO,0,0,
leolimasa,reqlang,https://github.com/leolimasa/reqlang,0,1,0,Language,write software requirements,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,NO,0,0,
helunwencser,PAOC,https://github.com/helunwencser/PAOC,0,0,0,Language,Platform for Activity-Oriented Context,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,NO,0,0,
lahirugayanga,xtext-projection,https://github.com/lahirugayanga/xtext-projection,0,0,0,Training/Examples,,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,NO,0,0,
daniel614,xtext-webapp,https://github.com/daniel614/xtext-webapp,0,1,19,Training/Examples,,,YES,2,5,19,100,3,0,YES,1,7,grammar-driven,YES,2,1,NO,0,0,
Spiderixius,DSLIndividualXtext,https://github.com/Spiderixius/DSLIndividualXtext,0,1,10,Training/Examples,,,YES,1,3,10,100,4,1,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
rainerschuster,tlsf-ide,https://github.com/rainerschuster/tlsf-ide,0,0,0,Language,TLSF,YES,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
rainerschuster,asdl-ide,https://github.com/rainerschuster/asdl-ide,1,1,0,Language,ASDL,YES,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
