Owner Login,Repo Name,XText File Count
ArneDeutsch,xtext-gradle-example,6
oliver-reinhard,xtext-ppt-demo,1
tpluscode,xtext-completion-nullpointer,2
idiomaticsoft,sbt-xtext-plugin,0
pen-zhang,online_elm_xtext,2
raglu,ExternalDSL-xtext,1
kulcsii,xtext-railmap-theia,2
NiccoMlt,xtext-showdown-grammar,1
NinjaArmy,xtext-language-server,0
jnt0r,xtext-npe-reproducable,2
HermanPeeren,eJSL-ANTLR4,0
cs130-w21,statemachine,1
csbc92,MDSE-assignment3,1
ghillairet,org.example.mydsl.parent,1
antoine-morvan,caph-java-parser,1
abatti,XTEXT_FACPL3_PreserveVarious,0
tfLabs,xtext-languageserver-example-duplicator,1
LorenzoBettini,xtext-maven-plugin-example,1
cdietrich,xtext-eclipse-issue-1009,0
patrickneubauer,UoY-MODE-XTEXT,3
cau-se,sprat-ecosystem-dsl-xtext,1
cdietrich,theia-xtext-vscode-example,0
cdietrich,j9-tycho-xtext,1
loradd,xtext-lsp-ecore-support,1
nnn911,LaTeXTextOverlay,0
IbanezGio,VuC,0
Samirez,DSLs,8
ShahimEssaid,com.essaid.model.xtext,0
gon10,EclipseRepoTese,6
max-leuthaeuser,jmhmathexample,1
tshoang,WhitespaceIDE,1
seebgar,MISO4202-proyecto-xtext,2
NiccoMlt,xtext-15-minutes-tutorial,1
SharkJ,theia-xtext-extension-test,2
jku-win-se,JsonBasedXtextGrammar,0
altran-mde,xtext-sirius-integration.io,0
cdietrich,xtext-core-issue-1835,0
Zaki-Fadlan,xtext_getting_started_skilledup,2
raptor494,Xtext-Minecraft-JSON-Languages,4
rudi,xtext-emacs-lsp-demo,1
fedorov-vk,apds_prototype,2
test-editor,test-editor-xtext-gradle,3
Ixgauth,perspectiveDSL-Sirus-Xtext,2
keve98,SzakD_xtext_xtend,2
silvergl,xtext-headless-rcp-example,1
reinaqu,bpmnFromXtextDSL,1
xtext,xtext-p2-orbit,0
dsl-course,xtext-tutorial-turku-interim,2
tfLabs,xtext-lsp-validation-anyway,1
BalzGuenat,xtext-bug-minimal-example,1
dmfullstack,org.xtext.example.mydsl,1
SuelanyBrito,JFlex_CUP_XText_SQL,2
cdietrich,xtext-languageserver-example-simple,1
msntts,Xtext-Standalone-fat-jar,1
oldulov,cfeditor,1
LorenzoBettini,xtext-type-errors-examples,2
claudenirmf,OntoUML-2.0-Xtext,1
