Repo Owner,Repo Name,XText File Path
idiomaticsoft,xtext-tips,value-converter-validation/02end/com.idiomaticsoft.dsl.hex.parent/com.idiomaticsoft.dsl.hex/src/com/idiomaticsoft/dsl/hex/Hex.xtext
idiomaticsoft,xtext-tips,value-converter/01start/com.idiomaticsoft.dsl.hex.parent/com.idiomaticsoft.dsl.hex/src/com/idiomaticsoft/dsl/hex/Hex.xtext
idiomaticsoft,xtext-tips,value-converter/02end/com.idiomaticsoft.dsl.hex.parent/com.idiomaticsoft.dsl.hex/src/com/idiomaticsoft/dsl/hex/Hex.xtext
atb,pt.isep.dsl.puml,pt.isep.dsl.puml.parent/pt.isep.dsl.puml/src/pt/isep/dsl/puml/Puml-original.xtext
atb,pt.isep.dsl.puml,pt.isep.dsl.puml.parent/pt.isep.dsl.puml/src/pt/isep/dsl/puml/Puml.xtext
Webastronaut,mgpl,workspace/mgpl/src/mgpl/MGPL.xtext
PAMunb,MetaCrySL,br.unb.cic.mcsl/src/br/unb/cic/mcsl/MetaCrySL.xtext
raghvendra-v,tosca-yaml-lsp,org.ezyaml.lang.tosca.yaml/src/org/ezyaml/lang/tosca/Yaml.xtext
zxhr,gradle-xtext-generator,src/test/resources/mydsl-xtend/src/main/xtext/MyDsl.xtext
zxhr,gradle-xtext-generator,src/test/resources/mydsl-xtext-version/src/main/xtext/MyDsl.xtext
zxhr,gradle-xtext-generator,src/test/resources/mydsl/src/main/xtext/MyDsl.xtext
tmtron,ex.xtext.lsp,com.tmtron.ex.xtext.lsp.parent/com.tmtron.ex.xtext.lsp/src/main/java/com/tmtron/ex/xtext/lsp/ExDsl.xtext
echebbi,standalone-xtext-example,org.xtext.example.mydsl.parent/org.xtext.example.mydsl/src/org/xtext/example/mydsl/MyDsl.xtext
darvasd,xtext-docs-gen,examples/org.example.domainmodel/src/org/example/domainmodel/Domainmodel.xtext
jcabot,WordPress-Plugin-DSL,org.xtext.example.wpdsl/src/org/xtext/example/mydsl/WPDsl.xtext
JensBAndersen,PolicyLanguage,Policy.xtext
Mabar16,xtextMath,sdu.mdsd.mathinterpreter/src/sdu/mdsd/Mathinterpreter.xtext
mraminella,XtextExamples,org.example.expressions/bin/org/example/expressions/Expressions.xtext
mraminella,XtextExamples,org.example.expressions/src/org/example/expressions/Expressions.xtext
mraminella,XtextExamples,org.xtext.example.smalljava/bin/org/xtext/example/smalljava/SmallJava.xtext
mraminella,XtextExamples,org.xtext.example.smalljava/src/org/xtext/example/smalljava/SmallJava.xtext
msntts,XtextStudy,crossref_sample/crossref/org.xtext.example.mydsl/src/org/xtext/example/mydsl/MyDsl.xtext
msntts,XtextStudy,maven_sample/workspace/org.xtext.example.mydsl.parent/org.xtext.example.mydsl/src/org/xtext/example/mydsl/MyDsl.xtext
dstoft,XtextWorkspace,sdu.mdsd.math.interpreter/bin/sdu/mdsd/math/interpreter/MathInterpreter.xtext
dstoft,XtextWorkspace,sdu.mdsd.math.interpreter/src/sdu/mdsd/math/interpreter/MathInterpreter.xtext
dstoft,XtextWorkspace,sdu.mdsd.tut1/bin/sdu/mdsd/tut1/Tut1Dsl.xtext
dstoft,XtextWorkspace,sdu.mdsd.tut1/src/sdu/mdsd/tut1/Tut1Dsl.xtext
vinisbranco,XtextTrabalho2,org.xtext.example.domainmodel/bin/org/xtext/example/domainmodel/Domainmodel.xtext
vinisbranco,XtextTrabalho2,org.xtext.example.domainmodel/src/org/xtext/example/domainmodel/Domainmodel.xtext
SharkJ,XtextInheritanceTest,org.xtext.example.mydsl/bin/org/xtext/example/mydsl/MyDsl.xtext
SharkJ,XtextInheritanceTest,org.xtext.example.mydsl/bin/org/xtext/example/mydsl/MyDsl2.xtext
SharkJ,XtextInheritanceTest,org.xtext.example.mydsl/src/org/xtext/example/mydsl/MyDsl.xtext
SharkJ,XtextInheritanceTest,org.xtext.example.mydsl/src/org/xtext/example/mydsl/MyDsl2.xtext
OLibutzki,XtextExtras446,de.libutzki.xtextextras446.parent/de.libutzki.xtextextras446/src/de/libutzki/xtextextras446/XtextExtras446.xtext
AndreasGroentved,XtextDSL2018,groupDSL/src/dk/sdu/WPage.xtext
pakhopav,XtextLanguageGradle,src/main/resources/grammars/Terminals.xtext
pakhopav,XtextLanguageGradle,src/main/resources/grammars/Xbase.xtext
pakhopav,XtextLanguageGradle,src/main/resources/grammars/Xtext.xtext
pakhopav,XtextLanguageGradle,src/main/resources/grammars/Xtype.xtext
pakhopav,XtextLanguageGradle,src/test/resources/testData/completion/keys/afterMultilineCommentEnd.xtext
