test-editor,test-editor-xtext-gradle,2,1.00
Ixgauth,perspectiveDSL-Sirus-Xtext,0
keve98,SzakD_xtext_xtend,0,0.00
silvergl,xtext-headless-rcp-example,0,0.00
reinaqu,bpmnFromXtextDSL,0,0.00
xtext,xtext-p2-orbit,0
dsl-course,xtext-tutorial-turku-interim,0,0.00
tfLabs,xtext-lsp-validation-anyway,2,1.00
BalzGuenat,xtext-bug-minimal-example,0,0.00
dmfullstack,org.xtext.example.mydsl,0,0.00
SuelanyBrito,JFlex_CUP_XText_SQL,0,0.00
cdietrich,xtext-languageserver-example-simple,2,1.00
msntts,Xtext-Standalone-fat-jar,0,0.00
oldulov,cfeditor,0,0.00
LorenzoBettini,xtext-type-errors-examples,0,0.00
claudenirmf,OntoUML-2.0-Xtext,0,0.00
Mehmetcanss,example_xtext_language_server_vscode,0,0.00
lidochca,xtext.skip.build.before.rename,0
cdietrich,xtext-maven-plugin-coverage-example,2,1.00
Kevin-Philip,TP_etudiant_Compilax,112,1.55
elite-se,elite-se.xtext.languages.plantuml,23,2.22
tshoang,BareBonesIDE,0,0.00
tareklel,PDFtoText,0
TVTower,TVTBlitzmaxEditor,0,0.00
cdietrich,xtext-multi-dsl-manual-metamodel,0,0.00
hallvard,xost,0
davidmpaz,log-book,0,0.00
oliver-reinhard,xtext-scoping-default-imports-demo,0,0.00
tshoang,Simple-Barebone-XText-based-IDE,0,0.00
MISO4202,uniandes.mdd.example.create-xtext,0
NaoMod,XText-Language-Server-in-VSCode,1,1.00
MISO4202,xtext-egl-sql2java,1,1.00
cdietrich,simple-xtext-parallel-load-example,4,1.00
bobbyfisher1,expressions,1,2.00
lowcomote,DBML-to-ER,43,1.00
tfLabs,xtext-n4js-lsp,2,1.00
yishakabreham,mde.sales.transactions.xtext.4,2,1.00
Rajesh2015,DSL-using-Xtext-and-Xtend,2,1.00
cdietrich,xtext-lsp-tests-with-tycho,0,0.00
CarlosAsrc,Reconhecedor-scheme,0,0.00
oliver-reinhard,xtext-scoping-default-namespaces-demo,4,1.00
TVTower,TVTDatabaseEditor,15,2.53
casino-mdd,DSL,0,0.00
cokeSchlumpf,bashdsl,0,0.00
sumeetchhetri,faugjs-eclipse-plugin,3,1.33
sderrien,Uclid-editor,51,1.00
GlancingMind,xtext-lsp-missing-deleteFile-impl,0,0.00
zmy3036190149,theia-xtext-pf-v1-backup,28,1.00
MDSDLab,mdsd-2023-lab2-xtext-xtend,11,1.00
abieren,MDSD-Xtext-Project-for-JavaFX,0,0.00
SimonCockx,xtext-assertAllWhitespaceIsFormatted,0,0.00
tombk556,SF_Factories_Beleg2324_Xtext_DSL,0,0.00
DonatasC,CodeGeneration,0
trichterwolke,init,0,0.00
zs6jce,x400-xrpgle,0
cyrilnavessamuel,TripManagment,1,1.00
paullewallencom,xtext-xtend-978-1-7864-6496-5,7,1.00
coalae,telemed,1,1.00
vorburger,xtend-StackOverflowError-issue461,0
JoaoMAlmeida,projetoCompiladores18-2,0,0.00
Bisssen,math_assignment_3_math_compiler_xtext_and_xtend,0
vks2106,domain.model,0,0.00
metafacture,metafacture-flux,0,0.00
mrtnstn,example-script-language,0,0.00
Michel-Nassalang,eclipse_workspace,154,1.00
varadbal,FunPL,0,0.00
oliverablagojevic,QuestionnaireDSL,0,0.00
EightPillars,NmtranEditor,76,1.00
DSIE2,Implementing-observer-design-pattern-with-Xtext-and-Xtend,0,0.00
George-6629,Lobster-language-conversion-sql-language-based-on-Xtext,0,0.00
hvbargen,meth,2,1.00
mischnic,bachelors-thesis,0
cs130-w22,statemachine,2,1.00
cesarlaso,tfm-udima-arquitectura-del-software-dsl-ecore-xtext-emf,10,1.00
houssemradhouane,Meta-Modelisation-of-Games-Using-UML-Eclipse-Xtext-Acceleo-JAVA,0
mdsd-team-1,domain-specific-language,6,1.00
PalladioSimulator,Palladio-Editors-VSCode,0
nils-christian,xtend-active-annotation-issue,0
modicio,feature-dsl-tools,1,2.00
HBuender,Aim42Visualizer,0,0.00
scanyboss,ide-yourdsl,0
spirvdev,dumpsymb,0
thlaegler,edilang,7,1.43
agonzalezgaliana,mydsl-language-server,0
codezork,DSL-Blog,0,0.00
