Repository,ecore_count,result
xtext-xtend-978-1-7864-6496-5,2,Metamodel-Driven
telemed,2,TBD
xtend-StackOverflowError-issue461,0,null
projetoCompiladores18-2,0,null
math_assignment_3_math_compiler_xtext_and_xtend,0,null
domain.model,1,Grammar-Driven
metafacture-flux,0,null
example-script-language,0,null
eclipse_workspace,13,TBD
FunPL,1,Metamodel-Driven
QuestionnaireDSL,1,Metamodel-Driven
NmtranEditor,1,Grammar-Driven
Implementing-observer-design-pattern-with-Xtext-and-Xtend,1,Grammar-Driven
Lobster-language-conversion-sql-language-based-on-Xtext,1,Grammar-Driven
meth,1,Grammar-Driven
bachelors-thesis,0,null
statemachine,1,Grammar-Driven
tfm-udima-arquitectura-del-software-dsl-ecore-xtext-emf,18,Metamodel-Driven
Meta-Modelisation-of-Games-Using-UML-Eclipse-Xtext-Acceleo-JAVA,0,null
domain-specific-language,1,Grammar-Driven
Palladio-Editors-VSCode,0,null
xtend-active-annotation-issue,0,null
feature-dsl-tools,1,Grammar-Driven
Aim42Visualizer,0,null
ide-yourdsl,0,null
dumpsymb,0,null
edilang,1,Grammar-Driven
mydsl-language-server,0,null
DSL-Blog,0,null
issue-2000-example,0,null
net.adempiere.dsl.properties.spring.parent,1,Grammar-Driven
hello-world-language,0,null
Pretty-Printer_Language-Analysis,124,Metamodel-Driven
HLVL,0,null
eJSL-MPS,0,null
kukulkan-language-server,1,Grammar-Driven
dsl-layered-style,0,null
t2-lingProg,1,Grammar-Driven
NetzDsl,0,null
assertx-swing,1,Grammar-Driven
Eclipse-Training-Schedules,0,null
xtend-example,0,null
simple-ros-code-generator,2,Metamodel-Driven
linguaPhyloDSL,1,Grammar-Driven
Entidades,1,Grammar-Driven
datasample,1,Metamodel-Driven
smart-dsl,2,TBD
DSL_UML_INSA,0,null
SpringDSLJava,0,null
tumlrt-language-server,0,null
HTTP-REST-test-DSL,1,Grammar-Driven
DSL-Wizard-Creator,1,Metamodel-Driven
Wail,1,Grammar-Driven
GrammarGenerator,0,null
dsl,1,Grammar-Driven
MiniTL,5,TBD
mde-spec,1,Grammar-Driven
SchemeLP,1,Grammar-Driven
ifcBrickConvert,0,null
fault_trees_textual_editor,1,Grammar-Driven
TPTP-Editor,1,Grammar-Driven
IDM,1,Metamodel-Driven
ifcBrickConvertDsl,1,Grammar-Driven
XModel-Code-Converter,1,Grammar-Driven
XModel-Code-Converter,1,Grammar-Driven
CEPStaticAnalysis,1,Grammar-Driven
MiniARM-feature,1,Grammar-Driven
C4EventB,1,Metamodel-Driven
metatemplating,5,TBD
AWS-EC2-Service_DSL-EMF,1,Metamodel-Driven
math-interpreter-dsl,1,Grammar-Driven
concept_project,0,null
Model-Driven-Engineering,3,Metamodel-Driven
