owner,repo,created_date
karthik137,xtext-demo,2020-05-13
MDE-Course-23-24,SIRIUS-XTEXT,2023-12-13
softlang,megal-xtext,2018-04-18
laurocesar,xtext-domainmodel,2021-05-14
Yahaya12,Xtext-project,2021-09-15
malhxr,SpeechXtext,2022-06-06
stanimirovv,xtext-extractor,2022-03-16
3m3k3,xtext-congen,2023-04-09
pen-zhang,xtext_elm_editor,2020-12-27
NSaitoNmiri,toppers_cfg_xtext,2019-05-24
tmtron,ex.xtext.twog,2018-01-27
vinicius0197,metacrysl,2020-05-27
Dexels,navascript-editor,2021-02-05
adrianrutle,PCS953-EMF-Exercise,2019-03-08
ravornyo,xspice,2022-03-13
yamen-njm,IotXtext,2019-01-09
kainzpat14,xtext-plsql,2022-02-23
epsilonlabs,emc-xtext,2022-01-13
robertovillarejo,kukulkan-grammar,2018-03-02
lvanzeun,ulm-xtext-test,2018-07-24
purerstamp,N7.compilateur,2018-09-07
jaedabee,xtext-gradle-test,2020-04-13
MassiBelaid,M-langeuse-Xtext,2020-11-29
qxe35v,xtext_encoding_dsl,2018-03-14
random-eclipse,nix-eclipse-xtext,2018-04-16
meta-doodle,Xtext_Gradle_Test,2020-02-19
LiamWalsh98,nusmv-xtext-lsp,2020-08-10
MaximilianKoestler,vscode-xtext-links,2020-11-03
AhmedEssam2212,xText-Editor-,2021-01-04
adrinerDP,DSL-with-Xtext,2023-03-22
cdietrich,xtext-domainmodel-ls,2023-02-10
tmtron,ex.xtext.ml,2018-02-26
andrewsandu,xtext-web-example,2018-07-27
pngowda,xtext-build-tools,2018-12-03
SharkJ,xtext-dsl-sample,2018-11-30
hammedb197,team-hacktive-xtext,2019-07-08
SimonCockx,xtext-monaco-example,2022-10-31
mister-walter,xtext-folding-issue,2023-10-23
alexvolh,xtext-xml-grammar,2018-10-04
SharkJ,my-theia-xtext,2018-11-21
urbanoanderson,xtext-gait-model,2019-02-20
vjordan,Xtext_directory-file,2019-03-20
JosBouwhuis,xText-DSL,2019-05-24
CS130-W20,assignment-2-xtext,2020-02-26
lunifera,xtext-jvmtypeprovider-standalone,2023-01-28
bobbyfisher1,eclipse-workspace,2018-05-02
dsl-course,xtext-entities-tutorial,2020-03-09
Highbrainer,xtext-pde-target,2024-01-30
mattsse,xtext-fipa-acl,2018-03-15
XIECHO,qingo_xtext_documentation,2019-12-13
FariSoftware,xtext-problem-matcher,2021-04-08
ShrawanBK,xtext.sales.transactions,2022-02-06
Lzgpom,xtext-gen-extension,2022-06-23
drkstr101,Domainmodel,2020-04-30
vinicius0197,expressions-dsl,2020-04-30
LorenzoBettini,xtext-xdoc-releases,2021-04-02
KarstenWilken,xTextForum,2018-11-19
S-wald,xtext-plugin-gradle,2022-11-12
lahirugayanga,xtext-example-dsl,2018-12-03
cdietrich,xtext-fragment-experiments,2021-09-29
cdietrich,xtext_bug_1974,2021-10-05
bergmanngabor,xtext-railmap-demo,2018-10-25
mchlrch,xtext-intro-bfh,2018-12-10
EvdokimovMaks,xtext-example-entities,2019-10-10
cipek,MyFirstXText,2019-06-13
pngowda,xtext-ci-libs,2019-02-08
paulvberlin,BaSiriusXtext,2019-02-19
szarnyasg,sql-pgq-xtext,2021-02-16
frademacher,xtext-jpms-test,2022-03-02
xtext,xtext-monorepo-lfs,2023-03-06
LorenzoBettini,xtext-build-utils,2020-01-27
cdietrich,xtext-two-dsls,2023-12-29
balazsgrill,xtext_bug508518,2018-07-24
Tim-S,xtext-valueconverter-example,2018-08-16
ayakurtam,xText-Editor,2021-01-05
HouseBuilder-MDE,HouseBuilder-Xtext,2021-07-15
xtext,xtext-orbit-replacement,2022-04-08
fedorov-vk,xtext-xcore-sample,2023-12-11
gustavotemple,mo631xtext,2019-11-26
Tim-S,xtext-mapbasedscope-example,2018-07-05
shakenetwork,xTextHandler,2020-03-08
GabrielBozza,ProjetoXtextPFC,2021-09-05
HexXText,HexXTextSMP,2022-05-03
snarkipus,xtext-dsl-book,2022-07-30
fedorov-vk,xtextxtend-book-examples,2023-04-24
ArneDeutsch,xtext-gradle-example,2018-08-07
oliver-reinhard,xtext-ppt-demo,2019-02-16
tpluscode,xtext-completion-nullpointer,2019-07-19
