owner,repo,branch_count
jaedabee,xtext-gradle-test,1
MassiBelaid,M-langeuse-Xtext,1
JensBAndersen,PolicyLanguage,1
random-eclipse,nix-eclipse-xtext,1
meta-doodle,Xtext_Gradle_Test,2
tshoang,XMarking,1
MaximilianKoestler,vscode-xtext-links,1
AhmedEssam2212,xText-Editor-,1
adrinerDP,DSL-with-Xtext,
cdietrich,xtext-domainmodel-ls,1
tmtron,ex.xtext.ml,1
andrewsandu,xtext-web-example,1
pngowda,xtext-build-tools,10
SharkJ,xtext-dsl-sample,1
hammedb197,team-hacktive-xtext,1
SimonCockx,xtext-monaco-example,1
mister-walter,xtext-folding-issue,1
alexvolh,xtext-xml-grammar,1
SharkJ,my-theia-xtext,1
NSaitoNmiri,toppers_cfg_xtext,3
vjordan,Xtext_directory-file,1
JosBouwhuis,xText-DSL,1
CS130-W20,assignment-2-xtext,1
lunifera,xtext-jvmtypeprovider-standalone,1
bobbyfisher1,eclipse-workspace,1
dsl-course,xtext-entities-tutorial,1
Highbrainer,xtext-pde-target,0
osarenogae,fault_trees_textual_editor,1
XIECHO,qingo_xtext_documentation,1
FariSoftware,xtext-problem-matcher,8
ShrawanBK,xtext.sales.transactions,1
Lzgpom,xtext-gen-extension,1
drkstr101,Domainmodel,1
vinicius0197,expressions-dsl,1
LorenzoBettini,xtext-xdoc-releases,1
KarstenWilken,xTextForum,1
S-wald,xtext-plugin-gradle,1
lahirugayanga,xtext-example-dsl,1
cdietrich,xtext-fragment-experiments,1
cdietrich,xtext_bug_1974,2
bergmanngabor,xtext-railmap-demo,1
mchlrch,xtext-intro-bfh,1
EvdokimovMaks,xtext-example-entities,1
cipek,MyFirstXText,1
pngowda,xtext-ci-libs,1
paulvberlin,BaSiriusXtext,1
metafacture,metafacture-flux,3
frademacher,xtext-jpms-test,1
xtext,xtext-monorepo-lfs,0
LorenzoBettini,xtext-build-utils,10
cdietrich,xtext-two-dsls,1
balazsgrill,xtext_bug508518,1
Tim-S,xtext-valueconverter-example,1
ayakurtam,xText-Editor,1
kecksk0enig,vuc-xtext,1
xtext,xtext-orbit-replacement,1
fedorov-vk,xtext-xcore-sample,1
gustavotemple,mo631xtext,1
Tim-S,xtext-mapbasedscope-example,1
shakenetwork,xTextHandler,1
GabrielBozza,ProjetoXtextPFC,1
HexXText,HexXTextSMP,1
snarkipus,xtext-dsl-book,1
fedorov-vk,xtextxtend-book-examples,1
ArneDeutsch,xtext-gradle-example,1
oliver-reinhard,xtext-ppt-demo,1
tpluscode,xtext-completion-nullpointer,1
