owner,repo,total_files,total_commit_count,average_commit_count
houssemradhouane,Meta-Modelisation-of-Games-Using-UML-Eclipse-Xtext-Acceleo-JAVA,0,0,0
mdsd-team-1,domain-specific-language,2,2,1
PalladioSimulator,Palladio-Editors-VSCode,0,0,0
nils-christian,xtend-active-annotation-issue,0,0,0
modicio,feature-dsl-tools,1,2,2
HBuender,Aim42Visualizer,1,1,1
scanyboss,ide-yourdsl,0,0,0
spirvdev,dumpsymb,0,0,0
thlaegler,edilang,1,2,2
agonzalezgaliana,mydsl-language-server,0,0,0
codezork,DSL-Blog,1,1,1
LorenzoBettini,issue-2000-example,1,2,2
trifonnt,net.adempiere.dsl.properties.spring.parent,1,2,2
scanyboss,hello-world-language,0,0,0
joerg-holtmann,Pretty-Printer_Language-Analysis,20,20,1
coffeeframework,HLVL,2,4,2
HermanPeeren,eJSL-MPS,0,0,0
kukulkan-project,kukulkan-language-server,1,4,4
mdsd-team-1,dsl-layered-style,0,0,0
larissafiorini,t2-lingProg,2,2,1
ragben,NetzDsl,0,0,0
Cosimo5lli,assertx-swing,1,3,3
gyaltso,Eclipse-Training-Schedules,0,0,0
wzurborg,xtend-example,1,3,3
kyberszittya,simple-ros-code-generator,1,2,2
LinguaPhylo,linguaPhyloDSL,2,2,1
dsanmartins,Entidades,2,2,1
opcoach,datasample,1,2,2
bujosa,smart-dsl,2,2,1
robinguill,DSL_UML_INSA,1,1,1
DedalArmy,SpringDSLJava,0,0,0
LiamWalsh98,tumlrt-language-server,1,2,2
jonev,HTTP-REST-test-DSL,1,1,1
ElBilbao,DSL-Wizard-Creator,2,2,1
ooaa30,Wail,2,2,1
Wilson008,GrammarGenerator,0,0,0
ScytherTool,dsl,1,1,1
NaoMod,MiniTL,1,1,1
ryangarvey,mde-spec,1,1,1
bfMarcelino,SchemeLP,2,2,1
henriklange,ifcBrickConvert,0,0,0
osarenogae,fault_trees_textual_editor,2,2,1
claudenirmf,TPTP-Editor,1,1,1
augustin-rialan,IDM,2,2,1
henriklange,ifcBrickConvertDsl,2,2,1
PikaQin,XModel-Code-Converter,2,2,1
helloyaqin,XModel-Code-Converter,2,2,1
Garlo13,CEPStaticAnalysis,2,2,1
Frederic-Boulanger-UPS,MiniARM-feature,1,1,1
Jaddison011,C4EventB,1,2,2
MDEGroup,metatemplating,1,1,1
abdullah-4Mohammed,AWS-EC2-Service_DSL-EMF,0,0,0
grammeaway,math-interpreter-dsl,2,2,1
ahmedsaleh1998,concept_project,0,0,0
Chaimaa-Louahabi,Model-Driven-Engineering,0,0,0
fayssalElAnsari,Kotlin-Meta-Model,1,1,1
MisbahAwan,SeamlessRuntimeTransformations,2,2,1
ProjetoDSL,CanopusDesign,0,0,0
Ryuzaki101,Workbench,1,1,1
eclipse,xtext,86,501,5.825581395348837
eclipse,xtext-core,58,271,4.672413793103448
eclipse,xtext-xtend,2,18,9
eclipse,xtext-eclipse,15,114,7.6
eclipse,xtext-extras,9,73,8.111111111
eclipse,xtext-web,2,21,10.5
xtext,seven-languages-xtext,7,51,7.285714285714286
eclipse,xtext-maven,0,0,0
eclipse,xtext-lib,0,0,0
xtext,maven-xtext-example,1,6,6
seebk,LaTeXText,0,0,0
cdietrich,xtext-languageserver-example,1,3,3
eclipse,xtext-idea,0,0,0
adamschmideg,coffeescript-eclipse,3,16,5.333333333333333
RvonMassow,xDoc,5,41,8.2
xtext,xtext-gradle-plugin,0,0,0
LorenzoBettini,packtpub-xtext-book-2nd-examples,12,15,1.25
PrinceMei,xTextHandler,0,0,0
LorenzoBettini,packtpub-xtext-book-examples,6,12,2
theia-ide,theia-xtext,1,2,2
svenefftinge,xtext-lsp-workshop,1,2,2
ObeoNetwork,Xtext-Sirius-integration,1,3,3
dslmeinte,Xtext2-DSLs,16,31,1.9375
merks,Xcore,1,8,8
ssi-schaefer,lcdsl,1,5,5
eclipse,xtext-umbrella,0,0,0
danieldietrich,xtext-protected-regions,0,0,0
xtext,xtend-gradle-plugin,0,0,0
aphethean,xtext-maven-examples,1,1,1
ckulla,xtext-tycho-example,1,4,4
vorburger,xtext-sandbox,16,17,1.0625
basilfx,xtext-standalone-maven-build,1,2,2
JakeGinnivan,XText,0,0,0
OLibutzki,xtext.tools,0,0,0
Xpitfire,xtext-dnn,1,4,4
LorenzoBettini,Xtext2-experiments,5,9,1.8
eclipse,xsemantics,7,15,2.142857142857143
xtext,xtext-reference-projects,151,161,1.0662251655629138
mzaks,FlatBuffersSchemaEditor,2,4,2
vorburger,eLang,1,3,3
fuinorg,emt-xtext-archetype,1,2,2
eclipse-soc,amalgamation-examples-xtext,2,4,2
kthoms,xtext-experimental,0,0,0
dsldevkit,dsl-devkit,15,72,4.8
itemis,generator-xtext,1,3,3
att,yang-design-studio,2,2,1
martinbaker,xtextadd,5,5,1
LorenzoBettini,edelta,1,16,16
sebastianbenz,xgherkin,2,3,1.5
vladdu,xtext.unittesting,1,1,1
slizaa,slizaa-opencypher-xtext,1,4,4
xpomul,cdo-xtext,1,1,1
mark-christiaens,Xtext-Models-Stats-View,0,0,0
TypeFox,xtext-jflex,0,0,0
vorburger,eclipse-typescript-xtext,1,2,2
patrickneubauer,XMLText,0,0,0
xtext,org.xtext.antlr.generator,0,0,0
boalang,xtext-ide,1,7,7
nittka,terminology,1,5,5
veraPDF,veraPDF-model-syntax,1,1,1
TypeFox,languageserver-example,1,1,1
Hellmy,plantuml-eclipse-xtext,1,1,1
stephanrauh,JSFLibraryGenerator,1,1,1
loonwerks,jkind-xtext,1,3,3
TatyPerson,Xtext2Sonar,0,0,0
TypeFox,xtext-vscode,1,1,1
svenefftinge,Xtext-Workshop-Development-Workspace,2,4,2
cdietrich,xtext-uml-example,1,1,1
cdietrich,xtext-maven-example,1,6,6
marklemay,tptpParser,2,2,1
borgar,xtexts,0,0,0
uqbar-project,xtext-tortuga-lang,2,2,1
dslmeinte,Xtext1-DSLs,13,27,2.076923076923077
applause,applause,1,4,4
LorenzoBettini,ecefrance2015-xtext-example,1,4,4
jcmm33,DirectXTextBlock,0,0,0
dhuebner,xtext-apidiff,0,0,0
appdev,XTextView,0,0,0
oehme,xtext-maven-example,3,3,1
SMadani,ThriftMDE,0,0,0
xtext,xtext-external-editors,0,0,0
itemis,xtext-generator-vscode,1,1,1
soluvas,ecommerce-sample,0,0,0
tianguanghui,xTextHandler-objc,0,0,0
meysholdt,xtext_stateful_lexer,1,1,1
holgerschill,XtextCon_Xcore_Maven,2,5,2.5
scottopell,vim-xtext,1,1,1
itemis,xtext-debug-example-no-xbase,1,1,1
TypeFox,Xtext-XMI,1,1,1
joergreichert,XtextPlayground,1,4,4
wuwen1030,XTExtension,0,0,0
fuinorg,org.fuin.dsl.cqrs,1,1,1
JanKoehnlein,EclipseCon2013_XtextTutorial,1,2,2
avaranovich,megal-xtext,2,5,2.5
fuinorg,org.fuin.dsl.ddd,1,1,1
arturboronat,xtext.domainmodel,1,1,1
otrosien,xtext-perl,1,3,3
cmendible,Hexa.xText,0,0,0
SciSpike,yaktor-dsl-xtext,2,6,3
andrearn,org.fornax.soa.xtextservicerepository,15,112,7.466666666666667
ujhelyiz,xtext-reflective,0,0,0
szarnekow,xtextcon-xbase-example,1,1,1
bsi-software,org.eclipse.scout.xtext,1,3,3
cdietrich,xtext-languageserver-xbase-example,1,1,1
test-editor,deprecated-test-editor-xtext,3,38,12.666666666666666
awk-kazmin,eclipse_1C_xtext,1,1,1
svenefftinge,fowlers-statemachine-with-expressions,1,1,1
copton,XTextExamples,4,6,1.5
GeekBugs,XTextView,0,0,0
akosyakov,org.xtext.example.mydsl.idea,3,12,4
vaulttec,isis-script,1,4,4
HBehrens,Xtext2Workshop,0,0,0
GrupoHunter,Kukuroo,2,2,1
itemis,xtext-languageserver-example-lsp4e,0,0,0
fatalerrortan,Xtext_Xtend_HTML_Generator,2,2,1
spoenemann,xtext-gef,1,1,1
Minres,RDL-Editor,1,6,6
svenefftinge,Guice-Modules-DSL,1,2,2
LorenzoBettini,jbase,6,25,4.166666666666667
mn-mikke,Model-driven-Pretty-Printer-for-Xtext-Framework,24,24,1
hishidama,xtext-dmdl-editor,2,2,1
cmark,androtext,1,6,6
svenefftinge,homeautomation-example,1,1,1
SOM-Research,graphQL-xtext-grammar,2,2,1
janesser,frege-xtext,1,1,1
szarnekow,org.eclipse.e4.xcss,0,0,0
LorenzoBettini,xtext-scoping,1,1,1
JanKoehnlein,ESE-2010-Tutorial,1,4,4
spoenemann,xtext-orion,1,1,1
Modaptix,xtext-expressions,1,4,4
nittka,Jtag,1,2,2
erlide,erlide_xtext,1,5,5
cdietrich,xtext-forum-support-example,0,0,0
ESIR2Compilation,Langage-WHILE,1,1,1
jhonatan89,gen-angular-grammar,1,1,1
Sofiane-13,tutorialXtextSirius,0,0,0
eclipse-soc,amalgamation-examples,2,14,7
dvdkruk,xtext-xsd-resourceprovider,0,0,0
marnix,metamath-eclipse-xtext,1,5,5
JanKoehnlein,Xtext-Syntax-View,0,0,0
planger,xtext-uml-experiment,1,1,1
rquinio,ck2xtext,1,7,7
mzaks,petrinet_dsl,2,2,1
drnappalm,xtext,4,4,1
svenefftinge,Xtext-Workshop-Runtime-Workspace,1,1,1
martijndwars,XtextXT,0,0,0
nahni,xtextTessla,2,2,1
baidty,xtextLearning,0,0,0
MoayadHn,XtextBDI,2,2,1
fzalila,XtextExperiments,1,1,1
Girish-Venkatesh,XTextSelenium,2,2,1
Vinayakatk,xtextScopes,2,2,1
01Lizard10,XTextUML,1,2,2
Salome-Maro,XtextUtils,0,0,0
fanghuixing,XtextApricot,2,2,1
mraminella,xtextTests,0,0,0
Alma2015RSABSAWA,XtextLangage,0,0,0
myorb,XTextParser,0,0,0
Jhinnn,XTextView,0,0,0
kathisai,xtextSample,2,2,1
huibo-shi,XtextExamples,6,10,1.6666666666666667
osamu-k,XTextStudy,2,2,1
Treehopper,XTextTemplate,1,2,2
seba111,Xtext1,1,1,1
shinesamjacob,XtextExample,1,1,1
ajperalt,xtext,6,6,1
schakko,xtext-plugin-with-maven-tycho,1,1,1
colameo,xtext4roo,1,2,2
vinpereira,XtextToXMI,4,4,1
JanKoehnlein,XtextCon2014,0,0,0
bink81,xtext-test,0,0,0
xtext42,xtext42-coding,0,0,0
borisbrodski,XtextBug437519,1,1,1
hypery2k,xText,0,0,0
borisbrodski,XtextBug453268,1,1,1
arnulfo-rodriguez,XtextClosureExample,1,4,4
superxlx,XTextViewDemo,0,0,0
johnBened,XtextMyDSLExample,0,0,0
philiber92,XtextTestRepository,1,1,1
fabienfleureau,XtextAtStackoverflow,0,0,0
yunxiaocloud,XTextFieldLimtDemo,0,0,0
eclipse,xtext-gradle,0,0,0
Mensmec,THESIS_XTEXT,0,0,0
MacJariel,sandbox-dsl,1,1,1
chetanladdha,XtextFormatingHoverSample,0,0,0
ainslec,XTextCustomLexerExample,1,3,3
hem28,DSL_Xtext2.3,1,1,1
HBuender,XtextAndSiriusIntegration,1,1,1
meysholdt,EclipseCon2014_XtextTutorial,1,3,3
jaimedelgado,Xtext,0,0,0
