yamen-njm,IotXtext,0,0,0
kainzpat14,xtext-plsql,0,0,0
epsilonlabs,emc-xtext,0,0,0
robertovillarejo,kukulkan-grammar,0,0,0
lvanzeun,ulm-xtext-test,1,6,6.0
purerstamp,N7.compilateur,133,225,1.69
jaedabee,xtext-gradle-test,0,0,0
MassiBelaid,M-langeuse-Xtext,0,0,0
qxe35v,xtext_encoding_dsl,0,0,0
random-eclipse,nix-eclipse-xtext,0,0,0
meta-doodle,Xtext_Gradle_Test,0,0,0
LiamWalsh98,nusmv-xtext-lsp,0,0,0
MaximilianKoestler,vscode-xtext-links,0,0,0
AhmedEssam2212,xText-Editor-,0,0,0
adrinerDP,DSL-with-Xtext,0,0,0
cdietrich,xtext-domainmodel-ls,0,0,0
tmtron,ex.xtext.ml,3,3,1.0
andrewsandu,xtext-web-example,0,0,0
pngowda,xtext-build-tools,0,0,0
SharkJ,xtext-dsl-sample,0,0,0
hammedb197,team-hacktive-xtext,0,0,0
SimonCockx,xtext-monaco-example,0,0,0
mister-walter,xtext-folding-issue,0,0,0
alexvolh,xtext-xml-grammar,0,0,0
SharkJ,my-theia-xtext,1,2,2.0
urbanoanderson,xtext-gait-model,1,1,1.0
vjordan,Xtext_directory-file,1,1,1.0
JosBouwhuis,xText-DSL,0,0,0
CS130-W20,assignment-2-xtext,0,0,0
lunifera,xtext-jvmtypeprovider-standalone,0,0,0
bobbyfisher1,eclipse-workspace,0,0,0
dsl-course,xtext-entities-tutorial,0,0,0
Highbrainer,xtext-pde-target,0,0,0
mattsse,xtext-fipa-acl,0,0,0
XIECHO,qingo_xtext_documentation,0,0,0
FariSoftware,xtext-problem-matcher,0,0,0
ShrawanBK,xtext.sales.transactions,0,0,0
Lzgpom,xtext-gen-extension,0,0,0
drkstr101,Domainmodel,0,0,0
vinicius0197,expressions-dsl,0,0,0
LorenzoBettini,xtext-xdoc-releases,0,0,0
KarstenWilken,xTextForum,1,1,1.0
S-wald,xtext-plugin-gradle,0,0,0
lahirugayanga,xtext-example-dsl,0,0,0
cdietrich,xtext-fragment-experiments,0,0,0
cdietrich,xtext_bug_1974,1,1,1.0
bergmanngabor,xtext-railmap-demo,0,0,0
mchlrch,xtext-intro-bfh,1,1,1.0
EvdokimovMaks,xtext-example-entities,0,0,0
cipek,MyFirstXText,0,0,0
pngowda,xtext-ci-libs,0,0,0
paulvberlin,BaSiriusXtext,4,4,1.0
szarnyasg,sql-pgq-xtext,0,0,0
frademacher,xtext-jpms-test,0,0,0
xtext,xtext-monorepo-lfs,0,0,0
LorenzoBettini,xtext-build-utils,0,0,0
cdietrich,xtext-two-dsls,0,0,0
balazsgrill,xtext_bug508518,1,1,1.0
Tim-S,xtext-valueconverter-example,1,1,1.0
ayakurtam,xText-Editor,0,0,0
HouseBuilder-MDE,HouseBuilder-Xtext,0,0,0
xtext,xtext-orbit-replacement,0,0,0
fedorov-vk,xtext-xcore-sample,0,0,0
gustavotemple,mo631xtext,1,1,1.0
Tim-S,xtext-mapbasedscope-example,1,1,1.0
shakenetwork,xTextHandler,0,0,0
GabrielBozza,ProjetoXtextPFC,2,2,1.0
HexXText,HexXTextSMP,0,0,0
snarkipus,xtext-dsl-book,0,0,0
fedorov-vk,xtextxtend-book-examples,5,5,1.0
ArneDeutsch,xtext-gradle-example,0,0,0
