Repository Name,MWE2 File Count,Found Extensions
altran-mde/xtext-sirius-integration.io,0,""
cdietrich/xtext-core-issue-1835,0,""
Zaki-Fadlan/xtext_getting_started_skilledup,2,"dmodel"
raptor494/Xtext-Minecraft-JSON-Languages,4,"mcblockstate,mcentity,mcloot,mcmodel"
rudi/xtext-emacs-lsp-demo,1,"entities"
fedorov-vk/apds_prototype,2,"prot,subj"
test-editor/test-editor-xtext-gradle,3,"aml,config,tcl,tfr,tml,tsl"
Ixgauth/perspectiveDSL-Sirus-Xtext,0,""
keve98/SzakD_xtext_xtend,2,"entx"
silvergl/xtext-headless-rcp-example,1,"mydsl"
reinaqu/bpmnFromXtextDSL,1,"bpsec"
xtext/xtext-p2-orbit,0,""
dsl-course/xtext-tutorial-turku-interim,2,"entities"
tfLabs/xtext-lsp-validation-anyway,1,"mydsl"
BalzGuenat/xtext-bug-minimal-example,1,"mydsl"
dmfullstack/org.xtext.example.mydsl,1,"mydsl"
SuelanyBrito/JFlex_CUP_XText_SQL,2,"mydsl"
cdietrich/xtext-languageserver-example-simple,1,"mydsl"
msntts/Xtext-Standalone-fat-jar,1,"mydsl"
oldulov/cfeditor,1,"cf"
LorenzoBettini/xtext-type-errors-examples,2,"expressions,fj"
claudenirmf/OntoUML-2.0-Xtext,1,"ontouml"
Mehmetcanss/example_xtext_language_server_vscode,1,"house,person"
lidochca/xtext.skip.build.before.rename,0,""
cdietrich/xtext-maven-plugin-coverage-example,1,"mydslcov"
Kevin-Philip/TP_etudiant_Compilax,1,"wh"
elite-se/elite-se.xtext.languages.plantuml,1,"puml"
tshoang/BareBonesIDE,1,"bb2"
tareklel/PDFtoText,0,""
TVTower/TVTBlitzmaxEditor,1,"bmx"
cdietrich/xtext-multi-dsl-manual-metamodel,1,"mydsl3test,otherdsl"
hallvard/xost,0,""
davidmpaz/log-book,1,"logtime"
oliver-reinhard/xtext-scoping-default-imports-demo,2,"scope2"
tshoang/Simple-Barebone-XText-based-IDE,1,"bb"
MISO4202/uniandes.mdd.example.create-xtext,0,""
NaoMod/XText-Language-Server-in-VSCode,1,"fml"
MISO4202/xtext-egl-sql2java,2,"sql"
cdietrich/simple-xtext-parallel-load-example,1,"mydsl"
bobbyfisher1/expressions,4,"expressions,smalljava"
lowcomote/DBML-to-ER,1,"dbml"
tfLabs/xtext-n4js-lsp,1,"mydsl"
yishakabreham/mde.sales.transactions.xtext.4,1,"salestransaction"
Rajesh2015/DSL-using-Xtext-and-Xtend,2,"mydsl"
cdietrich/xtext-lsp-tests-with-tycho,1,"mydsl"
CarlosAsrc/Reconhecedor-scheme,1,"scm"
oliver-reinhard/xtext-scoping-default-namespaces-demo,1,"scope"
TVTower/TVTDatabaseEditor,1,"xml"
casino-mdd/DSL,2,"dsl"
cokeSchlumpf/bashdsl,2,"bdsl"
sumeetchhetri/faugjs-eclipse-plugin,1,"json"
sderrien/Uclid-editor,2,"ucl,uclid"
GlancingMind/xtext-lsp-missing-deleteFile-impl,1,"mydsl"
zmy3036190149/theia-xtext-pf-v1-backup,1,"pf"
MDSDLab/mdsd-2023-lab2-xtext-xtend,1,"wt"
abieren/MDSD-Xtext-Project-for-JavaFX,2,"guimodel"
SimonCockx/xtext-assertAllWhitespaceIsFormatted,2,"mydsl"
tombk556/SF_Factories_Beleg2324_Xtext_DSL,2,"S87622S87673"
DonatasC/CodeGeneration,0,""
trichterwolke/init,1,"init"
zs6jce/x400-xrpgle,0,""
cyrilnavessamuel/TripManagment,2,"tripxt"
paullewallencom/xtext-xtend-978-1-7864-6496-5,11,"entities,expressions,greetings,helloidea,hellomaven,helloweb,library,school,smalljava,xentities,xexpressions"
coalae/telemed,1,"telemed"
vorburger/xtend-StackOverflowError-issue461,0,""
JoaoMAlmeida/projetoCompiladores18-2,1,"pas"
Bisssen/math_assignment_3_math_compiler_xtext_and_xtend,0,""
vks2106/domain.model,2,"dmodel"
metafacture/metafacture-flux,1,"flux"
mrtnstn/example-script-language,1,"xs"
Michel-Nassalang/eclipse_workspace,15,"ap,calcul,fb,fg,tp"
varadbal/FunPL,2,"funprogram"
oliverablagojevic/QuestionnaireDSL,2,"mydsl"
EightPillars/NmtranEditor,1,"ctl"
DSIE2/Implementing-observer-design-pattern-with-Xtext-and-Xtend,2,"obsr"
George-6629/Lobster-language-conversion-sql-language-based-on-Xtext,2,"lobster"
hvbargen/meth,2,"meth"
mischnic/bachelors-thesis,0,""
cs130-w22/statemachine,1,"sm"
cesarlaso/tfm-udima-arquitectura-del-software-dsl-ecore-xtext-emf,4,"iotproyect,iotproyect2"
houssemradhouane/Meta-Modelisation-of-Games-Using-UML-Eclipse-Xtext-Acceleo-JAVA,0,""
mdsd-team-1/domain-specific-language,2,"dmodel"
PalladioSimulator/Palladio-Editors-VSCode,0,""
nils-christian/xtend-active-annotation-issue,0,""
modicio/feature-dsl-tools,1,"featurelang"
HBuender/Aim42Visualizer,1,"iacdsl"
scanyboss/ide-yourdsl,0,""
spirvdev/dumpsymb,0,""
thlaegler/edilang,1,"edi"
agonzalezgaliana/mydsl-language-server,0,""
codezork/DSL-Blog,1,"geo"
LorenzoBettini/issue-2000-example,1,"tychotestlanguage"
trifonnt/net.adempiere.dsl.properties.spring.parent,1,"propsModel"
scanyboss/hello-world-language,0,""
joerg-holtmann/Pretty-Printer_Language-Analysis,20,"ATLno,eatxt,myatl,mybibtex,mydot,myqvto,myxenia,sml,spectra,sql,xcore"
coffeeframework/HLVL,2,"hlvl"
HermanPeeren/eJSL-MPS,0,""
kukulkan-project/kukulkan-language-server,1,"3k,kukulkan"
mdsd-team-1/dsl-layered-style,0,""
