owner,repo,created_date,repo_type
xuxiaowen87,XText,2020-04-24,original
MisbahAwan,xtext,2021-11-30,original
ichxorya,failed-xtext2vscode-example,2022-11-22,original
uqbar-project,xtext-tortuga-lang,2015-06-06,original
RobMoloney,xtext,2021-10-20,original
l1ppe,xtext,2019-07-02,original
madhouni,wps-ecore-ocl-xtext,2018-02-05,original
MISO4202,uniandes.mdd.xtext2xmi,2019-05-13,original
tchebs,xtext,2018-10-04,original
mlopez8621,xtext,2019-09-18,original
gvd,xtext-sm,2012-03-04,original
ShivaniBali,Theia-Xtext-Yangster-Project-,2018-06-06,original
ehah,XtendExample,2018-04-19,original
meysholdt,e4dsl,2010-07-02,original
vks2106,prenum,2021-02-18,original
drkstr101,hello-xtext,2020-05-30,original
arthurmosley,Essex-Test,2018-06-08,original
eclipse,xtext-website-publish,2022-10-24,original
jflopezfernandez,xtextutils,2019-02-21,original
AlanQuadros,xtextlpmangan,2018-03-21,original
akademia,ontouml-xtext,2011-03-01,original
OezzyB,e-portfolio-Xtext,2018-05-19,original
pablitar,firewall-xtext,2013-06-26,original
zinon,xtextminer,2020-06-10,original
mustafa231,xtexteditor,2021-01-04,original
MOSafely,xtextrepo,2022-04-05,original
sahrmann,xtext-json,2017-08-08,original
LorenzoBettini,xtext-domain-model-guice-5,2021-05-20,original
BlackBeltTechnology,karaf-features-eclipse-xtext,2019-04-28,original
vashchenkov,xtext-samle,2018-10-17,original
germono,FormXtext,2020-06-02,original
santoshdeshpande,wwf-xtext,2011-07-19,original
ShrawanBK,xtext_salestransaction,2022-02-06,original
t-buss,mgpl_xtext,2017-01-18,original
szschaler,henshin_xtext_adapter,2018-06-20,original
kuniss,Aqua,2014-12-25,original
Scholvac,EclipseTaskJuggler,2015-08-03,original
efuentesp,Xtext-UCS,2018-05-29,original
rainerschuster,sygus-ide,2016-08-20,original
wibeck,testXtext,2019-05-27,original
msun68,xtext-examples,2020-01-21,original
xTexturedxx,xTexturedxx,ERROR,ERROR
HexXText,HexXText,2022-05-03,original
Gricel-lee,Xtext-Maven,2023-08-15,original
kolchanov,org.xtext.example.mydsl.parent,2020-02-19,original
Communote,communote-restws,2016-06-27,original
EvdokimovMaks,xtext-expressions,2019-12-11,original
Sorokatov,xtext-demo,2020-04-30,original
JoostvanPinxten,SDF3-editor,2015-02-24,original
atanaka,experimental-rmodp-dsl,2012-05-13,original
r4mtor,xtext-talks,2018-05-08,original
nbhusare,xtext-playground,2020-09-02,original
kokostino,xtext_kokomodel,2021-08-29,original
leolimasa,reqlang,2014-07-14,original
helunwencser,PAOC,2014-12-24,original
lahirugayanga,xtext-projection,2018-12-28,original
daniel614,xtext-webapp,2018-06-17,original
Spiderixius,DSLIndividualXtext,2018-05-18,original
rainerschuster,tlsf-ide,2016-08-21,original
rainerschuster,asdl-ide,2017-05-03,original
torosky,Libreria-Xtext,2018-02-22,original
MaxiEckert,Xtext-example,2018-05-27,original
as500,xtext-rpgle,2019-06-24,original
JavierOramas,AudiXText,2020-11-28,original
xtext,xtext-monorepo,2023-03-06,original
vjordan,Xtext_browser,2019-03-20,original
Yop-La,xtext_project,2019-03-18,original
JesterOrNot,Gitpod-XText,2020-05-18,original
eclipse,xtext-archive,2023-03-06,original
Lethalaric,xtext-learning,2023-08-01,original
DSIE2,tr.xtext,2018-06-25,original
ShivaniBali,Theia-Xtext,2018-03-13,original
