Owner,Repo,Forks Count,Stars Count
seebgar,MISO4202-proyecto-xtext,0,0
NiccoMlt,xtext-15-minutes-tutorial,0,0
SharkJ,theia-xtext-extension-test,0,0
jku-win-se,JsonBasedXtextGrammar,0,0
altran-mde,xtext-sirius-integration.io,1,1
cdietrich,xtext-core-issue-1835,0,0
Zaki-Fadlan,xtext_getting_started_skilledup,0,0
raptor494,Xtext-Minecraft-JSON-Languages,0,0
rudi,xtext-emacs-lsp-demo,0,1
fedorov-vk,apds_prototype,0,0
test-editor,test-editor-xtext-gradle,0,1
Ixgauth,perspectiveDSL-Sirus-Xtext,0,0
keve98,SzakD_xtext_xtend,0,1
silvergl,xtext-headless-rcp-example,0,0
reinaqu,bpmnFromXtextDSL,0,1
xtext,xtext-p2-orbit,1,0
dsl-course,xtext-tutorial-turku-interim,0,0
tfLabs,xtext-lsp-validation-anyway,0,0
BalzGuenat,xtext-bug-minimal-example,0,0
dmfullstack,org.xtext.example.mydsl,0,0
SuelanyBrito,JFlex_CUP_XText_SQL,0,0
cdietrich,xtext-languageserver-example-simple,1,1
msntts,Xtext-Standalone-fat-jar,0,0
oldulov,cfeditor,0,0
LorenzoBettini,xtext-type-errors-examples,0,1
claudenirmf,OntoUML-2.0-Xtext,0,1
Mehmetcanss,example_xtext_language_server_vscode,0,0
lidochca,xtext.skip.build.before.rename,0,0
cdietrich,xtext-maven-plugin-coverage-example,0,0
Kevin-Philip,TP_etudiant_Compilax,0,0
elite-se,elite-se.xtext.languages.plantuml,0,0
tshoang,BareBonesIDE,0,0
tareklel,PDFtoText,0,0
TVTower,TVTBlitzmaxEditor,1,1
cdietrich,xtext-multi-dsl-manual-metamodel,0,0
hallvard,xost,0,0
davidmpaz,log-book,0,0
oliver-reinhard,xtext-scoping-default-imports-demo,0,0
tshoang,Simple-Barebone-XText-based-IDE,0,1
MISO4202,uniandes.mdd.example.create-xtext,0,0
NaoMod,XText-Language-Server-in-VSCode,0,1
MISO4202,xtext-egl-sql2java,1,0
cdietrich,simple-xtext-parallel-load-example,0,0
bobbyfisher1,expressions,0,0
lowcomote,DBML-to-ER,0,0
tfLabs,xtext-n4js-lsp,0,1
yishakabreham,mde.sales.transactions.xtext.4,0,0
Rajesh2015,DSL-using-Xtext-and-Xtend,0,0
cdietrich,xtext-lsp-tests-with-tycho,0,0
CarlosAsrc,Reconhecedor-scheme,1,1
oliver-reinhard,xtext-scoping-default-namespaces-demo,0,0
TVTower,TVTDatabaseEditor,1,0
casino-mdd,DSL,0,0
cokeSchlumpf,bashdsl,0,1
sumeetchhetri,faugjs-eclipse-plugin,0,0
sderrien,Uclid-editor,0,0
GlancingMind,xtext-lsp-missing-deleteFile-impl,0,0
zmy3036190149,theia-xtext-pf-v1-backup,0,0
MDSDLab,mdsd-2023-lab2-xtext-xtend,0,0
abieren,MDSD-Xtext-Project-for-JavaFX,0,0
SimonCockx,xtext-assertAllWhitespaceIsFormatted,0,0
tombk556,SF_Factories_Beleg2324_Xtext_DSL,0,0
DonatasC,CodeGeneration,0,0
trichterwolke,init,0,0
zs6jce,x400-xrpgle,1,1
cyrilnavessamuel,TripManagment,0,0
paullewallencom,xtext-xtend-978-1-7864-6496-5,0,1
coalae,telemed,0,1
vorburger,xtend-StackOverflowError-issue461,0,0
JoaoMAlmeida,projetoCompiladores18-2,0,0
Bisssen,math_assignment_3_math_compiler_xtext_and_xtend,0,0
vks2106,domain.model,0,0
metafacture,metafacture-flux,0,0
mrtnstn,example-script-language,0,0
Michel-Nassalang,eclipse_workspace,0,0
varadbal,FunPL,0,0
oliverablagojevic,QuestionnaireDSL,0,0
EightPillars,NmtranEditor,0,0
DSIE2,Implementing-observer-design-pattern-with-Xtext-and-Xtend,0,0
