owner,repo,average_difference
jcmm33,DirectXTextBlock,0
dhuebner,xtext-apidiff,0
appdev,XTextView,0
oehme,xtext-maven-example,0.0
SMadani,ThriftMDE,0.0
xtext,xtext-external-editors,0.0
itemis,xtext-generator-vscode,0.0
soluvas,ecommerce-sample,0
tianguanghui,xTextHandler-objc,0
meysholdt,xtext_stateful_lexer,0.0
holgerschill,XtextCon_Xcore_Maven,0.0
scottopell,vim-xtext,0
itemis,xtext-debug-example-no-xbase,0.0
TypeFox,Xtext-XMI,0.0
joergreichert,XtextPlayground,-2.0
wuwen1030,XTExtension,0
fuinorg,org.fuin.dsl.cqrs,-27.0
JanKoehnlein,EclipseCon2013_XtextTutorial,-23.0
avaranovich,megal-xtext,-200.0
fuinorg,org.fuin.dsl.ddd,-23.0
arturboronat,xtext.domainmodel,0.0
otrosien,xtext-perl,-690.0
cmendible,Hexa.xText,0
SciSpike,yaktor-dsl-xtext,-35.5
andrearn,org.fornax.soa.xtextservicerepository,-173.7
ujhelyiz,xtext-reflective,0
szarnekow,xtextcon-xbase-example,-4.0
bsi-software,org.eclipse.scout.xtext,-626.0
cdietrich,xtext-languageserver-xbase-example,0.0
test-editor,deprecated-test-editor-xtext,-279.6666666666667
awk-kazmin,eclipse_1C_xtext,0.0
svenefftinge,fowlers-statemachine-with-expressions,0.0
copton,XTextExamples,-1.0
GeekBugs,XTextView,0
akosyakov,org.xtext.example.mydsl.idea,-2.3333333333333335
vaulttec,isis-script,-37.0
HBehrens,Xtext2Workshop,0
GrupoHunter,Kukuroo,0.0
itemis,xtext-languageserver-example-lsp4e,0
fatalerrortan,Xtext_Xtend_HTML_Generator,-65.33333333333333
spoenemann,xtext-gef,-19.0
Minres,RDL-Editor,-27.0
svenefftinge,Guice-Modules-DSL,-2.0
LorenzoBettini,jbase,-33.6
mn-mikke,Model-driven-Pretty-Printer-for-Xtext-Framework,0.0
hishidama,xtext-dmdl-editor,-92.0
cmark,androtext,-1539.0
svenefftinge,homeautomation-example,0.0
SOM-Research,graphQL-xtext-grammar,0.0
janesser,frege-xtext,-136.0
szarnekow,org.eclipse.e4.xcss,0
LorenzoBettini,xtext-scoping,-1.0
JanKoehnlein,ESE-2010-Tutorial,-26.0
