Owner,Repo,Ecore File,Containing Folder
RomainLefeuvre,xtextHW,not applicable,not applicable
BestCoderXQX,XTextFlagDemo,not applicable,not applicable
BestCoderXQX,XTextFlagDemo,not applicable,not applicable
vinisbranco,XtextTrabalho2,org.xtext.example.domainmodel/model/generated/Domainmodel.ecore,generated
loicperreal,Xtext,not applicable,not applicable
loicperreal,Xtext,not applicable,not applicable
goflyboy,xtextsample,not applicable,not applicable
goflyboy,xtextsample,not applicable,not applicable
SharkJ,XtextInheritanceTest,org.xtext.example.mydsl/model/generated/MyDsl.ecore,generated
SharkJ,XtextInheritanceTest,org.xtext.example.mydsl/model/generated/MyDsl2.ecore,generated
hewenyuAndroid,XTextView-Android,not applicable,not applicable
hewenyuAndroid,XTextView-Android,not applicable,not applicable
OLibutzki,XtextExtras446,de.libutzki.xtextextras446.parent/de.libutzki.xtextextras446/model/generated/XtextExtras446.ecore,generated
vinisbranco,XtextJavaScript,not applicable,not applicable
vinisbranco,XtextJavaScript,not applicable,not applicable
AndreasGroentved,XtextDSL2018,groupDSL/model/generated/WPage.ecore,generated
robertchristen,XTextCategorizer.Demo,not applicable,not applicable
robertchristen,XTextCategorizer.Demo,not applicable,not applicable
alvarofpp,tutorial-xtext,not applicable,not applicable
alvarofpp,tutorial-xtext,not applicable,not applicable
pakhopav,XtextLanguageGradle,not applicable,not applicable
pakhopav,XtextLanguageGradle,not applicable,not applicable
pakhopav,xtext,not applicable,not applicable
pakhopav,xtext,not applicable,not applicable
adamhorvath88,Xtext,not applicable,not applicable
adamhorvath88,Xtext,not applicable,not applicable
0xMYsteRy,Xtext,not applicable,not applicable
0xMYsteRy,Xtext,not applicable,not applicable
taylorlohan,XtextHealth2.0,org.xtext.example.health/model/generated/Health.ecore,generated
Caroline66666,xtext,not applicable,not applicable
Caroline66666,xtext,not applicable,not applicable
xuxiaowen87,XText,not applicable,not applicable
xuxiaowen87,XText,not applicable,not applicable
MisbahAwan,xtext,ZNotationEcore/model/zNotationEcore.ecore,model
ichxorya,failed-xtext2vscode-example,not applicable,not applicable
ichxorya,failed-xtext2vscode-example,not applicable,not applicable
hwong23,dsl.evtool,not applicable,not applicable
hwong23,dsl.evtool,not applicable,not applicable
RobMoloney,xtext,not applicable,not applicable
RobMoloney,xtext,not applicable,not applicable
l1ppe,xtext,model/generated/Domain.ecore,generated
madhouni,wps-ecore-ocl-xtext,model/wps.ecore,model
MISO4202,uniandes.mdd.xtext2xmi,not applicable,not applicable
MISO4202,uniandes.mdd.xtext2xmi,not applicable,not applicable
tchebs,xtext,org.xtext.example.entitydsl/model/generated/EntityDsl.ecore,generated
mlopez8621,xtext,.metadata/.plugins/org.eclipse.pde.core/New_configuration/org.eclipse.osgi/84/0/.cp/model/AcceleoWizardModel.ecore,model
mlopez8621,xtext,org.xtext.example.rest/model/generated/Rest.ecore,generated
mlopez8621,xtext,uniandes.mdd.example.petrinetnetworksystem-master/model/petrinet.ecore,model
magick93,xtext,not applicable,not applicable
magick93,xtext,not applicable,not applicable
ShivaniBali,Theia-Xtext-Yangster-Project-,xtext-dsl-language-server/io.typefox.xtext.langserver.example/model/generated/MyDsl.ecore,generated
ehah,XtendExample,not applicable,not applicable
ehah,XtendExample,not applicable,not applicable
MISO4202,co.edu.uniandes.gramaticajmeter,co.edu.uniandes.gramaticajmeter/model/generated/Gramaticajmeter.ecore,generated
vks2106,prenum,not applicable,not applicable
vks2106,prenum,not applicable,not applicable
drkstr101,hello-xtext,drkstr.hello.xtext.natural.core/model/generated/Natural.ecore,generated
drkstr101,hello-xtext,drkstr.hello.xtext.words.parent/drkstr.hello.xtext.words/model/generated/Words.ecore,generated
arthurmosley,Essex-Test,not applicable,not applicable
arthurmosley,Essex-Test,not applicable,not applicable
eclipse,xtext-website-publish,not applicable,not applicable
eclipse,xtext-website-publish,not applicable,not applicable
jflopezfernandez,xtextutils,not applicable,not applicable
jflopezfernandez,xtextutils,not applicable,not applicable
AlanQuadros,xtextlpmangan,org.xtext.example.typescript/model/generated/TypeScript.ecore,generated
jonaslagoni,JSON-Schema-to-internal-DSL,org.xtext.json.schema/model/generated/Draft7.ecore,generated
OezzyB,e-portfolio-Xtext,org.example.methods/model/generated/Methods.ecore,generated
fedorov-vk,apds_dsl,not applicable,not applicable
fedorov-vk,apds_dsl,not applicable,not applicable
zinon,xtextminer,not applicable,not applicable
zinon,xtextminer,not applicable,not applicable
mustafa231,xtexteditor,not applicable,not applicable
mustafa231,xtexteditor,not applicable,not applicable
MOSafely,xtextrepo,not applicable,not applicable
MOSafely,xtextrepo,not applicable,not applicable
bproenca,mpti-dsl,br.edu.ufrn.myhtml/model/generated/HtmlModel.ecore,generated
LorenzoBettini,xtext-domain-model-guice-5,org.eclipse.xtext.example.domainmodel/model/generated/Domainmodel.ecore,generated
BlackBeltTechnology,karaf-features-eclipse-xtext,not applicable,not applicable
