owner,repo,average_count_diff
raglu,ExternalDSL-xtext,0.00
kulcsii,xtext-railmap-theia,0.00
NiccoMlt,xtext-showdown-grammar,-6.00
NinjaArmy,xtext-language-server,0.00
jnt0r,xtext-npe-reproducable,0.00
HermanPeeren,eJSL-ANTLR4,0.00
cs130-w21,statemachine,0.00
csbc92,MDSE-assignment3,-5.00
ghillairet,org.example.mydsl.parent,0.00
antoine-morvan,caph-java-parser,6.00
abatti,XTEXT_FACPL3_PreserveVarious,0.00
tfLabs,xtext-languageserver-example-duplicator,0.00
LorenzoBettini,xtext-maven-plugin-example,0.00
cdietrich,xtext-eclipse-issue-1009,0.00
patrickneubauer,UoY-MODE-XTEXT,0.00
cau-se,sprat-ecosystem-dsl-xtext,0.00
cdietrich,theia-xtext-vscode-example,0.00
cdietrich,j9-tycho-xtext,0.00
loradd,xtext-lsp-ecore-support,0.00
nnn911,LaTeXTextOverlay,0.00
IbanezGio,VuC,0.00
Samirez,DSLs,0.00
ShahimEssaid,com.essaid.model.xtext,0.00
gon10,EclipseRepoTese,0.00
max-leuthaeuser,jmhmathexample,0.00
tshoang,WhitespaceIDE,0.00
seebgar,MISO4202-proyecto-xtext,-1.00
NiccoMlt,xtext-15-minutes-tutorial,-8.00
SharkJ,theia-xtext-extension-test,0.00
jku-win-se,JsonBasedXtextGrammar,0.00
altran-mde,xtext-sirius-integration.io,0.00
cdietrich,xtext-core-issue-1835,0.00
Zaki-Fadlan,xtext_getting_started_skilledup,0.00
raptor494,Xtext-Minecraft-JSON-Languages,0.00
rudi,xtext-emacs-lsp-demo,0.00
fedorov-vk,apds_prototype,0.00
test-editor,test-editor-xtext-gradle,-0.33
Ixgauth,perspectiveDSL-Sirus-Xtext,0.00
keve98,SzakD_xtext_xtend,0.00
silvergl,xtext-headless-rcp-example,0.00
reinaqu,bpmnFromXtextDSL,0.00
xtext,xtext-p2-orbit,0.00
dsl-course,xtext-tutorial-turku-interim,0.00
tfLabs,xtext-lsp-validation-anyway,0.00
BalzGuenat,xtext-bug-minimal-example,0.00
dmfullstack,org.xtext.example.mydsl,0.00
SuelanyBrito,JFlex_CUP_XText_SQL,0.00
cdietrich,xtext-languageserver-example-simple,0.00
msntts,Xtext-Standalone-fat-jar,0.00
oldulov,cfeditor,0.00
LorenzoBettini,xtext-type-errors-examples,-5.00
claudenirmf,OntoUML-2.0-Xtext,1.00
Mehmetcanss,example_xtext_language_server_vscode,0.00
lidochca,xtext.skip.build.before.rename,0.00
cdietrich,xtext-maven-plugin-coverage-example,0.00
Kevin-Philip,TP_etudiant_Compilax,0.00
elite-se,elite-se.xtext.languages.plantuml,-1.00
tshoang,BareBonesIDE,0.00
tareklel,PDFtoText,0.00
TVTower,TVTBlitzmaxEditor,0.00
cdietrich,xtext-multi-dsl-manual-metamodel,0.00
hallvard,xost,0.00
davidmpaz,log-book,0.00
oliver-reinhard,xtext-scoping-default-imports-demo,0.00
tshoang,Simple-Barebone-XText-based-IDE,0.00
MISO4202,uniandes.mdd.example.create-xtext,0.00
NaoMod,XText-Language-Server-in-VSCode,0.00
MISO4202,xtext-egl-sql2java,0.00
cdietrich,simple-xtext-parallel-load-example,0.00
