owner,repo,repo_first_commit,repo_last_commit,xtext_first_commit,xtext_last_commit,repo_commit_duration,xtext_commit_duration,proportion
patrickneubauer,XMLText,0,0,0,0,0,0,0
xtext,org.xtext.antlr.generator,0,0,0,0,0,0,0
boalang,xtext-ide,5/22/2014 23:22,8/20/2022 15:02,5/22/2014 23:42,5/16/2019 16:27,3011,1819,60.41
nittka,terminology,2/21/2013 23:32,2/9/2020 13:40,2/27/2013 21:59,2/9/2020 13:40,2543,2537,99.76
veraPDF,veraPDF-model-syntax,5/5/2015 11:23,2/22/2024 10:59,5/5/2015 11:32,7/16/2023 14:27,3214,2994,93.15
TypeFox,languageserver-example,7/27/2016 13:33,2/2/2017 11:07,7/27/2016 13:33,7/27/2016 13:33,189,0,0
Hellmy,plantuml-eclipse-xtext,7/20/2015 21:47,1/20/2016 13:26,7/20/2015 21:53,1/20/2016 12:40,183,183,100
stephanrauh,JSFLibraryGenerator,6/5/2015 21:58,6/7/2018 18:17,6/5/2015 22:14,9/25/2016 12:49,1097,477,43.48
loonwerks,jkind-xtext,9/4/2013 6:35,6/2/2020 8:00,9/4/2013 8:39,1/14/2018 7:49,2462,1593,64.7
TatyPerson,Xtext2Sonar,0,0,0,0,0,0,0
TypeFox,xtext-vscode,5/4/2016 16:46,3/10/2017 8:49,5/4/2016 18:01,5/4/2016 18:01,309,0,0
svenefftinge,Xtext-Workshop-Development-Workspace,7/3/2011 18:50,7/3/2011 19:09,7/3/2011 18:50,7/3/2011 19:08,0,0,0
cdietrich,xtext-uml-example,6/9/2015 7:09,6/9/2015 7:42,6/9/2015 7:09,6/9/2015 7:09,0,0,0
cdietrich,xtext-maven-example,12/30/2013 2:48,2/27/2024 17:46,12/30/2013 13:55,12/30/2013 13:55,3711,0,0
marklemay,tptpParser,11/23/2013 21:39,7/31/2019 16:45,12/28/2013 18:02,12/28/2013 22:17,2075,0,0
borgar,xtexts,0,0,0,0,0,0,0
uqbar-project,xtext-tortuga-lang,6/6/2015 0:37,6/6/2015 0:45,6/6/2015 0:38,6/6/2015 0:38,0,0,0
dslmeinte,Xtext1-DSLs,3/31/2011 13:39,8/5/2011 11:21,3/31/2011 13:39,8/4/2011 17:44,127,126,99.21
applause,applause,3/17/2011 0:56,1/13/2014 9:05,6/16/2011 13:46,1/10/2014 17:22,1033,939,90.9
LorenzoBettini,ecefrance2015-xtext-example,6/17/2015 15:54,5/14/2016 11:54,6/17/2015 15:54,6/19/2015 14:32,331,1,0.3
jcmm33,DirectXTextBlock,0,0,0,0,0,0,0
dhuebner,xtext-apidiff,0,0,0,0,0,0,0
appdev,XTextView,0,0,0,0,0,0,0
oehme,xtext-maven-example,8/7/2014 10:11,12/11/2015 18:12,8/13/2014 16:24,8/16/2014 9:03,491,2,0.41
SMadani,ThriftMDE,8/23/2016 13:04,10/26/2018 14:58,3/1/2018 12:28,3/1/2018 12:28,794,0,0
xtext,xtext-external-editors,12/16/2015 9:33,10/30/2020 11:00,12/16/2015 10:09,12/16/2015 10:09,1780,0,0
itemis,xtext-generator-vscode,7/21/2016 23:37,10/26/2016 8:55,10/23/2016 3:05,10/23/2016 3:05,96,0,0
soluvas,ecommerce-sample,0,0,0,0,0,0,0
tianguanghui,xTextHandler-objc,0,0,0,0,0,0,0
meysholdt,xtext_stateful_lexer,6/4/2012 1:49,11/18/2013 11:10,6/4/2012 11:06,6/4/2012 11:06,532,0,0
holgerschill,XtextCon_Xcore_Maven,5/12/2015 15:22,6/16/2016 9:41,5/12/2015 15:38,5/12/2015 15:38,400,0,0
scottopell,vim-xtext,0,0,0,0,0,0,0
itemis,xtext-debug-example-no-xbase,11/23/2017 16:56,11/24/2017 18:54,11/23/2017 16:56,11/23/2017 16:56,1,0,0
TypeFox,Xtext-XMI,7/6/2017 11:23,7/6/2017 14:49,7/6/2017 12:48,7/6/2017 12:48,0,0,0
joergreichert,XtextPlayground,4/30/2012 1:17,10/30/2016 15:46,5/27/2012 16:27,6/3/2012 18:15,1644,7,0.43
wuwen1030,XTExtension,0,0,0,0,0,0,0
fuinorg,org.fuin.dsl.cqrs,4/18/2014 6:43,2/8/2015 12:01,4/18/2014 17:46,2/8/2015 12:01,295,295,100
JanKoehnlein,EclipseCon2013_XtextTutorial,3/19/2013 3:43,10/24/2013 14:41,3/19/2013 17:36,10/24/2013 14:40,219,218,99.54
avaranovich,megal-xtext,6/7/2014 9:17,2/27/2017 11:46,10/25/2014 19:25,1/24/2017 10:26,996,821,82.43
fuinorg,org.fuin.dsl.ddd,3/28/2014 2:49,12/30/2018 7:45,7/27/2017 9:01,7/14/2018 10:30,1737,352,20.26
arturboronat,xtext.domainmodel,9/23/2016 15:14,11/14/2018 9:43,9/23/2016 15:41,9/23/2016 15:41,781,0,0
otrosien,xtext-perl,5/10/2016 19:27,5/27/2016 8:43,5/10/2016 19:27,5/27/2016 8:39,16,16,100
cmendible,Hexa.xText,0,0,0,0,0,0,0
SciSpike,yaktor-dsl-xtext,5/25/2016 18:05,11/22/2016 12:32,5/25/2016 18:05,10/5/2016 14:58,180,132,73.33
andrearn,org.fornax.soa.xtextservicerepository,3/4/2011 21:07,2/17/2019 0:13,10/2/2014 11:30,2/14/2019 9:05,2906,1595,54.89
ujhelyiz,xtext-reflective,0,0,0,0,0,0,0
szarnekow,xtextcon-xbase-example,5/21/2014 1:51,10/26/2014 0:47,5/21/2014 14:47,5/25/2014 19:15,157,4,2.55
bsi-software,org.eclipse.scout.xtext,9/24/2012 10:04,5/23/2013 19:02,9/24/2012 19:54,3/19/2013 17:42,240,175,72.92
cdietrich,xtext-languageserver-xbase-example,8/11/2016 10:59,8/12/2016 14:49,8/11/2016 11:05,8/11/2016 11:05,1,0,0
test-editor,deprecated-test-editor-xtext,5/6/2015 9:40,11/7/2018 9:35,11/16/2015 12:00,5/2/2018 9:56,1281,897,70.02
awk-kazmin,eclipse_1C_xtext,4/15/2015 11:38,4/15/2015 11:38,4/15/2015 11:38,4/15/2015 11:38,0,0,0
svenefftinge,fowlers-statemachine-with-expressions,5/7/2012 9:35,5/7/2012 9:35,5/7/2012 9:35,5/7/2012 9:35,0,0,0
copton,XTextExamples,7/9/2010 11:15,7/9/2010 13:05,7/9/2010 11:24,7/9/2010 13:05,0,0,0
GeekBugs,XTextView,0,0,0,0,0,0,0
akosyakov,org.xtext.example.mydsl.idea,7/14/2014 18:32,10/14/2014 13:32,7/14/2014 18:32,9/11/2014 13:38,91,58,63.74
vaulttec,isis-script,7/5/2015 19:15,2/20/2017 21:59,7/5/2015 19:24,1/2/2017 16:10,596,546,91.61
HBehrens,Xtext2Workshop,0,0,0,0,0,0,0
GrupoHunter,Kukuroo,11/30/2013 19:13,12/1/2013 8:21,12/1/2013 8:21,12/1/2013 8:21,0,0,0
itemis,xtext-languageserver-example-lsp4e,0,0,0,0,0,0,0
fatalerrortan,Xtext_Xtend_HTML_Generator,4/20/2017 23:25,5/22/2022 14:54,4/30/2017 23:48,8/2/2017 23:56,1857,94,5.06
spoenemann,xtext-gef,3/27/2015 15:52,5/15/2015 11:18,3/27/2015 15:52,5/6/2015 14:48,48,39,81.25
Minres,RDL-Editor,9/12/2017 12:48,1/8/2023 18:56,9/12/2017 12:48,6/2/2018 18:41,1944,263,13.53
svenefftinge,Guice-Modules-DSL,3/29/2011 6:02,5/30/2012 17:10,3/29/2011 6:02,5/23/2012 16:11,428,421,98.36
LorenzoBettini,jbase,9/8/2015 17:58,6/22/2022 18:53,9/8/2015 17:58,4/7/2021 9:32,2479,2037,82.17
mn-mikke,Model-driven-Pretty-Printer-for-Xtext-Framework,2/26/2013 14:14,3/8/2013 16:00,2/26/2013 14:14,2/26/2013 14:14,10,0,0
hishidama,xtext-dmdl-editor,8/17/2013 10:39,11/4/2021 11:28,8/17/2013 10:39,8/17/2017 21:11,3001,1461,48.68
cmark,androtext,11/19/2011 12:13,10/18/2013 7:04,11/19/2011 12:13,10/6/2012 13:39,698,322,46.13
svenefftinge,homeautomation-example,9/24/2014 8:57,9/4/2015 9:57,9/4/2015 9:57,9/4/2015 9:57,345,0,0
SOM-Research,graphQL-xtext-grammar,3/22/2017 8:47,5/23/2017 16:42,3/23/2017 13:17,3/27/2017 13:59,62,3,4.84
janesser,frege-xtext,5/22/2016 13:09,7/17/2016 20:27,5/22/2016 13:09,7/17/2016 20:27,56,56,100
szarnekow,org.eclipse.e4.xcss,0,0,0,0,0,0,0
LorenzoBettini,xtext-scoping,5/29/2012 9:34,1/10/2013 21:31,5/29/2012 9:34,5/29/2012 9:58,226,0,0
JanKoehnlein,ESE-2010-Tutorial,10/20/2010 17:55,10/29/2010 17:36,10/20/2010 17:56,10/28/2010 18:43,8,8,100
spoenemann,xtext-orion,6/24/2015 17:29,6/25/2015 10:43,6/24/2015 17:29,6/24/2015 17:29,0,0,0
Modaptix,xtext-expressions,7/8/2015 1:41,9/4/2015 12:50,7/8/2015 1:41,9/3/2015 21:49,58,57,98.28
nittka,Jtag,3/5/2017 9:44,2/9/2020 12:21,3/5/2017 10:22,2/9/2020 12:21,1071,1071,100
erlide,erlide_xtext,5/23/2011 9:43,4/22/2016 9:41,4/22/2012 11:44,11/15/2012 12:29,1795,207,11.53
cdietrich,xtext-forum-support-example,0,0,0,0,0,0,0
ESIR2Compilation,Langage-WHILE,11/9/2015 9:10,1/22/2016 17:58,11/9/2015 9:22,12/15/2015 16:59,74,36,48.65
jhonatan89,gen-angular-grammar,11/16/2017 16:17,2/2/2018 12:01,11/16/2017 16:17,2/2/2018 12:01,77,77,100
Sofiane-13,tutorialXtextSirius,0,0,0,0,0,0,0
eclipse-soc,amalgamation-examples,5/13/2011 8:06,7/11/2011 12:03,5/13/2011 10:07,7/11/2011 12:03,59,59,100
dvdkruk,xtext-xsd-resourceprovider,0,0,0,0,0,0,0
marnix,metamath-eclipse-xtext,9/26/2015 10:20,11/21/2015 23:30,9/26/2015 10:20,11/21/2015 17:35,56,56,100
JanKoehnlein,Xtext-Syntax-View,0,0,0,0,0,0,0
planger,xtext-uml-experiment,9/22/2016 15:41,9/27/2016 10:15,9/22/2016 15:41,9/22/2016 15:41,4,0,0
rquinio,ck2xtext,1/21/2016 0:27,5/28/2019 18:37,7/5/2018 19:14,11/17/2018 15:46,1223,134,10.96
mzaks,petrinet_dsl,7/17/2011 13:43,7/28/2011 17:59,7/17/2011 13:43,7/17/2011 13:43,11,0,0
drnappalm,xtext,4/17/2014 16:06,5/12/2014 6:31,4/17/2014 22:17,5/12/2014 6:31,24,24,100
svenefftinge,Xtext-Workshop-Runtime-Workspace,0,0,0,0,0,0,0
martijndwars,XtextXT,8/21/2015 17:28,10/18/2015 17:48,8/21/2015 17:28,8/21/2015 17:28,58,0,0
nahni,xtextTessla,9/6/2017 13:06,9/6/2017 14:18,9/6/2017 13:06,9/6/2017 14:18,0,0,0
baidty,xtextLearning,4/11/2016 9:53,4/13/2016 19:56,4/13/2016 19:56,4/13/2016 19:56,2,0,0
MoayadHn,XtextBDI,11/12/2015 22:28,11/30/2015 23:26,11/12/2015 22:28,11/30/2015 23:03,18,18,100
fzalila,XtextExperiments,12/7/2015 19:30,2/22/2019 16:31,12/7/2015 19:30,12/7/2015 19:30,1172,0,0
Girish-Venkatesh,XTextSelenium,11/16/2014 19:46,11/16/2014 19:46,11/16/2014 19:46,11/16/2014 19:46,0,0,0
Vinayakatk,xtextScopes,6/10/2016 15:45,6/10/2016 15:45,6/10/2016 15:45,6/10/2016 15:45,0,0,0
01Lizard10,XTextUML,6/9/2015 7:09,6/19/2016 23:08,6/9/2015 7:09,6/19/2016 2:53,376,375,99.73
Salome-Maro,XtextUtils,0,0,0,0,0,0,0
fanghuixing,XtextApricot,10/6/2013 20:29,11/5/2013 20:35,10/6/2013 20:29,10/6/2013 20:29,30,0,0
mraminella,xtextTests,0,0,0,0,0,0,0
Alma2015RSABSAWA,XtextLangage,0,0,0,0,0,0,0
myorb,XTextParser,0,0,0,0,0,0,0
Jhinnn,XTextView,0,0,0,0,0,0,0
kathisai,xtextSample,7/24/2017 18:29,7/26/2017 10:43,7/24/2017 18:29,7/26/2017 10:43,1,1,100
huibo-shi,XtextExamples,2/5/2016 12:12,2/15/2016 21:49,2/5/2016 12:12,2/5/2016 17:04,10,0,0
osamu-k,XTextStudy,2/9/2014 20:34,2/9/2014 20:34,2/9/2014 20:34,2/9/2014 20:34,0,0,0
Treehopper,XTextTemplate,7/11/2014 19:58,11/3/2015 18:42,7/12/2014 1:48,7/13/2014 0:05,479,0,0
seba111,Xtext1,4/20/2013 19:14,7/2/2013 11:24,4/20/2013 19:14,5/16/2013 18:08,72,25,34.72
shinesamjacob,XtextExample,6/2/2016 14:18,6/2/2016 14:18,6/2/2016 14:18,6/2/2016 14:18,0,0,0
ajperalt,xtext,10/21/2013 11:42,10/23/2013 17:50,10/21/2013 15:54,10/23/2013 16:06,2,2,100
schakko,xtext-plugin-with-maven-tycho,2/13/2013 12:51,2/13/2013 13:10,2/13/2013 12:51,2/13/2013 12:51,0,0,0
colameo,xtext4roo,1/22/2011 14:34,5/27/2019 22:42,1/22/2011 17:06,1/22/2011 17:06,3047,0,0
vinpereira,XtextToXMI,6/21/2016 16:54,6/21/2016 17:04,6/21/2016 16:58,6/21/2016 16:58,0,0,0
JanKoehnlein,XtextCon2014,0,0,0,0,0,0,0
bink81,xtext-test,0,0,0,0,0,0,0
xtext42,xtext42-coding,0,0,0,0,0,0,0
borisbrodski,XtextBug437519,11/13/2014 13:49,11/13/2014 14:43,11/13/2014 13:49,11/13/2014 13:53,0,0,0
hypery2k,xText,0,0,0,0,0,0,0
borisbrodski,XtextBug453268,11/26/2014 10:16,11/26/2014 10:16,11/26/2014 10:16,11/26/2014 10:16,0,0,0
arnulfo-rodriguez,XtextClosureExample,1/26/2012 20:36,8/21/2013 21:16,2/19/2012 21:40,8/21/2013 21:16,573,548,95.64
superxlx,XTextViewDemo,0,0,0,0,0,0,0
johnBened,XtextMyDSLExample,0,0,0,0,0,0,0
philiber92,XtextTestRepository,9/20/2015 17:13,9/20/2015 17:13,9/20/2015 17:13,9/20/2015 17:13,0,0,0
fabienfleureau,XtextAtStackoverflow,0,0,0,0,0,0,0
yunxiaocloud,XTextFieldLimtDemo,0,0,0,0,0,0,0
eclipse,xtext-gradle,0,0,0,0,0,0,0
Mensmec,THESIS_XTEXT,0,0,0,0,0,0,0
MacJariel,sandbox-dsl,3/25/2011 22:32,5/13/2011 23:19,3/25/2011 22:32,5/13/2011 23:19,48,48,100
chetanladdha,XtextFormatingHoverSample,0,0,0,0,0,0,0
ainslec,XTextCustomLexerExample,4/14/2013 15:49,3/26/2014 12:00,4/14/2013 23:54,4/18/2013 21:06,345,3,0.87
hem28,DSL_Xtext2.3,9/4/2012 23:50,9/4/2012 23:50,9/4/2012 23:50,9/4/2012 23:50,0,0,0
HBuender,XtextAndSiriusIntegration,10/7/2017 10:00,10/17/2017 6:25,10/17/2017 6:19,10/17/2017 6:19,9,0,0
meysholdt,EclipseCon2014_XtextTutorial,10/9/2014 13:38,11/23/2014 10:28,10/9/2014 13:42,10/13/2014 11:32,44,3,6.82
jaimedelgado,Xtext,0,0,0,0,0,0,0
chris125964,xtext,0,0,0,0,0,0,0
DonRenando,xtext,11/12/2015 17:15,1/14/2016 11:16,11/12/2015 17:19,11/12/2015 17:19,62,0,0
martijndwars,Xtext,4/26/2015 21:55,8/20/2015 10:36,7/10/2015 13:26,8/20/2015 10:36,115,40,34.78
ozkandemir,XText,1/12/2014 3:05,1/17/2014 17:20,1/12/2014 13:07,1/17/2014 17:20,5,5,100
johnahfong,xtext,10/26/2015 15:51,10/27/2015 15:15,10/26/2015 15:54,10/27/2015 15:15,0,0,0
Mensmec,Xtext,0,0,0,0,0,0,0
pellcorp,xtext,2/2/2016 19:13,5/10/2016 23:11,2/2/2016 19:13,5/10/2016 23:11,98,98,100
Tutti91,Xtext,6/11/2015 15:38,6/11/2015 15:38,6/11/2015 15:38,6/11/2015 15:38,0,0,0
ANCIT,xtext-examples,7/14/2017 15:17,7/14/2017 17:40,7/14/2017 15:41,7/14/2017 15:41,0,0,0
DECENTSoftwareAssessment,dag.m1x,10/11/2013 12:03,11/5/2013 23:45,10/11/2013 12:03,10/31/2013 18:47,25,20,80
rmemory,xtext,3/29/2017 20:44,4/12/2017 15:42,3/29/2017 21:44,4/11/2017 17:49,13,12,92.31
deb-sandeep,com.sandy.xtext.jovenotes.tests,0,0,0,0,0,0,0
yasuohosotani,Xtext,4/5/2014 12:21,4/5/2014 14:37,4/5/2014 12:28,4/5/2014 12:28,0,0,0
Nika24,Xtext,5/11/2017 20:35,5/11/2017 21:27,5/11/2017 21:13,5/11/2017 21:21,0,0,0
BenediktNiehues,de.nie.fin,10/26/2012 2:21,10/31/2012 9:50,10/26/2012 13:18,10/31/2012 9:50,4,4,100
AlexElvers,XText,0,0,0,0,0,0,0
lakzso,xtext,2/23/2016 11:09,2/23/2016 11:09,2/23/2016 11:09,2/23/2016 11:09,0,0,0
seba111,Xtext,3/18/2013 15:12,5/15/2013 16:46,3/18/2013 15:12,5/15/2013 16:46,58,58,100
MacJariel,xtext,3/12/2011 13:18,3/12/2011 14:09,3/12/2011 13:57,3/12/2011 13:57,0,0,0
tmtron,xtext.15minTutorial,12/13/2016 17:48,12/13/2016 17:56,12/13/2016 17:48,12/13/2016 17:48,0,0,0
blewis13,Boxes,1/1/2016 9:59,1/8/2016 15:57,1/1/2016 11:28,1/8/2016 15:57,7,7,100
DECENTSoftwareAssessment,famix.m3x,6/7/2013 12:12,8/13/2014 14:13,6/7/2013 12:12,8/13/2014 14:13,432,432,100
dslmeinte,SimScript,10/21/2012 5:35,1/26/2017 13:04,9/18/2013 9:35,1/25/2017 15:13,1557,1225,78.68
webdaford,aqleditor,0,0,0,0,0,0,0
goldschmiede,2012-02-03_dsls_mit_xtext,1/21/2013 14:03,1/21/2013 14:03,1/21/2013 14:03,1/21/2013 14:03,0,0,0
kthoms,org.eclipse.xtext.example.domainmodel,7/8/2011 10:31,7/8/2011 10:31,7/8/2011 10:31,7/8/2011 10:31,0,0,0
Reitzner,xtextmaven,3/3/2016 15:03,3/4/2016 13:01,3/3/2016 15:03,3/3/2016 15:03,0,0,0
hectorsun,xtextonboost,0,0,0,0,0,0,0
duck2,xtextbg,0,0,0,0,0,0,0
HolyCityAudio,SpinCAD-Builder,12/8/2013 1:12,2/21/2019 6:37,12/8/2013 1:12,2/20/2019 12:08,1901,1900,99.95
ceefour,glproto,9/24/2011 1:23,10/5/2011 21:21,9/24/2011 1:23,9/24/2011 1:23,11,0,0
DECENTSoftwareAssessment,dag.m1x.tests,0,0,0,0,0,0,0
gvd,xtext-sm,3/3/2012 20:37,3/3/2012 21:33,3/3/2012 20:37,3/3/2012 20:42,0,0,0
davidmpaz,php.ware.web.ui,0,0,0,0,0,0,0
DanielWeber,xtextext,0,0,0,0,0,0,0
fzalila,xtextfsm,5/25/2017 20:48,5/26/2017 17:07,5/25/2017 20:48,5/25/2017 20:48,0,0,0
DECENTSoftwareAssessment,dag.m1x.sdk,0,0,0,0,0,0,0
jgoppert,xmodelica,5/11/2016 0:47,5/16/2016 6:41,5/11/2016 2:08,5/16/2016 6:41,5,5,100
Vinayakatk,xtextgeneratetest,0,0,0,0,0,0,0
deb-sandeep,com.sandy.xtext.jovenotes,5/15/2015 0:04,1/14/2023 19:34,5/15/2015 0:04,1/14/2023 19:34,2801,2801,100
DECENTSoftwareAssessment,dag.m1x.ui,0,0,0,0,0,0,0
viatra,viatra-evm-xtext,12/8/2015 16:52,1/11/2016 16:49,12/22/2015 16:41,12/22/2015 16:41,33,0,0
protossoftware,ReqText,6/24/2016 11:40,7/4/2016 22:38,6/27/2016 16:09,6/30/2016 17:07,10,3,30
meysholdt,e4dsl,7/2/2010 16:08,7/2/2010 19:04,7/2/2010 16:19,7/2/2010 19:02,0,0,0
benzait27,Xtext.Promo,11/8/2016 18:45,11/8/2016 19:03,11/8/2016 18:45,11/8/2016 18:45,0,0,0
malakeel,myDsl,6/5/2016 13:15,7/6/2016 23:13,6/5/2016 13:15,7/6/2016 23:13,31,31,100
npalix,org.eclipse.xtext.example.arithmetics,12/8/2016 16:02,11/22/2017 15:33,12/8/2016 16:02,11/22/2017 15:33,348,348,100
sormgabriel,textual_verduler,0,0,0,0,0,0,0
ekowahyudi,examplextext,0,0,0,0,0,0,0
DECENTSoftwareAssessment,famix.m3x.ui,0,0,0,0,0,0,0
nakul02,sialx-xtext-ide,6/19/2014 19:06,6/19/2014 19:07,6/19/2014 19:07,6/19/2014 19:07,0,0,0
kduske-n4,DomainModel,9/12/2016 14:33,9/12/2016 14:33,9/12/2016 14:33,9/12/2016 14:33,0,0,0
Infoly,SmallJava,0,0,0,0,0,0,0
inakuhn,de.htwg.mdse.setgame.entities.parent,6/10/2017 7:48,6/12/2017 23:20,6/10/2017 7:48,6/12/2017 23:20,2,2,100
mlanoe,x-vhdl,12/29/2014 23:50,1/30/2015 22:18,12/29/2014 23:59,1/13/2015 22:35,31,14,45.16
DECENTSoftwareAssessment,famix.m3x.tests,0,0,0,0,0,0,0
nkonev,CalcXtext,9/29/2013 20:13,10/22/2013 19:58,9/29/2013 20:13,9/29/2013 20:13,22,0,0
meysholdt,xtext_examples,5/14/2014 9:19,8/4/2015 20:04,5/14/2014 9:51,8/4/2015 20:04,447,447,100
manuelleduc,xtext-lib,0,0,0,0,0,0,0
xarvey,atom-xtext-package,10/3/2015 11:43,2/15/2017 16:59,10/3/2015 12:59,10/3/2015 12:59,501,0,0
LolloCorte,bpel-xtext,9/8/2011 13:44,9/8/2011 14:40,9/8/2011 13:44,9/8/2011 13:44,0,0,0
sciolizer,xtext-sandbox,2/8/2016 18:22,2/8/2016 19:12,2/8/2016 18:22,2/8/2016 18:35,0,0,0
denschu,xtext-whitespace,3/1/2012 16:55,3/8/2012 20:43,3/1/2012 16:55,3/8/2012 20:43,7,7,100
pablitar,claseXtext,11/2/2012 18:19,6/28/2013 23:39,11/2/2012 22:23,11/2/2012 22:23,238,0,0
DECENTSoftwareAssessment,famix.m3x.sdk,0,0,0,0,0,0,0
tdegueul,xtext-composition,7/3/2014 23:52,7/4/2014 0:25,7/4/2014 0:04,7/4/2014 0:04,0,0,0
danieldietrich,xtext-javatools,1/16/2013 10:22,1/16/2013 10:22,1/16/2013 10:22,1/16/2013 10:22,0,0,0
akademia,ontouml-xtext,3/1/2011 0:35,3/1/2011 0:40,3/1/2011 0:35,3/1/2011 0:35,0,0,0
efuentesp,codebuilder-xtext,7/9/2016 13:13,7/11/2016 18:31,7/9/2016 13:13,7/9/2016 13:13,2,0,0
zrrk,xtext-utils,0,0,0,0,0,0,0
juli1,xtext-debug,5/22/2015 9:42,6/22/2015 11:50,5/22/2015 9:44,6/22/2015 11:50,31,31,100
nbhusare,Xtext-sandbox,7/11/2014 15:33,2/10/2020 17:53,3/31/2018 22:10,2/10/2020 17:43,2040,680,33.33
jachinte,xtext-grammars,2/19/2016 13:25,2/19/2016 23:16,2/19/2016 13:39,2/19/2016 17:24,0,0,0
susieagerholm,XTEXT_EXAMPLE,4/29/2017 12:32,5/29/2017 23:05,4/29/2017 12:32,5/25/2017 13:58,30,26,86.67
itemis,monaco-xtext,0,0,0,0,0,0,0
xiaoyvr,xtext-demo,3/20/2013 21:44,3/21/2013 0:43,3/20/2013 21:44,3/21/2013 0:43,0,0,0
hmc-cs111-fall2015,picobot-XText,11/18/2015 12:19,11/18/2015 18:36,11/18/2015 12:21,11/18/2015 18:36,0,0,0
yanntm,Xtext-Light,0,0,0,0,0,0,0
quendimax,libXtextcursorchanger,0,0,0,0,0,0,0
Ikraminfo,GrammaireXtext,0,0,0,0,0,0,0
nickeeyyoo,xtext_project,3/16/2016 20:10,4/8/2016 22:34,3/16/2016 20:26,3/24/2016 10:17,23,7,30.43
marinamygithub,xtext_project,5/2/2016 20:21,5/2/2016 20:21,5/2/2016 20:21,5/2/2016 20:21,0,0,0
lukashaertel,xtext-xgen,5/20/2014 7:07,9/15/2014 15:51,5/20/2014 19:36,9/15/2014 15:39,117,117,100
fmca,xtext-typesystem,10/27/2010 15:55,5/13/2011 18:11,10/27/2010 15:59,12/10/2010 18:21,198,44,22.22
almazhou,xtext-demo,0,0,0,0,0,0,0
Huluvu424242,xtext.example,4/29/2016 14:42,4/30/2016 21:21,4/29/2016 15:24,4/29/2016 17:35,1,0,0
kiddochan,xtext-typesystem,10/27/2010 15:55,5/13/2011 18:11,10/27/2010 15:59,12/10/2010 18:21,198,44,22.22
mmalohlava,ppXtext,7/18/2012 8:27,7/24/2012 18:50,7/24/2012 18:50,7/24/2012 18:50,6,0,0
ponta027,xtext_practice,5/13/2015 2:11,5/13/2015 2:20,5/13/2015 2:20,5/13/2015 2:20,0,0,0
bhdrkn,Xtext-Examples,10/20/2011 20:13,11/26/2011 22:45,10/20/2011 20:13,11/26/2011 22:45,37,37,100
fatalerrortan,Xtext-examples,4/23/2017 0:20,4/23/2017 1:02,4/23/2017 0:29,4/23/2017 0:31,0,0,0
gcr-nist,runtime-Xtext,0,0,0,0,0,0,0
fBrx,language-xtext,0,0,0,0,0,0,0
ilya-klyuchnikov,sll-xtext,1/26/2014 23:19,1/26/2014 23:30,1/26/2014 23:23,1/26/2014 23:23,0,0,0
vonbolt,Xtext_test,6/3/2015 16:36,6/17/2015 21:21,6/3/2015 16:36,6/17/2015 21:21,14,14,100
rytina,xtext-typesystem,10/27/2010 15:55,5/13/2011 18:11,10/27/2010 15:59,12/10/2010 18:21,198,44,22.22
philiber92,xtext-utils,0,0,0,0,0,0,0
thomasfischl,xtext-workshop,10/24/2013 8:19,11/29/2013 12:16,11/6/2013 8:56,11/21/2013 1:36,35,14,40
jbadeau,ng-xtext,0,0,0,0,0,0,0
OliverScherf,MGPL-Xtext,12/20/2017 16:48,1/30/2018 16:15,12/20/2017 16:48,1/24/2018 20:07,40,35,87.5
szarnyasg,gradle-xtext,10/30/2016 17:08,10/30/2016 18:25,10/30/2016 17:08,10/30/2016 17:08,0,0,0
malbac,Xtend_Xtext,4/26/2015 23:12,4/27/2015 0:06,4/27/2015 0:06,4/27/2015 0:06,0,0,0
gitpan,Convert-XText,0,0,0,0,0,0,0
rmemory,xtext_eclipse,0,0,0,0,0,0,0
lukashaertel,xtext-technocat,6/5/2014 18:34,5/3/2015 23:02,6/5/2014 18:40,6/6/2014 14:12,332,0,0
lukashaertel,xtext-xtestgen,7/12/2014 13:05,10/1/2014 17:48,7/15/2014 18:10,7/15/2014 18:10,81,0,0
zhangyuanqiao,selenium-xtext,2/8/2016 10:22,2/21/2016 14:06,2/8/2016 10:22,2/17/2016 17:54,13,9,69.23
cooked,modelica-xtext,2/16/2016 1:40,2/16/2016 1:40,2/16/2016 1:40,2/16/2016 1:40,0,0,0
pablitar,firewall-xtext,6/25/2013 21:48,6/25/2013 21:48,6/25/2013 21:48,6/25/2013 21:48,0,0,0
hamza-abed,JSEditorXtext,2/19/2014 14:04,2/20/2014 10:12,2/19/2014 14:04,2/20/2014 10:12,0,0,0
Virtlink,paplj-xtext,2/20/2017 11:23,3/17/2017 14:39,2/28/2017 13:49,2/28/2017 13:49,25,0,0
kwanggy,xtext-sublime,0,0,0,0,0,0,0
thicket-lang,thicket-xtext,10/6/2015 7:37,10/6/2015 7:37,10/6/2015 7:37,10/6/2015 7:37,0,0,0
agentlab,xtext-web,7/8/2016 18:49,7/8/2016 19:21,7/8/2016 19:21,7/8/2016 19:21,0,0,0
test-editor,xtext-dropwizard,6/30/2017 11:46,10/22/2019 14:31,6/30/2017 15:03,12/19/2017 16:21,844,172,20.38
kecskesk,xtext-menetrend,11/15/2016 0:07,6/28/2018 23:05,11/15/2016 0:07,11/15/2016 0:07,590,0,0
