owner,repo,repo_first_commit,repo_last_commit,xtext_first_commit,xtext_last_commit,repo_commit_duration,xtext_commit_duration,proportion
wibeck,testXtext,5/27/2019 19:06,5/27/2019 19:06,5/27/2019 19:06,5/27/2019 19:06,0,0,0
msun68,xtext-examples,1/22/2020 3:43,1/23/2020 12:03,1/22/2020 3:43,1/22/2020 3:43,1,0,0
xTexturedxx,xTexturedxx,0,0,0,0,0,0,0
HexXText,HexXText,0,0,0,0,0,0,0
Gricel-lee,Xtext-Maven,8/15/2023 18:41,8/22/2023 16:02,8/15/2023 18:43,8/15/2023 18:43,6,0,0
kolchanov,org.xtext.example.mydsl.parent,2/19/2020 13:20,2/20/2020 15:43,2/19/2020 13:20,2/20/2020 15:43,1,1,100
kecksk0enig,vuc-xtext,1/16/2018 9:25,1/29/2018 22:35,1/16/2018 9:25,1/26/2018 18:13,13,10,76.92
EvdokimovMaks,xtext-expressions,12/11/2019 18:48,12/12/2019 19:03,12/11/2019 18:48,12/11/2019 18:48,1,0,0
Sorokatov,xtext-demo,0,0,0,0,0,0,0
uppaal-emf,uppaal-xtext,12/4/2022 14:43,4/3/2023 0:24,12/4/2022 18:07,3/24/2023 15:13,119,109,91.6
matheuslenke,Xtext-UML,9/20/2021 21:04,10/8/2021 21:47,9/20/2021 21:04,10/8/2021 21:47,18,18,100
r4mtor,xtext-talks,6/23/2017 10:39,5/29/2018 21:38,5/8/2018 23:06,5/29/2018 21:35,340,20,5.88
nbhusare,xtext-playground,9/2/2020 15:23,9/2/2020 17:47,9/2/2020 17:47,9/2/2020 17:47,0,0,0
kokostino,xtext_kokomodel,8/29/2021 16:41,9/4/2021 21:10,8/29/2021 16:41,9/4/2021 21:07,6,6,100
GiordanoT,ocl-xtext,11/30/2022 15:12,11/30/2022 15:12,11/30/2022 15:12,11/30/2022 15:12,0,0,0
dr-jam,ABL-XText,11/11/2022 17:03,12/21/2022 14:55,11/17/2022 15:52,12/21/2022 14:55,39,33,84.62
lahirugayanga,xtext-projection,12/28/2018 10:24,12/28/2018 10:24,12/28/2018 10:24,12/28/2018 10:24,0,0,0
daniel614,xtext-webapp,6/17/2018 14:35,7/7/2018 13:11,6/17/2018 14:35,7/7/2018 13:11,19,19,100
Spiderixius,DSLIndividualXtext,5/18/2018 9:04,5/28/2018 14:41,5/18/2018 9:06,5/28/2018 12:50,10,10,100
mdsd-team-1,photos-xtext,6/18/2019 18:21,6/25/2019 12:41,6/24/2019 10:06,6/25/2019 10:11,6,1,16.67
efuentesp,xtext-cobol,12/4/2020 15:12,1/12/2021 12:03,12/4/2020 15:12,1/12/2021 12:03,38,38,100
torosky,Libreria-Xtext,0,0,0,0,0,0,0
MaxiEckert,Xtext-example,5/27/2018 12:32,5/27/2018 12:32,5/27/2018 12:32,5/27/2018 12:32,0,0,0
as500,xtext-rpgle,0,0,0,0,0,0,0
JavierOramas,AudiXText,0,0,0,0,0,0,0
xtext,xtext-monorepo,5/9/2008 15:57,3/25/2023 17:44,6/14/2016 8:30,10/10/2022 15:44,5433,2309,42.5
vjordan,Xtext_browser,3/20/2019 22:14,3/20/2019 22:14,3/20/2019 22:14,3/20/2019 22:14,0,0,0
Yop-La,xtext_project,3/3/2019 16:39,3/20/2019 22:56,3/3/2019 16:39,3/18/2019 10:38,17,14,82.35
JesterOrNot,Gitpod-XText,5/18/2020 12:24,5/19/2020 1:30,5/18/2020 23:07,5/18/2020 23:07,0,0,0
eclipse,xtext-archive,0,0,0,0,0,0,0
Lethalaric,xtext-learning,8/2/2023 0:19,8/2/2023 1:58,8/2/2023 1:58,8/2/2023 1:58,0,0,0
DSIE2,tr.xtext,6/25/2018 14:44,6/27/2018 18:43,6/25/2018 14:44,6/25/2018 14:44,2,0,0
ShivaniBali,Theia-Xtext,3/13/2018 19:28,3/13/2018 19:28,3/13/2018 19:28,3/13/2018 19:28,0,0,0
kthoms,xtext-webinar,0,0,0,0,0,0,0
christopherosthues,mgpl-xtext,6/5/2018 10:29,7/24/2018 17:39,6/5/2018 10:30,6/5/2018 12:35,49,0,0
zhanglin2018,learnXtext,6/11/2019 14:18,6/18/2019 13:48,6/11/2019 17:46,6/18/2019 13:48,6,6,100
seebgar,Xtext-Projects,2/27/2020 9:16,2/27/2020 9:16,2/27/2020 9:16,2/27/2020 9:16,0,0,0
Vallenstein,xtext_web,10/9/2020 11:07,10/31/2020 15:33,10/9/2020 11:15,10/31/2020 15:33,22,22,100
AbQadirr,dialogXtextflow,0,0,0,0,0,0,0
