Owner,Repository,Contains New Extensions
MISO4202,uniandes.mdd.xtext2xmi,NO
tchebs,xtext,NO
mlopez8621,xtext,NO
magick93,xtext,NO
ShivaniBali,Theia-Xtext-Yangster-Project-,YES
ehah,XtendExample,NO
MISO4202,co.edu.uniandes.gramaticajmeter,NO
vks2106,prenum,NO
drkstr101,hello-xtext,YES
arthurmosley,Essex-Test,NO
eclipse,xtext-website-publish,NO
jflopezfernandez,xtextutils,NO
AlanQuadros,xtextlpmangan,NO
jonaslagoni,JSON-Schema-to-internal-DSL,YES
OezzyB,e-portfolio-Xtext,NO
fedorov-vk,apds_dsl,NO
zinon,xtextminer,NO
mustafa231,xtexteditor,NO
MOSafely,xtextrepo,NO
bproenca,mpti-dsl,NO
LorenzoBettini,xtext-domain-model-guice-5,NO
BlackBeltTechnology,karaf-features-eclipse-xtext,NO
vashchenkov,xtext-samle,NO
germono,FormXtext,NO
Quingo,compiler_xtext,YES
ShrawanBK,xtext_salestransaction,YES
tshoang,XMarking,NO
szschaler,henshin_xtext_adapter,NO
hakimuga,BIP-language,NO
adautofbn,pascal-xtext,NO
efuentesp,Xtext-UCS,NO
preesm,ripacola-xtext,YES
wibeck,testXtext,NO
msun68,xtext-examples,NO
xTexturedxx,xTexturedxx,NO
HexXText,HexXText,NO
Gricel-lee,Xtext-Maven,NO
kolchanov,org.xtext.example.mydsl.parent,NO
kecksk0enig,vuc-xtext,YES
EvdokimovMaks,xtext-expressions,NO
Sorokatov,xtext-demo,NO
uppaal-emf,uppaal-xtext,YES
matheuslenke,Xtext-UML,NO
r4mtor,xtext-talks,YES
nbhusare,xtext-playground,NO
kokostino,xtext_kokomodel,NO
GiordanoT,ocl-xtext,NO
dr-jam,ABL-XText,NO
lahirugayanga,xtext-projection,NO
daniel614,xtext-webapp,NO
Spiderixius,DSLIndividualXtext,NO
mdsd-team-1,photos-xtext,YES
efuentesp,xtext-cobol,NO
torosky,Libreria-Xtext,NO
MaxiEckert,Xtext-example,YES
as500,xtext-rpgle,NO
JavierOramas,AudiXText,NO
xtext,xtext-monorepo,YES
vjordan,Xtext_browser,YES
Yop-La,xtext_project,NO
JesterOrNot,Gitpod-XText,YES
eclipse,xtext-archive,NO
Lethalaric,xtext-learning,YES
DSIE2,tr.xtext,NO
ShivaniBali,Theia-Xtext,YES
kthoms,xtext-webinar,NO
christopherosthues,mgpl-xtext,NO
zhanglin2018,learnXtext,YES
seebgar,Xtext-Projects,NO
Vallenstein,xtext_web,NO
AbQadirr,dialogXtextflow,NO
blue995,xtext-orm,YES
arockiaraj1994,xtext-mvn,NO
moein9,passXtext,NO
saivarunr,xtext-editor,NO
JesterOrNot,xtext-cli,NO
Somiacao,xtext-web,YES
katmatt,graphql-xtext,NO
LIONant-depot,xtexture_compiler,NO
tchebs,xtext-example,YES
ballcoach12,xtext_samples,NO
AssaX0,MDSE-xtext,YES
samples-projects,sample-xtext,NO
karthik137,xtext-demo,NO
MDE-Course-23-24,SIRIUS-XTEXT,NO
softlang,megal-xtext,NO
laurocesar,xtext-domainmodel,NO
Yahaya12,Xtext-project,NO
malhxr,SpeechXtext,NO
stanimirovv,xtext-extractor,NO
3m3k3,xtext-congen,NO
pen-zhang,xtext_elm_editor,NO
NSaitoNmiri,toppers_cfg_xtext,NO
tmtron,ex.xtext.twog,YES
vinicius0197,metacrysl,NO
Dexels,navascript-editor,NO
adrianrutle,PCS953-EMF-Exercise,NO
ravornyo,xspice,NO
yamen-njm,IotXtext,NO
kainzpat14,xtext-plsql,NO
epsilonlabs,emc-xtext,NO
robertovillarejo,kukulkan-grammar,NO
lvanzeun,ulm-xtext-test,YES
purerstamp,N7.compilateur,YES
jaedabee,xtext-gradle-test,NO
MassiBelaid,M-langeuse-Xtext,NO
qxe35v,xtext_encoding_dsl,NO
random-eclipse,nix-eclipse-xtext,NO
meta-doodle,Xtext_Gradle_Test,NO
LiamWalsh98,nusmv-xtext-lsp,NO
MaximilianKoestler,vscode-xtext-links,NO
AhmedEssam2212,xText-Editor-,NO
adrinerDP,DSL-with-Xtext,NO
cdietrich,xtext-domainmodel-ls,NO
tmtron,ex.xtext.ml,YES
andrewsandu,xtext-web-example,NO
pngowda,xtext-build-tools,NO
SharkJ,xtext-dsl-sample,NO
hammedb197,team-hacktive-xtext,NO
SimonCockx,xtext-monaco-example,NO
mister-walter,xtext-folding-issue,NO
alexvolh,xtext-xml-grammar,NO
SharkJ,my-theia-xtext,YES
urbanoanderson,xtext-gait-model,NO
vjordan,Xtext_directory-file,YES
JosBouwhuis,xText-DSL,NO
CS130-W20,assignment-2-xtext,NO
lunifera,xtext-jvmtypeprovider-standalone,NO
bobbyfisher1,eclipse-workspace,NO
dsl-course,xtext-entities-tutorial,NO
Highbrainer,xtext-pde-target,NO
mattsse,xtext-fipa-acl,NO
XIECHO,qingo_xtext_documentation,NO
FariSoftware,xtext-problem-matcher,NO
ShrawanBK,xtext.sales.transactions,NO
Lzgpom,xtext-gen-extension,NO
drkstr101,Domainmodel,NO
vinicius0197,expressions-dsl,NO
LorenzoBettini,xtext-xdoc-releases,NO
KarstenWilken,xTextForum,YES
S-wald,xtext-plugin-gradle,NO
lahirugayanga,xtext-example-dsl,NO
cdietrich,xtext-fragment-experiments,NO
cdietrich,xtext_bug_1974,YES
bergmanngabor,xtext-railmap-demo,NO
mchlrch,xtext-intro-bfh,YES
EvdokimovMaks,xtext-example-entities,NO
cipek,MyFirstXText,NO
pngowda,xtext-ci-libs,NO
paulvberlin,BaSiriusXtext,YES
szarnyasg,sql-pgq-xtext,NO
frademacher,xtext-jpms-test,NO
xtext,xtext-monorepo-lfs,NO
LorenzoBettini,xtext-build-utils,YES
cdietrich,xtext-two-dsls,NO
balazsgrill,xtext_bug508518,YES
Tim-S,xtext-valueconverter-example,YES
