Name,Repository Name,Repository HTML URL,Owner Name
ActionLanguage.xtext,gamma,https://github.com/ftsrg/gamma,ftsrg
KM3.xtext,ATLGT,https://github.com/atlanmod/ATLGT,atlanmod
ComponentLanguage.xtext,JSFLibraryGenerator,https://github.com/stephanrauh/JSFLibraryGenerator,stephanrauh
HLPNGInscriptionLanguage.xtext,ePNK,https://github.com/ekkart/ePNK,ekkart
HLPNGInscriptionLanguage2.xtext,ePNK,https://github.com/ekkart/ePNK,ekkart
Unity.xtext,SimGen,https://github.com/PasternakMichal/SimGen,PasternakMichal
IOI.xtext,101repo,https://github.com/101companies/101repo,101companies
Condition.xtext,VClipse,https://github.com/webXcerpt/VClipse,webXcerpt
Sensidl.xtext,SensIDL,https://github.com/SENSIDL-PROJECT/SensIDL,SENSIDL-PROJECT
Rpgle.xtext,RPG-lexer,https://github.com/NielsLiisberg/RPG-lexer,NielsLiisberg
AlloyLanguage.xtext,VIATRA-Generator,https://github.com/viatra/VIATRA-Generator,viatra
Cal.xtext,caltoopia,https://github.com/Caltoopia/caltoopia,Caltoopia
TRoML.xtext,TRoML,https://github.com/Eden-06/TRoML,Eden-06
XUmlb.xtext,XUML_B,https://github.com/eventB-Soton/XUML_B,eventB-Soton
Oscf.xtext,OSCake,https://github.com/Open-Source-Compliance/OSCake,Open-Source-Compliance
Mdl.xtext,mdleditorplugin,https://github.com/ModelDefinitionLanguage/mdleditorplugin,ModelDefinitionLanguage
Rdsl.xtext,DES,https://github.com/LBoonstra/DES,LBoonstra
Xdsl.xtext,xm,https://github.com/abstratt/xm,abstratt
PDL1.xtext,IDM_ENSEEIHT_S7,https://github.com/Roropey/IDM_ENSEEIHT_S7,Roropey
RulesDSL.xtext,Design-of-Embedded-Systems,https://github.com/ErinvanderVeen/Design-of-Embedded-Systems,ErinvanderVeen
WML_6.xtext,ECSS,https://github.com/patrickneubauer/ECSS,patrickneubauer
MyDsl.xtext,worthwhile,https://github.com/team-worthwhile/worthwhile,team-worthwhile
Musket.xtext,musket_dsl,https://github.com/wwu-pi/musket_dsl,wwu-pi
ScenarioLanguage.xtext,gamma,https://github.com/ftsrg/gamma,ftsrg
PipesGraph.xtext,PipesGraphLanguage,https://github.com/specs-feup/PipesGraphLanguage,specs-feup
ExpressionLanguage.xtext,gamma,https://github.com/ftsrg/gamma,ftsrg
Verify.xtext,alisa,https://github.com/osate/alisa,osate
RtVil.xtext,EASyProducer,https://github.com/SSEHUB/EASyProducer,SSEHUB
Rules_42.xtext,ECSS,https://github.com/patrickneubauer/ECSS,patrickneubauer
StsLanguageYaml.xtext,ECSS,https://github.com/patrickneubauer/ECSS,patrickneubauer
Module_2.xtext,ECSS,https://github.com/patrickneubauer/ECSS,patrickneubauer
RIMDsl_2.xtext,ECSS,https://github.com/patrickneubauer/ECSS,patrickneubauer
StsLanguageFlex.xtext,ECSS,https://github.com/patrickneubauer/ECSS,patrickneubauer
Rolez.xtext,rolez,https://github.com/rolve/rolez,rolve
