Owner Login,Repository Name,Repository URL
meta-doodle,Xtext_Gradle_Test,https://github.com/meta-doodle/Xtext_Gradle_Test
LiamWalsh98,nusmv-xtext-lsp,https://github.com/LiamWalsh98/nusmv-xtext-lsp
MaximilianKoestler,vscode-xtext-links,https://github.com/MaximilianKoestler/vscode-xtext-links
AhmedEssam2212,xText-Editor-,https://github.com/AhmedEssam2212/xText-Editor-
adrinerDP,DSL-with-Xtext,https://github.com/adrinerDP/DSL-with-Xtext
cdietrich,xtext-domainmodel-ls,https://github.com/cdietrich/xtext-domainmodel-ls
tmtron,ex.xtext.ml,https://github.com/tmtron/ex.xtext.ml
andrewsandu,xtext-web-example,https://github.com/andrewsandu/xtext-web-example
pngowda,xtext-build-tools,https://github.com/pngowda/xtext-build-tools
SharkJ,xtext-dsl-sample,https://github.com/SharkJ/xtext-dsl-sample
hammedb197,team-hacktive-xtext,https://github.com/hammedb197/team-hacktive-xtext
SimonCockx,xtext-monaco-example,https://github.com/SimonCockx/xtext-monaco-example
mister-walter,xtext-folding-issue,https://github.com/mister-walter/xtext-folding-issue
alexvolh,xtext-xml-grammar,https://github.com/alexvolh/xtext-xml-grammar
SharkJ,my-theia-xtext,https://github.com/SharkJ/my-theia-xtext
urbanoanderson,xtext-gait-model,https://github.com/urbanoanderson/xtext-gait-model
vjordan,Xtext_directory-file,https://github.com/vjordan/Xtext_directory-file
JosBouwhuis,xText-DSL,https://github.com/JosBouwhuis/xText-DSL
CS130-W20,assignment-2-xtext,https://github.com/CS130-W20/assignment-2-xtext
lunifera,xtext-jvmtypeprovider-standalone,https://github.com/lunifera/xtext-jvmtypeprovider-standalone
bobbyfisher1,eclipse-workspace,https://github.com/bobbyfisher1/eclipse-workspace
dsl-course,xtext-entities-tutorial,https://github.com/dsl-course/xtext-entities-tutorial
Highbrainer,xtext-pde-target,https://github.com/Highbrainer/xtext-pde-target
mattsse,xtext-fipa-acl,https://github.com/mattsse/xtext-fipa-acl
XIECHO,qingo_xtext_documentation,https://github.com/XIECHO/qingo_xtext_documentation
FariSoftware,xtext-problem-matcher,https://github.com/FariSoftware/xtext-problem-matcher
ShrawanBK,xtext.sales.transactions,https://github.com/ShrawanBK/xtext.sales.transactions
Lzgpom,xtext-gen-extension,https://github.com/Lzgpom/xtext-gen-extension
drkstr101,Domainmodel,https://github.com/drkstr101/Domainmodel
vinicius0197,expressions-dsl,https://github.com/vinicius0197/expressions-dsl
LorenzoBettini,xtext-xdoc-releases,https://github.com/LorenzoBettini/xtext-xdoc-releases
KarstenWilken,xTextForum,https://github.com/KarstenWilken/xTextForum
S-wald,xtext-plugin-gradle,https://github.com/S-wald/xtext-plugin-gradle
lahirugayanga,xtext-example-dsl,https://github.com/lahirugayanga/xtext-example-dsl
cdietrich,xtext-fragment-experiments,https://github.com/cdietrich/xtext-fragment-experiments
cdietrich,xtext_bug_1974,https://github.com/cdietrich/xtext_bug_1974
bergmanngabor,xtext-railmap-demo,https://github.com/bergmanngabor/xtext-railmap-demo
mchlrch,xtext-intro-bfh,https://github.com/mchlrch/xtext-intro-bfh
EvdokimovMaks,xtext-example-entities,https://github.com/EvdokimovMaks/xtext-example-entities
cipek,MyFirstXText,https://github.com/cipek/MyFirstXText
pngowda,xtext-ci-libs,https://github.com/pngowda/xtext-ci-libs
paulvberlin,BaSiriusXtext,https://github.com/paulvberlin/BaSiriusXtext
szarnyasg,sql-pgq-xtext,https://github.com/szarnyasg/sql-pgq-xtext
frademacher,xtext-jpms-test,https://github.com/frademacher/xtext-jpms-test
xtext,xtext-monorepo-lfs,https://github.com/xtext/xtext-monorepo-lfs
LorenzoBettini,xtext-build-utils,https://github.com/LorenzoBettini/xtext-build-utils
cdietrich,xtext-two-dsls,https://github.com/cdietrich/xtext-two-dsls
balazsgrill,xtext_bug508518,https://github.com/balazsgrill/xtext_bug508518
Tim-S,xtext-valueconverter-example,https://github.com/Tim-S/xtext-valueconverter-example
ayakurtam,xText-Editor,https://github.com/ayakurtam/xText-Editor
HouseBuilder-MDE,HouseBuilder-Xtext,https://github.com/HouseBuilder-MDE/HouseBuilder-Xtext
xtext,xtext-orbit-replacement,https://github.com/xtext/xtext-orbit-replacement
fedorov-vk,xtext-xcore-sample,https://github.com/fedorov-vk/xtext-xcore-sample
gustavotemple,mo631xtext,https://github.com/gustavotemple/mo631xtext
Tim-S,xtext-mapbasedscope-example,https://github.com/Tim-S/xtext-mapbasedscope-example
shakenetwork,xTextHandler,https://github.com/shakenetwork/xTextHandler
GabrielBozza,ProjetoXtextPFC,https://github.com/GabrielBozza/ProjetoXtextPFC
HexXText,HexXTextSMP,https://github.com/HexXText/HexXTextSMP
snarkipus,xtext-dsl-book,https://github.com/snarkipus/xtext-dsl-book
fedorov-vk,xtextxtend-book-examples,https://github.com/fedorov-vk/xtextxtend-book-examples
ArneDeutsch,xtext-gradle-example,https://github.com/ArneDeutsch/xtext-gradle-example
oliver-reinhard,xtext-ppt-demo,https://github.com/oliver-reinhard/xtext-ppt-demo
tpluscode,xtext-completion-nullpointer,https://github.com/tpluscode/xtext-completion-nullpointer
idiomaticsoft,sbt-xtext-plugin,https://github.com/idiomaticsoft/sbt-xtext-plugin
pen-zhang,online_elm_xtext,https://github.com/pen-zhang/online_elm_xtext
raglu,ExternalDSL-xtext,https://github.com/raglu/ExternalDSL-xtext
kulcsii,xtext-railmap-theia,https://github.com/kulcsii/xtext-railmap-theia
NiccoMlt,xtext-showdown-grammar,https://github.com/NiccoMlt/xtext-showdown-grammar
NinjaArmy,xtext-language-server,https://github.com/NinjaArmy/xtext-language-server
jnt0r,xtext-npe-reproducable,https://github.com/jnt0r/xtext-npe-reproducable
HermanPeeren,eJSL-ANTLR4,https://github.com/HermanPeeren/eJSL-ANTLR4
cs130-w21,statemachine,https://github.com/cs130-w21/statemachine
csbc92,MDSE-assignment3,https://github.com/csbc92/MDSE-assignment3
ghillairet,org.example.mydsl.parent,https://github.com/ghillairet/org.example.mydsl.parent
antoine-morvan,caph-java-parser,https://github.com/antoine-morvan/caph-java-parser
abatti,XTEXT_FACPL3_PreserveVarious,https://github.com/abatti/XTEXT_FACPL3_PreserveVarious
tfLabs,xtext-languageserver-example-duplicator,https://github.com/tfLabs/xtext-languageserver-example-duplicator
LorenzoBettini,xtext-maven-plugin-example,https://github.com/LorenzoBettini/xtext-maven-plugin-example
cdietrich,xtext-eclipse-issue-1009,https://github.com/cdietrich/xtext-eclipse-issue-1009
patrickneubauer,UoY-MODE-XTEXT,https://github.com/patrickneubauer/UoY-MODE-XTEXT
cau-se,sprat-ecosystem-dsl-xtext,https://github.com/cau-se/sprat-ecosystem-dsl-xtext
cdietrich,theia-xtext-vscode-example,https://github.com/cdietrich/theia-xtext-vscode-example
cdietrich,j9-tycho-xtext,https://github.com/cdietrich/j9-tycho-xtext
loradd,xtext-lsp-ecore-support,https://github.com/loradd/xtext-lsp-ecore-support
nnn911,LaTeXTextOverlay,https://github.com/nnn911/LaTeXTextOverlay
IbanezGio,VuC,https://github.com/IbanezGio/VuC
Samirez,DSLs,https://github.com/Samirez/DSLs
ShahimEssaid,com.essaid.model.xtext,https://github.com/ShahimEssaid/com.essaid.model.xtext
gon10,EclipseRepoTese,https://github.com/gon10/EclipseRepoTese
max-leuthaeuser,jmhmathexample,https://github.com/max-leuthaeuser/jmhmathexample
tshoang,WhitespaceIDE,https://github.com/tshoang/WhitespaceIDE
seebgar,MISO4202-proyecto-xtext,https://github.com/seebgar/MISO4202-proyecto-xtext
NiccoMlt,xtext-15-minutes-tutorial,https://github.com/NiccoMlt/xtext-15-minutes-tutorial
SharkJ,theia-xtext-extension-test,https://github.com/SharkJ/theia-xtext-extension-test
jku-win-se,JsonBasedXtextGrammar,https://github.com/jku-win-se/JsonBasedXtextGrammar
altran-mde,xtext-sirius-integration.io,https://github.com/altran-mde/xtext-sirius-integration.io
cdietrich,xtext-core-issue-1835,https://github.com/cdietrich/xtext-core-issue-1835
Zaki-Fadlan,xtext_getting_started_skilledup,https://github.com/Zaki-Fadlan/xtext_getting_started_skilledup
raptor494,Xtext-Minecraft-JSON-Languages,https://github.com/raptor494/Xtext-Minecraft-JSON-Languages
rudi,xtext-emacs-lsp-demo,https://github.com/rudi/xtext-emacs-lsp-demo
fedorov-vk,apds_prototype,https://github.com/fedorov-vk/apds_prototype
test-editor,test-editor-xtext-gradle,https://github.com/test-editor/test-editor-xtext-gradle
Ixgauth,perspectiveDSL-Sirus-Xtext,https://github.com/Ixgauth/perspectiveDSL-Sirus-Xtext
keve98,SzakD_xtext_xtend,https://github.com/keve98/SzakD_xtext_xtend
silvergl,xtext-headless-rcp-example,https://github.com/silvergl/xtext-headless-rcp-example
reinaqu,bpmnFromXtextDSL,https://github.com/reinaqu/bpmnFromXtextDSL
xtext,xtext-p2-orbit,https://github.com/xtext/xtext-p2-orbit
dsl-course,xtext-tutorial-turku-interim,https://github.com/dsl-course/xtext-tutorial-turku-interim
tfLabs,xtext-lsp-validation-anyway,https://github.com/tfLabs/xtext-lsp-validation-anyway
BalzGuenat,xtext-bug-minimal-example,https://github.com/BalzGuenat/xtext-bug-minimal-example
dmfullstack,org.xtext.example.mydsl,https://github.com/dmfullstack/org.xtext.example.mydsl
SuelanyBrito,JFlex_CUP_XText_SQL,https://github.com/SuelanyBrito/JFlex_CUP_XText_SQL
cdietrich,xtext-languageserver-example-simple,https://github.com/cdietrich/xtext-languageserver-example-simple
msntts,Xtext-Standalone-fat-jar,https://github.com/msntts/Xtext-Standalone-fat-jar
oldulov,cfeditor,https://github.com/oldulov/cfeditor
LorenzoBettini,xtext-type-errors-examples,https://github.com/LorenzoBettini/xtext-type-errors-examples
claudenirmf,OntoUML-2.0-Xtext,https://github.com/claudenirmf/OntoUML-2.0-Xtext
Mehmetcanss,example_xtext_language_server_vscode,https://github.com/Mehmetcanss/example_xtext_language_server_vscode
lidochca,xtext.skip.build.before.rename,https://github.com/lidochca/xtext.skip.build.before.rename
cdietrich,xtext-maven-plugin-coverage-example,https://github.com/cdietrich/xtext-maven-plugin-coverage-example
Kevin-Philip,TP_etudiant_Compilax,https://github.com/Kevin-Philip/TP_etudiant_Compilax
elite-se,elite-se.xtext.languages.plantuml,https://github.com/elite-se/elite-se.xtext.languages.plantuml
tshoang,BareBonesIDE,https://github.com/tshoang/BareBonesIDE
tareklel,PDFtoText,https://github.com/tareklel/PDFtoText
TVTower,TVTBlitzmaxEditor,https://github.com/TVTower/TVTBlitzmaxEditor
cdietrich,xtext-multi-dsl-manual-metamodel,https://github.com/cdietrich/xtext-multi-dsl-manual-metamodel
hallvard,xost,https://github.com/hallvard/xost
davidmpaz,log-book,https://github.com/davidmpaz/log-book
oliver-reinhard,xtext-scoping-default-imports-demo,https://github.com/oliver-reinhard/xtext-scoping-default-imports-demo
tshoang,Simple-Barebone-XText-based-IDE,https://github.com/tshoang/Simple-Barebone-XText-based-IDE
MISO4202,uniandes.mdd.example.create-xtext,https://github.com/MISO4202/uniandes.mdd.example.create-xtext
NaoMod,XText-Language-Server-in-VSCode,https://github.com/NaoMod/XText-Language-Server-in-VSCode
MISO4202,xtext-egl-sql2java,https://github.com/MISO4202/xtext-egl-sql2java
cdietrich,simple-xtext-parallel-load-example,https://github.com/cdietrich/simple-xtext-parallel-load-example
bobbyfisher1,expressions,https://github.com/bobbyfisher1/expressions
lowcomote,DBML-to-ER,https://github.com/lowcomote/DBML-to-ER
tfLabs,xtext-n4js-lsp,https://github.com/tfLabs/xtext-n4js-lsp
yishakabreham,mde.sales.transactions.xtext.4,https://github.com/yishakabreham/mde.sales.transactions.xtext.4
Rajesh2015,DSL-using-Xtext-and-Xtend,https://github.com/Rajesh2015/DSL-using-Xtext-and-Xtend
cdietrich,xtext-lsp-tests-with-tycho,https://github.com/cdietrich/xtext-lsp-tests-with-tycho
CarlosAsrc,Reconhecedor-scheme,https://github.com/CarlosAsrc/Reconhecedor-scheme
oliver-reinhard,xtext-scoping-default-namespaces-demo,https://github.com/oliver-reinhard/xtext-scoping-default-namespaces-demo
TVTower,TVTDatabaseEditor,https://github.com/TVTower/TVTDatabaseEditor
casino-mdd,DSL,https://github.com/casino-mdd/DSL
cokeSchlumpf,bashdsl,https://github.com/cokeSchlumpf/bashdsl
sumeetchhetri,faugjs-eclipse-plugin,https://github.com/sumeetchhetri/faugjs-eclipse-plugin
sderrien,Uclid-editor,https://github.com/sderrien/Uclid-editor
GlancingMind,xtext-lsp-missing-deleteFile-impl,https://github.com/GlancingMind/xtext-lsp-missing-deleteFile-impl
zmy3036190149,theia-xtext-pf-v1-backup,https://github.com/zmy3036190149/theia-xtext-pf-v1-backup
MDSDLab,mdsd-2023-lab2-xtext-xtend,https://github.com/MDSDLab/mdsd-2023-lab2-xtext-xtend
abieren,MDSD-Xtext-Project-for-JavaFX,https://github.com/abieren/MDSD-Xtext-Project-for-JavaFX
