Owner,Repo,Ecore File Count
gustavotemple,mo631xtext,0
Tim-S,xtext-mapbasedscope-example,0
shakenetwork,xTextHandler,0
GabrielBozza,ProjetoXtextPFC,0
HexXText,HexXTextSMP,0
snarkipus,xtext-dsl-book,0
fedorov-vk,xtextxtend-book-examples,0
ArneDeutsch,xtext-gradle-example,3
oliver-reinhard,xtext-ppt-demo,1
tpluscode,xtext-completion-nullpointer,0
idiomaticsoft,sbt-xtext-plugin,0
pen-zhang,online_elm_xtext,1
raglu,ExternalDSL-xtext,0
kulcsii,xtext-railmap-theia,1
NiccoMlt,xtext-showdown-grammar,0
NinjaArmy,xtext-language-server,0
jnt0r,xtext-npe-reproducable,1
HermanPeeren,eJSL-ANTLR4,0
cs130-w21,statemachine,1
csbc92,MDSE-assignment3,1
ghillairet,org.example.mydsl.parent,1
antoine-morvan,caph-java-parser,0
abatti,XTEXT_FACPL3_PreserveVarious,0
tfLabs,xtext-languageserver-example-duplicator,0
LorenzoBettini,xtext-maven-plugin-example,0
cdietrich,xtext-eclipse-issue-1009,0
patrickneubauer,UoY-MODE-XTEXT,2
cau-se,sprat-ecosystem-dsl-xtext,1
cdietrich,theia-xtext-vscode-example,0
cdietrich,j9-tycho-xtext,0
loradd,xtext-lsp-ecore-support,2
nnn911,LaTeXTextOverlay,0
IbanezGio,VuC,0
Samirez,DSLs,0
ShahimEssaid,com.essaid.model.xtext,0
gon10,EclipseRepoTese,3
max-leuthaeuser,jmhmathexample,1
tshoang,WhitespaceIDE,0
seebgar,MISO4202-proyecto-xtext,0
NiccoMlt,xtext-15-minutes-tutorial,0
SharkJ,theia-xtext-extension-test,1
jku-win-se,JsonBasedXtextGrammar,0
altran-mde,xtext-sirius-integration.io,0
cdietrich,xtext-core-issue-1835,0
Zaki-Fadlan,xtext_getting_started_skilledup,0
raptor494,Xtext-Minecraft-JSON-Languages,4
rudi,xtext-emacs-lsp-demo,0
fedorov-vk,apds_prototype,0
test-editor,test-editor-xtext-gradle,0
Ixgauth,perspectiveDSL-Sirus-Xtext,1
keve98,SzakD_xtext_xtend,0
silvergl,xtext-headless-rcp-example,0
reinaqu,bpmnFromXtextDSL,0
xtext,xtext-p2-orbit,0
dsl-course,xtext-tutorial-turku-interim,1
tfLabs,xtext-lsp-validation-anyway,0
BalzGuenat,xtext-bug-minimal-example,0
dmfullstack,org.xtext.example.mydsl,0
SuelanyBrito,JFlex_CUP_XText_SQL,0
cdietrich,xtext-languageserver-example-simple,0
msntts,Xtext-Standalone-fat-jar,0
oldulov,cfeditor,1
LorenzoBettini,xtext-type-errors-examples,0
claudenirmf,OntoUML-2.0-Xtext,0
Mehmetcanss,example_xtext_language_server_vscode,0
lidochca,xtext.skip.build.before.rename,0
cdietrich,xtext-maven-plugin-coverage-example,1
Kevin-Philip,TP_etudiant_Compilax,1
elite-se,elite-se.xtext.languages.plantuml,0
tshoang,BareBonesIDE,0
tareklel,PDFtoText,0
TVTower,TVTBlitzmaxEditor,0
cdietrich,xtext-multi-dsl-manual-metamodel,0
hallvard,xost,0
davidmpaz,log-book,0
oliver-reinhard,xtext-scoping-default-imports-demo,1
tshoang,Simple-Barebone-XText-based-IDE,0
MISO4202,uniandes.mdd.example.create-xtext,1
NaoMod,XText-Language-Server-in-VSCode,1
